,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Radim Vrbata,35,RW,81,20,35,55,-18,16,16,4,0,4,24,11,0,233,8.6,1369,16:54,4.5,0.9,5.3,31,48,17,30,36.2
2,Oliver Ekman-Larsson,25,D,79,12,27,39,-25,48,4,8,0,1,16,11,0,145,8.3,1945,24:37:00,3.2,2.4,5.6,85,112,0,0,
3,Max Domi,21,LW,59,9,29,38,-9,40,8,1,0,1,22,7,0,108,8.3,1002,16:59,2.4,0.8,3.2,21,28,5,5,50
4,Alex Goligoski,31,D,82,6,30,36,-9,28,4,1,1,0,22,7,1,112,5.4,1913,23:20,2.3,3.6,5.9,143,137,0,0,
5,Tobias Rieder,24,RW,80,16,18,34,-8,6,13,2,1,1,13,4,1,155,10.3,1385,17:19,1.7,1.3,3,38,24,4,9,30.8
6,Christian Dvorak,20,LW,78,15,18,33,7,22,13,2,0,1,15,3,0,88,17,1218,15:37,1.9,1.7,3.6,56,72,471,535,46.8
7,Shane Doan,40,RW,74,6,21,27,-3,48,3,3,0,0,19,2,0,144,4.2,1114,15:03,0.5,1.2,1.7,22,101,94,105,47.2
8,Martin Hanzal,29,C,51,16,10,26,-15,43,12,4,0,2,6,4,0,126,12.7,948,18:35,2,0.5,2.5,45,105,596,468,56
9,Jordan Martinook,24,LW,77,11,14,25,-8,40,9,1,1,2,11,1,2,109,10.1,1207,15:41,0.6,1.1,1.7,68,50,460,577,44.4
10,Brendan Perlini,20,LW,57,14,7,21,-4,20,11,3,0,2,5,2,0,92,15.2,846,14:50,1.5,0.8,2.3,15,42,1,1,50
11,Jakob Chychrun,18,D,68,7,13,20,-14,47,6,1,0,0,12,1,0,86,8.1,1133,16:40,1.6,1.4,3,99,109,0,0,
12,Jamie McGinn,28,LW,72,9,8,17,-23,23,9,0,0,2,6,2,0,116,7.8,948,13:10,0.2,0.2,0.4,18,116,1,2,33.3
13,Connor Murphy,23,D,77,2,15,17,-13,45,1,0,1,1,15,0,0,81,2.5,1477,19:11,0.3,2.3,2.5,119,201,0,0,
14,Anthony Duclair,21,LW,58,5,10,15,-7,14,5,0,0,1,8,2,0,76,6.6,771,13:18,0,0.6,0.7,17,22,4,4,50
15,Alexander Burmistrov,25,C,26,5,9,14,-1,6,1,4,0,0,8,1,0,32,15.6,400,15:24,1,0.4,1.4,15,32,125,165,43.1
16,Anthony DeAngelo,21,D,39,5,9,14,-13,37,3,2,0,1,3,6,0,60,8.3,667,17:06,1.3,0.4,1.7,48,31,0,0,
17,Ryan White,28,C,46,7,6,13,-8,70,7,0,0,1,6,0,0,43,16.3,504,10:57,0.8,0.3,1.1,26,138,35,46,43.2
18,Lawson Crouse,19,LW,72,5,7,12,-20,48,4,0,1,2,7,0,0,84,6,856,11:53,-0.5,0.2,-0.3,29,160,1,1,50
19,Peter Holland,26,C,40,5,6,11,-14,18,4,1,0,0,6,0,0,66,7.6,526,13:09,0.3,0,0.3,8,34,202,244,45.3
20,Josh Jooris,26,RW,42,3,7,10,-3,10,3,0,0,0,6,0,1,64,4.7,555,13:13,-0.1,0.5,0.4,24,28,192,199,49.1
21,Brad Richardson,31,RW,16,5,4,9,-1,15,3,0,2,0,3,0,1,25,20,246,15:21,0.9,0.2,1.1,7,19,121,109,52.6
22,Michael Stone,26,D,45,1,8,9,-5,12,0,1,0,0,4,4,0,57,1.8,910,20:13,0,1.7,1.6,102,98,1,0,100
23,Luke Schenn,27,D,78,1,7,8,-9,85,1,0,0,0,7,0,0,94,1.1,1408,18:03,-0.8,2.5,1.7,134,286,0,0,
24,Christian Fischer,19,RW,7,3,0,3,0,0,3,0,0,1,0,0,0,10,30,86,12:20,0.4,0.1,0.5,0,9,0,0,
25,Laurent Dauphin,21,C,24,2,1,3,-2,12,1,0,1,1,1,0,0,32,6.3,262,10:55,-0.2,0.2,0,11,32,37,45,45.1
26,Clayton Keller,18,LW,3,0,2,2,-3,0,0,0,0,0,1,1,0,0,,38,12:40,0.1,-0.1,0,0,0,0,0,
27,Teemu Pulkkinen,25,LW,4,1,0,1,-1,4,1,0,0,0,0,0,0,6,16.7,39,9:46,0.1,0,0.1,0,2,0,1,0
28,Kevin Connauton,26,D,24,0,1,1,-1,24,0,0,0,0,1,0,0,21,0,315,13:08,-0.3,0.6,0.4,22,48,0,0,
29,Tyler Gaudet,23,C,4,0,1,1,0,0,0,0,0,0,1,0,0,3,0,52,12:59,0,0.1,0,1,3,14,21,40
30,Dylan Strome,19,C,7,0,1,1,-5,0,0,0,0,0,1,0,0,6,0,96,13:41,-0.2,-0.1,-0.3,2,3,31,46,40.3
31,Louis Domingue,24,G,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,1599,51:34:00,0,0,4.6,0,0,0,0,
32,Marek Langhamer,22,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,15:31,0,0,0,,0,,,
33,Jamie McBain,28,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,50,16:40,-0.1,0,0,4,0,0,0,
34,Zbynek Michalek,34,D,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,53,17:40,-0.1,0.2,0.1,5,7,0,0,
35,Justin Peters,30,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,133,44:18:00,0,0,0.3,,0,,,
36,Mike Smith,34,G,55,0,0,0,0,14,0,0,0,0,0,0,0,1,0,3202,58:13:00,0,0,10.9,0,1,0,0,
,Team Total,,,82,191,324,515,-235,795,145,38,8,24,249,69,6,2281,8.4,,,25.2,26.2,67.3,1215,2098,2412,2613,48
