,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Brad Marchand,28,LW,80,39,46,85,18,81,27,9,3,8,29,15,2,226,17.3,1555,19:26,9.8,2.8,12.6,35,51,13,23,36.1
2,David Pastrnak,20,RW,75,34,36,70,11,34,24,10,0,6,22,14,0,262,13,1349,17:59,8.1,2.2,10.3,32,72,2,1,66.7
3,David Krejci,30,C,82,23,31,54,-12,26,15,8,0,3,25,6,0,158,14.6,1498,18:16,4.6,1.4,6,51,40,657,620,51.4
4,Patrice Bergeron,31,C,79,21,32,53,12,24,13,8,0,7,20,9,3,302,7,1534,19:25,4.2,2.5,6.6,47,54,1086,722,60.1
5,Torey Krug,25,D,81,8,43,51,-10,37,2,6,0,1,24,19,0,208,3.8,1750,21:36,4.6,3.3,7.9,82,59,0,1,0
6,Ryan Spooner,25,C,78,11,28,39,-8,14,8,3,0,3,12,15,1,145,7.6,1099,14:06,2.6,1.1,3.7,17,24,79,124,38.9
7,David Backes,32,RW,74,17,21,38,2,69,15,2,0,2,16,5,0,175,9.7,1267,17:07,2.7,1.7,4.5,47,225,60,63,48.8
8,Zdeno Chara,39,D,75,10,19,29,18,59,7,1,2,0,17,2,0,136,7.4,1750,23:20,2.3,5.7,8,140,130,0,1,0
9,Dominic Moore,36,C,82,11,14,25,2,44,8,0,3,1,13,0,1,96,11.5,1061,12:57,1.1,1.5,2.6,42,63,357,297,54.6
10,Frank Vatrano,22,C,44,10,8,18,-3,14,6,4,0,1,7,1,0,116,8.6,593,13:29,1.5,0.6,2.2,16,51,2,5,28.6
11,Riley Nash,27,C,81,7,10,17,-1,14,6,0,1,2,8,0,2,125,5.6,1118,13:48,-0.4,1.4,1,36,67,276,286,49.1
12,Brandon Carlo,20,D,82,6,10,16,9,59,5,0,1,0,10,0,0,88,6.8,1707,20:49,0.4,4.8,5.2,115,87,0,0,
13,Tim Schaller,26,C,59,7,7,14,-6,23,7,0,0,2,7,0,0,89,7.9,724,12:16,0.4,0.7,1.1,38,73,28,29,49.1
14,Colin Miller,24,D,61,6,7,13,0,55,5,1,0,0,6,1,0,85,7.1,965,15:49,1,2.3,3.3,36,85,0,0,
15,Austin Czarnik,24,C,49,5,8,13,-10,12,5,0,0,1,5,3,0,66,7.6,638,13:01,0.3,0.4,0.7,25,19,57,76,42.9
16,Kevan Miller,29,D,58,3,10,13,1,50,3,0,0,1,9,0,1,49,6.1,1032,17:48,0.5,2.5,3.1,76,121,0,0,
17,Adam McQuaid,30,D,77,2,8,10,4,71,2,0,0,1,7,0,1,64,3.1,1405,18:15,-0.4,3.7,3.3,144,157,0,0,
18,Drew Stafford,31,RW,18,4,4,8,8,12,3,1,0,2,4,0,0,41,9.8,257,14:16,0.7,0.7,1.3,2,25,4,6,40
19,Matt Beleskey,28,LW,49,3,5,8,-10,47,3,0,0,0,3,2,0,79,3.8,650,13:16,-0.6,0.4,-0.2,18,98,29,41,41.4
20,Noel Acciari,25,C,29,2,3,5,3,16,2,0,0,0,3,0,0,24,8.3,301,10:22,0,0.5,0.5,5,80,11,18,37.9
21,Jimmy Hayes,27,RW,58,2,3,5,-3,29,2,0,0,1,3,0,0,74,2.7,535,9:14,-0.7,0.6,-0.1,10,74,14,41,25.5
22,John-Michael Liles,36,D,36,0,5,5,1,4,0,0,0,0,2,3,0,36,0,583,16:12,-0.2,1.5,1.3,41,25,2,0,100
23,Anton Blidh,21,LW,19,1,1,2,-2,7,1,0,0,0,1,0,0,26,3.8,167,8:47,-0.1,0.1,0,4,41,0,0,
24,Peter Cehlarik,21,LW,11,0,2,2,0,0,0,0,0,0,1,1,0,8,0,153,13:55,-0.2,0.2,0,4,7,2,1,66.7
25,Tuukka Rask,29,G,65,0,2,2,0,0,0,0,0,0,2,0,0,0,,3680,56:36:00,0,0,9.8,0,0,0,0,
26,Anton Khudobin,30,G,16,0,1,1,0,2,0,0,0,0,1,0,0,0,,885,55:18:00,0,0,1.9,0,0,0,0,
27,Sean Kuraly,24,C,8,0,1,1,-1,2,0,0,0,0,1,0,0,11,0,74,9:12,-0.1,0.1,0,1,9,1,2,33.3
28,Joseph Morrow,24,D,17,0,1,1,-4,8,0,0,0,0,1,0,0,19,0,264,15:32,-0.2,0.3,0.1,19,29,0,0,
29,Jakob Forsbacka Karlsson,20,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,8:25,0,0,0,0,0,1,1,50
30,Matt Grzelcyk,23,D,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,25,12:29,0,0.1,0,1,0,0,0,
31,Danton Heinen,21,C,8,0,0,0,-3,2,0,0,0,0,0,0,0,7,0,106,13:14,-0.3,0,-0.3,2,6,0,0,
32,Zane McIntyre,24,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,333,41:35:00,0,0,-0.1,0,0,0,0,
33,Rob O'Gara,23,D,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,48,16:01,-0.1,0.2,0.1,7,3,0,0,
34,Malcolm Subban,23,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,30:36:00,0,0,-0.1,,0,,,
,Team Total,,,82,232,366,598,17,817,169,53,10,42,259,96,11,2721,8.5,,,41.5,43.2,96.3,1093,1775,2681,2358,53.2
