,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jeff Skinner,24,LW,79,37,26,63,-3,28,30,7,0,4,18,8,0,281,13.2,1401,17:44,7.1,1.7,8.8,28,33,10,17,37
2,Sebastian Aho,19,RW,82,24,25,49,-1,26,17,6,1,4,13,11,1,214,11.2,1377,16:47,4.2,1.8,5.9,14,51,17,18,48.6
3,Victor Rask,23,C,82,16,29,45,-10,16,12,4,0,3,22,6,1,186,8.6,1418,17:18,2.7,1.4,4.2,33,43,457,461,49.8
4,Jordan Staal,28,C,75,16,29,45,-1,38,11,4,1,3,25,4,0,164,9.8,1400,18:40,2.8,1.8,4.6,29,139,688,477,59.1
5,Elias Lindholm,22,C,72,11,34,45,-2,16,8,2,1,0,21,9,4,151,7.3,1309,18:11,2.5,1.6,4.1,43,99,353,282,55.6
6,Teuvo Teravainen,22,LW,81,15,27,42,-6,16,10,5,0,2,17,10,0,169,8.9,1315,16:14,2.6,1.5,4.1,33,27,193,220,46.7
7,Lee Stempniak,33,RW,82,16,24,40,2,32,14,2,0,2,20,4,0,131,12.2,1299,15:51,2.5,1.8,4.3,16,113,3,5,37.5
8,Justin Faulk,24,D,75,17,20,37,-18,32,13,4,0,2,11,9,0,225,7.6,1736,23:08,3.8,2.8,6.6,84,117,0,0,
9,Jaccob Slavin,22,D,82,5,29,34,23,12,4,0,1,0,22,4,3,99,5.1,1922,23:26,1.9,6.7,8.6,161,35,0,0,
10,Derek Ryan,30,C,67,11,18,29,-8,22,6,4,1,3,14,4,0,73,15.1,998,14:53,1.6,1,2.6,37,33,391,316,55.3
11,Noah Hanifin,20,D,81,4,25,29,-19,26,2,2,0,1,16,9,0,108,3.7,1452,17:55,1.8,2,3.8,73,57,0,0,
12,Brett Pesce,22,D,82,2,18,20,23,20,2,0,0,0,16,2,0,109,1.8,1739,21:12,0.3,6.2,6.5,148,57,0,0,
13,Brock McGinn,22,LW,57,7,9,16,-11,6,7,0,0,1,8,0,1,74,9.5,684,12:00,0.6,0.4,1.1,22,91,1,3,25
14,Ron Hainsey,35,D,56,4,10,14,-16,17,3,0,1,1,9,0,1,62,6.5,1250,22:20,0.4,1.8,2.2,92,79,0,0,
15,Viktor Stalberg,31,LW,57,9,3,12,-6,33,7,0,2,2,3,0,0,71,12.7,667,11:42,0.4,0.6,1.1,16,120,0,3,0
16,Joakim Nordstrom,24,LW,82,7,5,12,-12,17,6,0,1,2,5,0,0,104,6.7,1043,12:43,-0.8,0.9,0,41,148,9,20,31
17,Jay McClement,33,C,65,5,3,8,-8,18,4,0,1,1,3,0,0,37,13.5,740,11:23,-0.6,0.6,0,40,49,253,272,48.2
18,Phillip Di Giuseppe,23,LW,36,1,6,7,-12,15,1,0,0,1,5,1,0,68,1.5,443,12:18,-0.4,0.1,-0.3,10,91,0,2,0
19,Klas Dahlbeck,25,D,43,2,4,6,-12,30,2,0,0,0,4,0,0,37,5.4,597,13:53,0.1,0.5,0.6,38,77,0,0,
20,Matt Tennyson,26,D,45,0,6,6,-13,6,0,0,0,0,6,0,0,36,0,598,13:17,-0.1,0.4,0.3,48,65,0,0,
21,Andrej Nestrasil,25,C,19,1,4,5,-3,2,1,0,0,0,4,0,0,27,3.7,207,10:54,0.1,0.1,0.2,6,10,3,7,30
22,Ryan Murphy,23,D,27,0,2,2,-11,8,0,0,0,0,2,0,0,17,0,356,13:10,-0.2,0,-0.3,31,2,0,0,
23,Ty Rattie,23,RW,5,0,2,2,-2,0,0,0,0,0,2,0,0,9,0,67,13:28,0,0,0,2,9,0,0,
24,Lucas Wallmark,21,C,8,0,2,2,1,2,0,0,0,0,2,0,0,11,0,87,10:52,0,0.2,0.1,3,14,31,27,53.4
25,Bryan Bickell,30,LW,11,1,0,1,-4,4,0,1,0,1,0,0,0,8,12.5,115,10:26,-0.1,0,-0.1,3,16,0,2,0
26,Valentin Zykov,21,LW,2,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,13,6:15,0.2,0.1,0.2,0,0,0,0,
27,Michael Leighton,35,G,4,0,1,1,0,0,0,0,0,0,1,0,0,0,,210,52:34:00,0,0,0.1,0,0,0,0,
28,Sergey Tolchinsky,21,LW,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,23,11:29,0,0,0.1,0,0,0,0,
29,Cam Ward,32,G,61,0,1,1,0,6,0,0,0,0,1,0,0,0,,3618,59:19:00,0,0,8.5,0,0,0,0,
30,Jorge Alves,38,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0:08,0,0,0,,0,,,
31,Patrick Brown,24,C,14,0,0,0,-6,0,0,0,0,0,0,0,0,12,0,136,9:43,-0.4,-0.1,-0.5,5,30,9,6,60
32,Martin Frk,23,RW,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,17,8:20,0,-0.1,-0.2,1,3,0,0,
33,Eddie Lack,29,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,1090,54:30:00,0,0,2.3,0,0,0,0,
34,Jakub Nakladal,29,D,3,0,0,0,-4,0,0,0,0,0,0,0,0,3,0,44,14:30,-0.1,-0.2,-0.3,4,2,0,0,
35,Alex Nedeljkovic,21,G,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,30,29:57:00,0,0,0.3,0,0,0,0,
36,Andrew Poturalski,23,C,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,25,12:16,-0.1,-0.1,-0.2,1,1,12,12,50
,Team Total,,,82,212,363,575,-144,450,161,41,10,33,271,81,11,2493,8.5,,,33,35.3,79.4,1062,1611,2430,2150,53.1
