No.,Player,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary
14,Jamie Benn (C),ca,LW,27,2-Jun,209,L/-,7,18-Jul-89,"26 G, 43 A, 69 P"
24,Jordie Benn,ca,D,29,2-Jun,198,L/-,5,26-Jul-87,"2 G, 13 A, 15 P"
27,Adam Cracknell,ca,RW,31,2-Jun,218,R/-,6,15-Jul-85,"10 G, 6 A, 16 P"
16,Jason Dickinson,ca,C,21,2-Jun,205,L/-,1,4-Jul-95,"2 G, 0 A, 2 P"
37,Justin Dowling,ca,C,26,10-May,185,L/-,R,1-Oct-90,"0 G, 2 A, 2 P"
20,Cody Eakin,ca,C,25,Jun-00,190,L/-,5,24-May-91,"3 G, 9 A, 12 P"
18,Patrick Eaves,ca,RW,32,10-May,202,R/-,11,1-May-84,"21 G, 16 A, 37 P"
40,Remi Elie,ca,LW,21,1-Jun,210,L/-,R,16-Apr-95,"1 G, 6 A, 7 P"
12,Radek Faksa,cz,C,23,3-Jun,216,L/-,1,9-Jan-94,"12 G, 21 A, 33 P"
34,Denis Gurianov,ru,RW,19,3-Jun,200,L/-,R,7-Jun-97,"0 G, 0 A, 0 P"
2,Dan Hamhuis,ca,D,34,1-Jun,204,L/-,12,13-Dec-82,"1 G, 15 A, 16 P"
83,Ales Hemsky,cs,RW,33,Jun-00,177,R/-,13,13-Aug-83,"4 G, 3 A, 7 P"
6,Julius Honka,fi,D,21,11-May,186,R/-,R,3-Dec-95,"1 G, 4 A, 5 P"
22,Jiri Hudler,cs,RW,33,10-May,190,L/-,11,4-Jan-84,"3 G, 8 A, 11 P"
28,Stephen Johns,us,D,24,4-Jun,221,R/-,1,18-Apr-92,"4 G, 6 A, 10 P"
3,John Klingberg,se,D,24,2-Jun,177,R/-,2,14-Aug-92,"13 G, 36 A, 49 P"
38,Lauri Korpikoski,fi,LW,30,1-Jun,193,L/-,8,28-Jul-86,"8 G, 12 A, 20 P"
32,Kari Lehtonen,fi,G,33,4-Jun,209,-/L,12,16-Nov-83,"22-25-7, 2.85 GAA"
23,Esa Lindell,fi,D,22,3-Jun,213,L/-,1,23-May-94,"6 G, 12 A, 18 P"
11,Curtis McKenzie,ca,LW,25,2-Jun,205,L/-,2,22-Feb-91,"6 G, 10 A, 16 P"
38,Mark McNeill,ca,RW,23,2-Jun,214,R/-,1,22-Feb-93,"0 G, 0 A, 0 P"
15,Patrik Nemeth,se,D,24,3-Jun,219,L/-,3,8-Feb-92,"0 G, 3 A, 3 P"
31,Antti Niemi,fi,G,33,2-Jun,215,-/L,8,29-Aug-83,"12-12-4, 3.30 GAA"
47,Johnny Oduya,se,D,35,Jun-00,191,L/-,10,1-Oct-81,"1 G, 6 A, 7 P"
5,Jamie Oleksiak,ca,D,24,7-Jun,255,L/-,4,21-Dec-92,"5 G, 2 A, 7 P"
29,Greg Pateryn,us,D,26,3-Jun,224,R/-,3,20-Jun-90,"0 G, 3 A, 3 P"
25,Brett Ritchie,ca,RW,23,3-Jun,217,R/-,2,1-Jul-93,"16 G, 8 A, 24 P"
21,Antoine Roussel,fr,LW,27,11-May,195,L/-,4,21-Nov-89,"12 G, 15 A, 27 P"
91,Tyler Seguin,ca,C,25,1-Jun,201,R/-,6,31-Jan-92,"26 G, 46 A, 72 P"
10,Patrick Sharp,ca,LW,35,1-Jun,200,R/-,13,27-Dec-81,"8 G, 10 A, 18 P"
17,Devin Shore,ca,C,22,Jun-00,205,L/-,1,19-Jul-94,"13 G, 20 A, 33 P"
46,Gemel Smith,ca,C,22,10-May,190,L/-,R,16-Apr-94,"3 G, 3 A, 6 P"
90,Jason Spezza,ca,C,33,3-Jun,214,R/-,13,13-Jun-83,"15 G, 35 A, 50 P"
