,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jeff Carter,32,C,82,32,34,66,2,41,21,10,1,9,22,12,0,250,12.8,1479,18:02,6.7,2.3,9,37,86,735,680,51.9
2,Anze Kopitar,29,C,76,12,40,52,-10,28,7,5,0,0,25,14,1,150,8,1578,20:46,2.6,1.9,4.6,59,78,892,801,52.7
3,Tanner Pearson,24,LW,80,24,20,44,5,13,20,3,1,5,14,5,1,187,12.8,1306,16:19,3.8,2.2,6,31,124,10,14,41.7
4,Drew Doughty,27,D,82,12,32,44,8,46,7,5,0,1,17,14,1,181,6.6,2226,27:09:00,3.4,7.2,10.5,109,129,1,0,100
5,Alec Martinez,29,D,82,9,30,39,-17,24,6,2,1,3,17,13,0,144,6.3,1775,21:38,3.1,3.7,6.8,167,137,0,1,0
6,Dustin Brown,32,RW,80,14,22,36,-4,22,9,4,1,1,20,2,0,175,8,1280,16:00,1.9,1.8,3.7,31,190,2,3,40
7,Tyler Toffoli,24,C,63,16,18,34,6,22,12,4,0,2,14,3,1,165,9.7,1045,16:35,2.6,1.8,4.4,4,54,2,3,40
8,Jake Muzzin,27,D,82,9,19,28,-21,46,5,4,0,1,13,6,0,184,4.9,1828,22:18,1.8,3.6,5.4,122,162,0,0,
9,Trevor Lewis,30,C,82,12,12,24,-6,30,11,1,0,3,11,1,0,145,8.3,1170,14:16,0.7,1.5,2.2,30,174,44,66,40
10,Nic Dowd,26,C,70,6,16,22,-15,25,5,1,0,2,9,7,0,78,7.7,872,12:27,0.6,0.7,1.3,35,145,338,369,47.8
11,Marian Gaborik,34,RW,56,10,11,21,-4,18,7,3,0,3,9,2,0,123,8.1,828,14:47,1.1,1.1,2.2,15,21,0,1,0
12,Derek Forbort,24,D,82,2,16,18,8,54,2,0,0,0,15,0,1,100,2,1650,20:07,0.1,5.5,5.6,159,180,1,0,100
13,Nick Shore,24,C,70,6,11,17,-2,20,5,0,1,1,11,0,0,79,7.6,895,12:47,0,1.3,1.3,22,58,362,359,50.2
14,Dwight King,27,LW,63,8,7,15,0,10,8,0,0,1,7,0,0,89,9,945,15:00,-0.1,1.4,1.3,21,96,4,9,30.8
15,Kyle Clifford,26,LW,73,6,6,12,-2,92,6,0,0,0,6,0,0,122,4.9,783,10:43,-0.2,1.1,0.9,7,146,2,3,40
16,Devin Setoguchi,30,RW,45,4,8,12,-5,14,4,0,0,0,7,1,0,60,6.7,560,12:27,0.2,0.6,0.8,10,53,2,2,50
17,Jarome Iginla,39,RW,19,6,3,9,-9,16,3,3,0,4,3,0,0,33,18.2,310,16:20,0.8,0.1,0.9,4,37,4,7,36.4
18,Jordan Nolan,27,C,46,4,4,8,-3,44,4,0,0,0,4,0,0,39,10.3,499,10:51,-0.1,0.6,0.5,7,62,2,4,33.3
19,Paul Ladue,24,D,22,0,8,8,-5,4,0,0,0,0,4,4,0,27,0,339,15:24,0.5,0.6,1,13,17,0,0,
20,Kevin Gravel,24,D,49,1,6,7,3,6,0,1,0,0,5,1,0,52,1.9,693,14:09,0,2.3,2.3,65,73,0,0,
21,Adrian Kempe,20,LW,25,2,4,6,-3,6,2,0,0,1,1,2,1,32,6.3,306,12:14,0,0.3,0.4,7,23,67,86,43.8
22,Tom Gilbert,34,D,18,1,4,5,-4,6,1,0,0,0,3,1,0,12,8.3,278,15:27,0.3,0.5,0.8,28,10,0,0,
23,Brayden McNabb,26,D,49,2,2,4,1,54,2,0,0,0,2,0,0,47,4.3,738,15:04,-0.3,2.2,2,54,110,0,0,
24,Matt Greene,33,D,26,1,1,2,3,19,1,0,0,0,1,0,0,14,7.1,343,13:11,-0.1,1.2,1.2,27,71,0,0,
25,Andy Andreoff,25,LW,36,0,2,2,-2,70,0,0,0,0,2,0,0,38,0,381,10:36,-0.9,0.5,-0.4,7,70,41,28,59.4
26,Jonny Brodzinski,23,C,6,0,2,2,2,2,0,0,0,0,2,0,0,17,0,74,12:17,0,0.2,0.2,4,10,0,0,
27,Teddy Purcell,31,LW,12,0,2,2,0,0,0,0,0,0,2,0,0,10,0,155,12:54,-0.2,0.2,0,2,7,3,0,100
28,Peter Budaj,34,G,53,0,1,1,0,0,0,0,0,0,0,1,0,0,,3029,57:10:00,0,0,8.1,0,0,0,0,
29,Ben Bishop,30,G,7,0,0,0,0,2,0,0,0,0,0,0,0,0,,410,58:34:00,0,0,0.7,0,0,0,0,
30,Jack Campbell,25,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,20:00,0,0,0.1,,0,,,
31,Jonathan Quick,31,G,17,0,0,0,0,2,0,0,0,0,0,0,0,0,,931,54:46:00,0,0,2.7,0,0,0,0,
32,Jeff Zatkoff,29,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,550,42:20:00,0,0,0.4,0,0,0,0,
,Team Total,,,82,199,341,540,-74,736,148,46,5,37,246,89,6,2553,7.8,,,28.4,46.3,86.8,1077,2323,2512,2436,50.8
