,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Mikael Granlund,24,C,81,26,43,69,23,12,16,7,3,4,29,13,1,177,14.7,1525,18:49,6.2,2.3,8.5,50,50,16,17,48.5
2,Eric Staal,32,C,82,28,37,65,17,34,23,4,1,8,24,12,1,211,13.3,1526,18:36,6,2,8,39,42,577,597,49.1
3,Mikko Koivu,33,C,80,18,40,58,27,34,16,2,0,4,20,18,2,139,12.9,1529,19:07,4.1,2.4,6.6,65,32,938,761,55.2
4,Nino Niederreiter,24,RW,82,25,32,57,17,53,17,8,0,3,26,6,0,186,13.4,1236,15:04,5.6,1.8,7.4,20,120,0,1,0
5,Charlie Coyle,24,C,82,18,38,56,13,36,14,4,0,5,33,5,0,159,11.3,1370,16:42,4.4,1.7,6.1,63,101,114,134,46
6,Jason Zucker,25,LW,79,22,25,47,34,30,21,1,0,3,25,0,0,172,12.8,1208,15:17,4.3,2.5,6.7,42,73,1,4,20
7,Jason Pominville,34,RW,78,13,34,47,2,4,13,0,0,2,27,7,0,176,7.4,1110,14:14,3.5,1,4.6,39,44,39,39,50
8,Zach Parise,32,LW,69,19,23,42,-3,30,13,6,0,4,17,6,0,194,9.8,1203,17:26,3.4,0.9,4.3,69,46,8,5,61.5
9,Ryan Suter,32,D,82,9,31,40,34,36,4,4,1,1,22,8,1,164,5.5,2208,26:55:00,2.7,6.6,9.3,105,72,0,0,
10,Jared Spurgeon,27,D,76,10,28,38,33,20,9,1,0,2,23,4,1,144,6.9,1827,24:02:00,3,5.9,8.9,140,49,0,0,
11,Mathew Dumba,22,D,76,11,23,34,15,59,5,6,0,1,16,6,1,131,8.4,1545,20:20,3.1,3.9,6.9,71,96,0,0,
12,Erik Haula,25,C,72,15,11,26,5,28,14,1,0,4,11,0,0,134,11.2,995,13:49,1.8,1.1,2.8,38,39,404,346,53.9
13,Jonas Brodin,23,D,68,3,22,25,5,20,1,2,0,2,17,5,0,85,3.5,1331,19:34,1.4,2.7,4.1,89,20,0,0,
14,Chris Stewart,29,RW,79,13,8,21,3,94,13,0,0,0,6,2,0,82,15.9,821,10:23,1.5,0.8,2.3,19,85,2,9,18.2
15,Jordan Schroeder,26,C,37,6,7,13,5,0,6,0,0,0,7,0,0,37,16.2,362,9:47,1.1,0.5,1.6,15,29,19,21,47.5
16,Martin Hanzal,29,C,20,4,9,13,-2,10,3,1,0,0,9,0,0,43,9.3,310,15:31,1,0.2,1.2,13,40,171,125,57.8
17,Marco Scandella,26,D,71,4,9,13,-2,25,4,0,0,0,9,0,0,88,4.5,1302,18:20,0.3,2,2.3,85,50,0,0,
18,Tyler Graovac,23,C,52,7,2,9,7,10,7,0,0,2,2,0,0,48,14.6,512,9:50,0.3,0.7,1.1,15,52,163,180,47.5
19,Christian Folin,25,D,51,2,6,8,10,26,2,0,0,0,6,0,0,39,5.1,762,14:56,0.2,2.1,2.3,59,69,0,0,
20,Joel Eriksson Ek,20,LW,15,3,4,7,1,4,3,0,0,1,4,0,0,15,20,159,10:37,0.7,0.2,0.8,8,23,45,64,41.3
21,Nate Prosser,30,D,39,2,5,7,0,12,2,0,0,0,4,1,0,20,10,496,12:44,0.4,0.8,1.2,63,30,0,0,
22,Ryan White,28,C,19,2,1,3,-8,14,2,0,0,0,1,0,0,17,11.8,189,9:57,0,-0.2,-0.2,7,49,4,6,40
23,Zac Dalpe,27,C,9,1,2,3,0,9,1,0,0,0,2,0,0,8,12.5,77,8:33,0.2,0.1,0.3,5,5,27,32,45.8
24,Gustav Olofsson,22,D,13,0,3,3,-1,2,0,0,0,0,2,1,0,7,0,175,13:29,0.1,0.2,0.3,16,10,0,0,
25,Teemu Pulkkinen,25,LW,9,1,0,1,-1,2,1,0,0,0,0,0,0,4,25,84,9:23,0,0,0,3,2,0,0,
26,Mike Reilly,23,D,17,1,0,1,1,2,1,0,0,0,0,0,0,19,5.3,210,12:23,0,0.4,0.4,8,2,0,0,
27,Christoph Bertschy,22,C,5,0,1,1,0,4,0,0,0,0,1,0,0,5,0,41,8:08,0,0,0,3,7,0,0,
28,Kurtis Gabriel,23,RW,13,0,1,1,0,29,0,0,0,0,1,0,0,3,0,76,5:49,-0.1,0.1,0,1,26,0,0,
29,Darcy Kuemper,26,G,18,0,1,1,0,4,0,0,0,0,1,0,0,0,,1053,58:30:00,0,0,2.6,0,0,0,0,
30,Patrick Cannone,30,C,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,7:53,-0.1,0,0,1,2,11,10,52.4
31,Devan Dubnyk,30,G,65,0,0,0,0,10,0,0,0,0,0,0,0,0,,3758,57:49:00,0,0,13.1,0,0,0,0,
32,Zack Mitchell,24,RW,11,0,0,0,-1,0,0,0,0,0,0,0,0,10,0,93,8:26,-0.3,0,-0.2,3,14,11,8,57.9
33,Alex Stalock,29,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,119,59:28:00,0,0,0.5,0,0,0,0,
34,Alex Tuch,20,RW,6,0,0,0,-3,0,0,0,0,0,0,0,0,8,0,64,10:42,-0.2,-0.1,-0.3,7,5,0,0,
,Team Total,,,82,263,446,709,231,653,211,47,5,46,345,94,7,2527,10.4,,,54.6,42.9,113.6,1161,1284,2550,2359,51.9
