,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Mats Zuccarello,29,RW,80,15,44,59,15,26,10,5,0,3,35,9,0,189,7.9,1506,18:50,4,2,6,52,85,6,7,46.2
2,J.T. Miller,23,LW,82,22,34,56,17,21,17,2,3,6,28,5,1,132,16.7,1342,16:22,4.9,1.9,6.8,56,101,157,200,44
3,Derek Stepan,26,C,81,17,38,55,19,16,12,4,1,2,24,14,0,209,8.1,1507,18:37,3.8,2.2,5.9,45,26,716,806,47
4,Chris Kreider,25,LW,75,28,25,53,6,58,22,6,0,4,18,7,0,186,15.1,1275,17:00,5.4,1.4,6.8,30,132,5,4,55.6
5,Kevin Hayes,24,RW,76,17,32,49,10,18,15,1,1,4,20,6,6,143,11.9,1258,16:34,3.8,1.6,5.3,30,40,442,526,45.7
6,Ryan McDonagh,27,D,77,6,36,42,20,37,4,1,1,1,22,14,0,153,3.9,1876,24:21:00,3,4.8,7.8,160,80,0,0,
7,Michael Grabner,29,RW,76,27,13,40,22,10,26,0,1,3,11,0,2,162,16.7,1071,14:06,4.4,1.9,6.3,34,41,7,6,53.8
8,Brady Skjei,22,D,80,5,34,39,11,42,5,0,0,0,27,7,0,127,3.9,1397,17:28,3.1,3.3,6.4,69,147,0,1,0
9,Rick Nash,32,RW,67,23,15,38,9,26,16,6,1,3,12,3,0,195,11.8,1103,16:28,3.7,1.4,5,35,63,0,1,0
10,Mika Zibanejad,23,C,56,14,23,37,9,16,10,4,0,2,16,7,0,119,11.8,956,17:04,3,1.2,4.2,27,23,494,456,52
11,Nick Holden,29,D,80,11,23,34,13,35,8,3,0,2,21,1,1,84,13.1,1649,20:37,2.9,3.9,6.8,88,164,0,1,0
12,Jimmy Vesey,23,LW,80,16,11,27,-13,26,11,5,0,6,8,3,0,116,13.8,1091,13:38,1.7,0.4,2.2,37,64,2,5,28.6
13,Jesper Fast,25,RW,68,6,15,21,6,16,6,0,0,1,15,0,0,56,10.7,938,13:48,0.4,1.1,1.5,44,99,17,27,38.6
14,Pavel Buchnevich,21,RW,41,8,12,20,6,13,7,1,0,0,10,2,0,55,14.5,544,13:16,1.6,0.7,2.3,8,17,1,6,14.3
15,Oscar Lindberg,25,C,65,8,12,20,2,32,8,0,0,1,11,1,0,86,9.3,704,10:50,1.1,0.7,1.8,36,94,299,276,52
16,Brandon Pirri,25,RW,60,8,10,18,-8,25,3,5,0,3,6,4,0,96,8.3,737,12:17,0.8,0.3,1.1,20,41,140,103,57.6
17,Dan Girardi,32,D,63,4,11,15,8,16,3,0,1,3,10,0,1,56,7.1,1203,19:06,0.6,2.7,3.3,166,107,0,0,
18,Kevin Klein,32,D,60,3,11,14,5,31,3,0,0,0,9,1,1,54,5.6,1058,17:38,0.6,2.2,2.8,123,135,0,0,
19,Adam Clendening,24,D,31,2,9,11,3,17,1,1,0,0,8,1,0,38,5.3,490,15:49,0.8,1.1,1.9,27,22,0,0,
20,Marc Staal,30,D,72,3,7,10,9,34,3,0,0,0,6,0,1,70,4.3,1381,19:11,-0.3,3.1,2.8,97,89,0,1,0
21,Matt Puempel,24,LW,27,6,3,9,-6,4,3,3,0,1,3,0,0,32,18.8,274,10:10,0.9,0,0.9,6,18,0,0,
22,Brendan Smith,27,D,18,1,3,4,2,29,1,0,0,0,3,0,0,23,4.3,363,20:10,0.1,0.8,0.9,27,16,0,0,
23,Tanner Glass,33,LW,11,1,1,2,0,17,1,0,0,0,1,0,0,8,12.5,120,10:55,0,0.1,0.1,4,37,2,0,100
24,Josh Jooris,26,RW,12,1,1,2,1,6,1,0,0,0,1,0,0,11,9.1,103,8:36,0,0.1,0.2,6,21,30,29,50.8
25,Steven Kampfer,28,D,10,1,1,2,-1,2,1,0,0,0,1,0,0,10,10,129,12:54,0.2,0.1,0.3,9,23,0,0,
26,Marek Hrivik,25,LW,16,0,2,2,-3,2,0,0,0,0,1,1,0,15,0,167,10:25,-0.2,0,-0.2,5,19,32,48,40
27,Henrik Lundqvist,34,G,57,0,1,1,0,0,0,0,0,0,1,0,0,0,,3240,56:51:00,0,0,9.1,0,0,0,0,
28,Antti Raanta,27,G,30,0,1,1,0,0,0,0,0,0,0,1,0,0,,1617,53:55:00,0,0,5.4,0,0,0,0,
29,Taylor Beck,25,LW,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0,26,13:12,-0.1,-0.1,-0.1,0,2,0,1,0
30,Magnus Hellberg,25,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,79,39:16:00,0,0,0.2,,0,,,
31,Nicklas Jensen,23,RW,7,0,0,0,-2,0,0,0,0,0,0,0,0,8,0,65,9:13,-0.2,0,-0.2,2,7,0,0,
32,Dylan McIlrath,24,D,1,0,0,0,0,4,0,0,0,0,0,0,0,0,,9,9:14,0,0,0,0,2,0,0,
33,Boo Nieves,23,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,11:44,0,0,-0.1,1,0,3,7,30
,Team Total,,,82,253,428,681,157,579,197,47,9,45,328,87,13,2438,10.4,,,49.9,39,103.7,1244,1715,2353,2511,48.4
