,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Erik Karlsson,26,D,77,17,54,71,10,28,13,4,0,5,29,23,2,218,7.8,2066,26:50:00,7.2,5.7,12.9,201,67,0,0,
2,Mike Hoffman,27,LW,74,26,35,61,17,51,13,13,0,8,22,13,0,224,11.6,1302,17:36,6,2.2,8.3,21,41,12,9,57.1
3,Kyle Turris,27,C,78,27,28,55,-3,47,21,6,0,6,17,11,0,185,14.6,1521,19:30,4.9,1.7,6.5,61,21,650,575,53.1
4,Mark Stone,24,RW,71,22,32,54,12,25,16,6,0,5,24,8,0,134,16.4,1318,18:34,4.8,2.1,6.8,53,43,10,15,40
5,Derick Brassard,29,C,81,14,25,39,12,24,11,3,0,3,21,4,0,195,7.2,1408,17:23,1.9,2.2,4.1,24,92,612,613,50
6,Jean-Gabriel Pageau,24,C,82,12,21,33,13,24,12,0,0,2,19,0,2,169,7.1,1323,16:08,1.3,2.1,3.4,79,161,558,460,54.8
7,Zack Smith,28,C,74,16,16,32,6,61,11,1,4,1,16,0,0,137,11.7,1212,16:23,1.9,1.7,3.6,38,140,317,292,52.1
8,Ryan Dzingel,24,LW,81,14,18,32,7,30,12,1,1,1,16,2,0,123,11.4,1165,14:23,1.8,1.7,3.5,21,71,9,21,30
9,Dion Phaneuf,31,D,81,9,21,30,-6,100,4,4,1,2,9,12,0,156,5.8,1866,23:02,2,3.9,5.9,156,132,0,0,
10,Bobby Ryan,29,RW,62,13,12,25,-3,24,11,2,0,0,9,3,0,111,11.7,963,15:32,1.5,1,2.5,36,109,6,3,66.7
11,Tom Pyatt,29,LW,82,9,14,23,9,16,9,0,0,1,12,0,2,95,9.5,1281,15:38,0,1.9,1.8,89,46,21,28,42.9
12,Chris Wideman,27,D,76,5,12,17,7,46,4,1,0,1,8,4,0,123,4.1,1061,13:58,1.1,3.1,4.2,68,68,0,0,
13,Cody Ceci,23,D,79,2,15,17,-11,20,2,0,0,0,12,1,2,143,1.4,1833,23:12,-0.2,3.4,3.2,159,111,1,0,100
14,Chris Kelly,36,C,82,5,7,12,-17,23,4,0,1,2,7,0,0,85,5.9,979,11:56,-0.9,0.4,-0.4,48,71,223,278,44.5
15,Marc Methot,31,D,68,0,12,12,13,24,0,0,0,0,12,0,0,69,0,1348,19:49,-0.4,4.2,3.9,77,164,0,0,
16,Alexandre Burrows,35,LW,20,6,5,11,6,9,5,1,0,1,5,0,0,29,20.7,276,13:47,1.1,0.6,1.7,14,24,5,3,62.5
17,Fredrik Claesson,24,D,33,3,8,11,5,4,3,0,0,0,7,0,1,25,12,434,13:08,1,1.4,2.4,24,55,0,0,
18,Viktor Stalberg,31,LW,18,2,2,4,-3,8,1,1,0,0,1,1,0,30,6.7,248,13:48,0,0.2,0.1,12,21,0,0,
19,Tommy Wingels,28,C,36,2,2,4,-9,12,2,0,0,0,2,0,0,39,5.1,395,10:58,-0.4,0.1,-0.4,24,64,52,61,46
20,Chris Neil,37,RW,53,1,3,4,-11,63,1,0,0,0,3,0,0,42,2.4,401,7:34,-0.6,0,-0.6,20,108,0,0,
21,Mark Borowiecki,27,D,70,1,2,3,-3,154,1,0,0,0,2,0,0,50,2,981,14:01,-0.8,2,1.3,90,364,1,0,100
22,Craig Anderson,35,G,40,0,1,1,0,0,0,0,0,0,0,1,0,0,,2421,60:32:00,0,0,9.2,0,0,0,0,
23,Curtis Lazar,21,RW,33,0,1,1,-10,4,0,0,0,0,1,0,0,24,0,291,8:49,-0.7,-0.1,-0.8,16,57,28,47,37.3
24,Casey Bailey,25,RW,7,0,0,0,-1,0,0,0,0,0,0,0,0,10,0,56,8:00,-0.2,0,-0.1,4,4,0,1,0
25,Mike Blunden,30,RW,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,16,8:07,0,0,0,0,6,0,0,
26,Thomas Chabot,20,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,7,7:09,0,-0.2,-0.2,0,1,0,0,
27,Mike Condon,26,G,40,0,0,0,0,4,0,0,0,0,0,0,0,0,,2304,57:37:00,0,0,6.7,0,0,0,0,
28,Christopher Didomenico,27,RW,3,0,0,0,0,6,0,0,0,0,0,0,0,5,0,33,11:01,-0.1,0,-0.1,2,2,2,1,66.7
29,Chris Driedger,22,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,40:00:00,0,0,-0.2,0,0,0,0,
30,Andreas Englund,21,D,5,0,0,0,-3,2,0,0,0,0,0,0,0,3,0,53,10:38,-0.1,-0.1,-0.2,0,18,0,0,
31,Andrew Hammond,28,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,206,34:17:00,0,0,-0.3,0,0,0,0,
32,Ben Harpur,22,D,6,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,107,17:48,-0.1,0.2,0,3,5,0,0,
33,Jyrki Jokipakka,25,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,,43,14:28,-0.1,0,0,2,6,0,0,
34,Clarke MacArthur,31,LW,4,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,54,13:29,-0.2,0,-0.1,1,4,0,1,0
35,Max McCormick,24,RW,7,0,0,0,-3,0,0,0,0,0,0,0,0,7,0,47,6:46,-0.1,-0.1,-0.2,1,13,15,9,62.5
36,Nick Paul,21,LW,1,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,16,16:29,0,-0.1,-0.1,0,3,5,8,38.5
37,Matt Puempel,24,LW,13,0,0,0,-5,7,0,0,0,0,0,0,0,12,0,111,8:34,-0.3,-0.1,-0.4,6,10,0,1,0
