,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jakub Voracek,27,RW,82,20,41,61,-24,56,15,5,0,3,23,18,0,253,7.9,1565,19:05,4.6,1,5.6,22,30,3,11,21.4
2,Claude Giroux,29,C,82,14,44,58,-15,38,9,5,0,3,17,26,1,199,7,1568,19:07,3.6,1.4,4.9,28,68,977,771,55.9
3,Brayden Schenn,25,C,79,25,30,55,-13,38,8,17,0,7,19,11,0,178,14,1407,17:48,4.9,1.2,6.2,42,189,232,262,47
4,Wayne Simmonds,28,RW,82,31,23,54,-18,122,13,16,2,4,14,9,0,224,13.8,1556,18:58,5.1,1.2,6.3,60,162,8,9,47.1
5,Shayne Gostisbehere,23,D,76,7,32,39,-21,32,5,2,0,1,11,21,0,198,3.5,1489,19:36,3.2,2,5.2,94,43,0,0,
6,Sean Couturier,24,C,66,14,20,34,12,33,14,0,0,2,17,2,1,120,11.7,1217,18:27,1.9,2,3.9,35,41,587,479,55.1
7,Ivan Provorov,20,D,82,6,24,30,-7,34,6,0,0,1,19,5,0,161,3.7,1802,21:59,1.7,3.9,5.7,166,111,0,0,
8,Travis Konecny,19,C,70,11,17,28,-2,49,8,3,0,0,16,1,0,133,8.3,986,14:05,1.6,1.2,2.7,26,92,0,5,0
9,Radko Gudas,26,D,67,6,17,23,8,93,6,0,0,0,16,1,0,113,5.3,1293,19:18,1.6,3.9,5.5,124,280,0,0,
10,Mark Streit,39,D,49,5,16,21,-10,22,4,1,0,1,9,7,0,88,5.7,950,19:23,1.7,1.5,3.2,58,25,0,0,
11,Matt Read,30,RW,63,10,9,19,3,8,7,2,1,2,9,0,0,92,10.9,869,13:48,0.8,1.2,2,32,95,5,10,33.3
12,Michael Del Zotto,26,D,51,6,12,18,-5,28,6,0,0,0,10,1,1,92,6.5,995,19:30,1.4,2.1,3.5,85,173,0,1,0
13,Andrew MacDonald,30,D,73,2,16,18,-5,26,2,0,0,0,15,0,1,65,3.1,1468,20:06,0.4,3.3,3.7,151,39,0,0,
14,Nick Cousins,23,C,60,6,10,16,-6,31,5,1,0,0,9,1,0,99,6.1,720,12:00,0.4,0.7,1.1,24,61,89,128,41
15,Dale Weise,28,RW,64,8,7,15,1,39,7,1,0,2,6,1,0,94,8.5,824,12:53,0.2,1.1,1.3,24,135,3,0,100
16,Chris VandeVelde,29,C,81,6,9,15,-5,16,6,0,0,0,9,0,0,69,8.7,936,11:34,-0.3,1,0.7,60,114,24,20,54.5
17,Jordan Weal,24,C,23,8,4,12,5,10,7,1,0,1,4,0,0,49,16.3,329,14:19,1.3,0.6,1.9,8,7,14,14,50
18,Brandon Manning,26,D,65,3,9,12,-12,83,2,0,1,1,9,0,0,84,3.6,1174,18:03,0.2,1.9,2.1,79,121,0,1,0
19,Michael Raffl,28,LW,52,8,3,11,-7,20,8,0,0,3,3,0,0,63,12.7,690,13:16,0.2,0.6,0.7,22,91,3,7,30
20,Valtteri Filppula,32,C,20,5,3,8,-2,2,5,0,0,0,3,0,0,23,21.7,343,17:08,0.5,0.3,0.8,11,5,126,112,52.9
21,Pierre-Edouard Bellemare,31,LW,82,4,4,8,-1,20,4,0,0,0,3,0,1,90,4.4,1064,12:58,-1.7,1.3,-0.4,70,73,400,429,48.3
22,Roman Lyubimov,25,LW,47,4,2,6,-2,8,4,0,0,1,2,0,0,41,9.8,450,9:35,-0.2,0.5,0.3,16,28,1,6,14.3
23,Nick Schultz,34,D,28,0,4,4,1,10,0,0,0,0,4,0,0,25,0,427,15:15,-0.1,1.2,1.1,61,45,0,0,
24,Taylor Leier,22,LW,10,1,1,2,-1,4,1,0,0,0,1,0,0,7,14.3,91,9:04,0.1,0.1,0.1,0,7,0,1,0
25,Boyd Gordon,33,C,13,1,0,1,-5,2,1,0,0,0,0,0,0,8,12.5,106,8:11,-0.1,-0.1,-0.2,7,4,48,38,55.8
26,Colin McDonald,32,C,3,1,0,1,1,0,1,0,0,0,0,0,0,5,20,27,9:01,0.1,0.1,0.2,0,9,0,1,0
27,Steve Mason,28,G,58,0,1,1,0,0,0,0,0,0,1,0,0,0,,3225,55:36:00,0,0,8.2,0,0,0,0,
28,Robert Hagg,21,D,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,21:19,0,0.1,0,3,4,0,0,
29,Scott Laughton,22,C,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,10:15,-0.1,0,0,0,3,11,9,55
30,Samuel Morin,21,D,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,17:47,0,0,0,0,7,0,0,
31,Michal Neuvirth,28,G,28,0,0,0,0,2,0,0,0,0,0,0,0,0,,1364,48:42:00,0,0,1.9,0,0,0,0,
32,Anthony Stolarz,23,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,376,53:44:00,0,0,1.4,0,0,0,0,
33,Mike Vecchione,23,RW,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,17,8:30,0,0,-0.1,1,1,8,4,66.7
,Team Total,,,82,212,358,570,-131,826,154,54,4,32,249,104,5,2585,8.2,,,33.1,35.2,79.9,1309,2063,2539,2318,52.3
