,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Sidney Crosby,29,C,75,44,45,89,17,24,30,14,0,5,34,11,0,255,17.3,1491,19:53,10.5,1.7,12.3,27,80,842,906,48.2
2,Evgeni Malkin,30,C,62,33,39,72,18,77,22,11,0,6,27,12,0,191,17.3,1154,18:37,8.4,1.6,9.9,25,40,365,481,43.1
3,Phil Kessel,29,RW,82,23,47,70,3,20,15,8,0,4,25,22,0,229,10,1471,17:56,6.1,1.1,7.3,15,12,5,10,33.3
4,Conor Sheary,24,LW,61,23,30,53,24,22,21,2,0,6,27,3,0,154,14.9,972,15:56,5.7,1.7,7.3,23,29,0,0,
5,Justin Schultz,26,D,78,12,39,51,27,34,9,3,0,1,22,17,0,154,7.8,1595,20:27,5,4.2,9.2,116,67,0,0,
6,Patric Hornqvist,30,RW,70,21,23,44,16,28,11,10,0,6,16,7,0,223,9.4,1117,15:57,4,1.4,5.5,62,227,3,8,27.3
7,Nick Bonino,28,C,80,18,19,37,-5,16,11,6,1,1,14,5,0,142,12.7,1332,16:39,2.3,0.7,3,99,60,582,631,48
8,Kris Letang,29,D,41,5,29,34,2,32,3,2,0,2,16,12,1,122,4.1,1046,25:31:00,3,1.5,4.5,70,70,0,0,
9,Jake Guentzel,22,C,40,16,17,33,7,10,15,1,0,0,15,2,0,81,19.8,635,15:53,3.6,0.7,4.4,18,61,8,8,50
10,Matt Cullen,40,C,72,13,18,31,4,30,9,2,2,2,16,2,0,93,14,1002,13:55,2,0.9,2.9,27,36,440,419,51.2
11,Chris Kunitz,37,LW,71,9,20,29,0,36,9,0,0,3,15,5,0,134,6.7,1101,15:31,1.1,0.8,1.9,28,216,3,10,23.1
12,Bryan Rust,24,RW,57,15,13,28,4,8,15,0,0,1,12,0,1,110,13.6,777,13:38,2.6,0.7,3.3,29,101,2,3,40
13,Scott Wilson,24,LW,78,8,18,26,0,32,8,0,0,1,18,0,0,127,6.3,854,10:57,1.4,0.6,2,31,167,3,0,100
14,Ian Cole,27,D,81,5,21,26,26,72,5,0,0,1,20,1,0,89,5.6,1605,19:49,1.4,4.2,5.6,194,164,0,0,
