,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Vladimir Tarasenko,25,RW,82,39,36,75,-1,12,30,9,0,8,23,13,0,286,13.6,1515,18:28,8.4,1.7,10.2,31,50,5,5,50
2,Jaden Schwartz,24,LW,78,19,36,55,14,18,16,3,0,4,30,6,0,179,10.6,1475,18:54,4.1,2.3,6.4,43,71,67,73,47.9
3,Alex Steen,32,LW,76,16,35,51,-2,53,13,3,0,2,22,13,0,117,13.7,1467,19:18,3.3,1.6,5,69,33,101,146,40.9
4,Alex Pietrangelo,27,D,80,14,34,48,3,24,8,6,0,4,21,13,0,181,7.7,2023,25:17:00,4.4,4.8,9.2,158,38,0,1,0
5,David Perron,28,LW,82,18,28,46,-2,54,14,3,1,3,18,10,0,151,11.9,1418,17:18,3.1,1.6,4.7,28,87,32,34,48.5
6,Kevin Shattenkirk,28,D,61,11,31,42,-11,37,4,7,0,0,18,13,0,115,9.6,1211,19:51,4.4,1.8,6.2,69,70,0,0,
7,Paul Stastny,31,C,66,18,22,40,4,36,13,5,0,5,14,8,0,112,16.1,1263,19:08,2.9,1.7,4.5,35,51,786,624,55.7
8,Colton Parayko,23,D,81,4,31,35,7,32,0,4,0,2,24,6,1,188,2.1,1717,21:12,2.2,4.5,6.7,117,80,0,0,
9,Patrik Berglund,28,C,82,23,11,34,-7,32,19,4,0,5,7,4,0,153,15,1311,15:59,2.6,1.3,3.9,42,155,584,585,50
10,Robby Fabbri,21,C,51,11,18,29,-16,27,7,4,0,0,13,5,0,91,12.1,796,15:37,2.2,0.3,2.5,14,64,13,11,54.2
11,Jori Lehtera,29,C,64,7,15,22,-6,34,7,0,0,1,12,3,0,67,10.4,971,15:11,0.5,0.9,1.4,29,64,409,423,49.2
12,Scottie Upshall,33,RW,73,10,8,18,-1,45,8,0,2,1,8,0,0,85,11.8,802,10:59,0.9,0.9,1.8,21,99,3,9,25
13,Kyle Brodziak,32,C,69,8,7,15,2,27,8,0,0,2,7,0,0,55,14.5,773,11:12,0.4,1,1.4,39,56,323,330,49.5
14,Joel Edmundson,23,D,69,3,12,15,11,60,3,0,0,1,12,0,0,81,3.7,1226,17:46,0.5,3.7,4.2,95,122,0,0,
15,Jay Bouwmeester,33,D,81,1,14,15,6,28,1,0,0,0,13,1,0,106,0.9,1815,22:24,-0.5,4.6,4.1,111,67,0,0,
16,Magnus Paajarvi,25,LW,32,8,5,13,9,6,7,1,0,3,5,0,0,51,15.7,389,12:09,1.2,0.8,2.1,16,29,1,2,33.3
17,Ryan Reaves,30,RW,80,7,6,13,4,104,7,0,0,1,6,0,0,58,12.1,711,8:53,0.2,1,1.2,26,239,0,5,0
18,Ivan Barbashev,21,C,30,5,7,12,5,2,5,0,0,1,7,0,0,20,25,354,11:47,0.9,0.6,1.5,14,34,83,124,40.1
19,Dmitrij Jaskin,23,RW,51,1,10,11,5,18,1,0,0,0,10,0,0,55,1.8,589,11:33,-0.3,0.9,0.6,19,98,5,5,50
20,Nail Yakupov,23,RW,40,3,6,9,-3,14,3,0,0,0,6,0,0,35,8.6,426,10:39,0.1,0.4,0.5,8,32,0,0,
21,Carl Gunnarsson,30,D,56,0,6,6,-5,4,0,0,0,0,6,0,0,32,0,761,13:36,-0.3,1.3,1,68,42,0,0,
22,Zachary Sanford,22,LW,13,2,3,5,2,4,2,0,0,1,3,0,0,13,15.4,159,12:14,0.3,0.3,0.6,10,4,7,14,33.3
23,Brad Hunt,28,D,9,1,4,5,-2,2,0,1,0,0,3,1,0,12,8.3,122,13:36,0.5,0.1,0.6,1,0,0,0,
24,Robert Bortuzzo,27,D,38,1,3,4,11,15,1,0,0,0,3,0,0,45,2.2,535,14:05,-0.1,2.1,2,50,77,0,0,
25,Kenny Agostino,24,LW,7,1,2,3,0,2,1,0,0,0,1,1,0,17,5.9,89,12:47,0.2,0.1,0.3,3,9,0,0,
26,Jordan Schmaltz,23,D,9,0,2,2,0,4,0,0,0,0,1,1,0,5,0,129,14:20,0.1,0.3,0.4,10,4,0,0,
27,Wade Megan,26,C,3,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,26,8:48,0.1,0.1,0.2,0,2,13,14,48.1
28,Vladimir Sobotka,29,LW,1,1,0,1,0,0,1,0,0,0,0,0,0,2,50,17,16:41,0.2,0,0.2,0,0,6,6,50
29,Jake Allen,26,G,61,0,1,1,0,4,0,0,0,0,1,0,0,0,,3418,56:02:00,0,0,9.8,0,0,0,0,
30,Carter Hutton,31,G,30,0,1,1,0,4,0,0,0,0,1,0,0,0,,1459,48:38:00,0,0,3.8,0,0,0,0,
31,Chris Butler,30,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,21:28,0,0,0,2,0,0,0,
32,Pheonix Copley,25,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,59,58:56:00,0,0,-0.1,0,0,0,0,
33,Petteri Lindbohm,23,D,7,0,0,0,-4,4,0,0,0,0,0,0,0,10,0,91,12:59,-0.1,-0.1,-0.2,5,10,0,0,
34,Ty Rattie,23,RW,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,7:20,-0.1,0,0,2,1,0,0,
,Team Total,,,82,233,394,627,24,706,180,50,3,44,295,98,1,2330,10,,,42.2,40.7,96.5,1135,1688,2438,2411,50.3
