,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Auston Matthews,19,C,82,40,29,69,2,14,32,8,0,8,16,13,0,279,14.3,1446,17:38,8.2,1.5,9.7,61,21,530,600,46.9
2,James van Riemsdyk,27,LW,82,29,33,62,-2,37,23,6,0,5,20,13,0,238,12.2,1303,15:53,6.6,1.2,7.7,29,62,1,4,20
3,Nazem Kadri,26,C,82,32,29,61,-7,95,20,12,0,6,24,5,0,236,13.6,1360,16:35,6.6,1,7.6,31,124,543,587,48.1
4,William Nylander,20,C,81,22,39,61,-3,32,13,9,0,2,22,17,0,205,10.7,1297,16:01,5.7,1.1,6.8,16,25,49,73,40.2
5,Mitch Marner,19,C,77,19,42,61,0,38,15,4,0,5,25,17,0,176,10.8,1294,16:49,5.4,1.2,6.6,39,41,14,23,37.8
6,Tyler Bozak,30,C,78,18,37,55,-1,30,11,7,0,1,26,11,0,145,12.4,1282,16:26,4.6,1.2,5.8,26,45,774,591,56.7
7,Jake Gardiner,26,D,82,9,34,43,24,34,7,2,0,2,23,11,0,127,7.1,1766,21:32,3.6,5.1,8.7,83,69,0,0,
8,Connor Brown,23,RW,82,20,16,36,3,10,17,2,1,4,12,4,0,139,14.4,1329,16:12,2.6,1.4,4,46,50,2,6,25
9,Nikita Zaitsev,25,D,82,4,32,36,-22,38,3,1,0,0,20,11,1,106,3.8,1806,22:01,2.2,1.3,3.6,136,176,0,0,
10,Leo Komarov,30,C,82,14,18,32,6,31,9,4,1,1,11,6,1,114,12.3,1400,17:04,1.2,1.6,2.8,50,232,91,111,45
11,Zach Hyman,24,C,82,10,18,28,2,30,6,0,4,3,18,0,0,156,6.4,1369,16:42,0.4,1.4,1.8,43,109,11,18,37.9
12,Morgan Rielly,22,D,76,6,21,27,-20,21,5,1,0,1,17,4,0,171,3.5,1685,22:10,1.6,1.3,2.9,120,46,0,0,
13,Matt Hunwick,31,D,72,1,18,19,8,18,1,0,0,0,18,0,0,73,1.4,1294,17:59,0.6,2.9,3.6,90,91,0,0,
14,Roman Polak,30,D,75,4,7,11,10,65,4,0,0,1,7,0,0,64,6.3,1344,17:55,0,3.2,3.2,133,232,0,1,0
15,Josh Leivo,23,LW,13,2,8,10,2,4,1,1,0,0,6,2,0,27,7.4,163,12:34,0.9,0.2,1.1,4,5,1,1,50
16,Matt Martin,27,LW,82,5,4,9,0,123,5,0,0,0,4,0,0,66,7.6,730,8:54,-0.5,0.7,0.2,26,300,0,11,0
17,Nikita Soshnikov,23,RW,56,5,4,9,1,16,5,0,0,0,3,1,0,70,7.1,608,10:51,-0.1,0.6,0.5,28,101,2,15,11.8
18,Connor Carrick,22,D,67,2,6,8,8,51,1,1,0,0,6,0,0,89,2.2,1095,16:20,-0.2,2.6,2.3,79,66,0,0,
19,Martin Marincin,24,D,25,1,6,7,3,16,1,0,0,0,5,0,1,22,4.5,451,18:03,0.3,1,1.4,27,25,0,0,
20,Ben Smith,28,RW,36,2,2,4,-5,4,2,0,0,0,2,0,0,29,6.9,416,11:33,-0.5,0.2,-0.3,41,28,220,208,51.4
21,Frederik Gauthier,21,C,21,2,1,3,2,23,2,0,0,0,1,0,0,15,13.3,204,9:42,0,0.3,0.3,17,17,120,115,51.1
22,Brian Boyle,32,C,21,0,3,3,-2,18,0,0,0,0,3,0,0,22,0,238,11:19,-0.3,0.1,-0.2,10,32,128,123,51
23,Alexey Marchenko,25,D,11,1,1,2,1,0,1,0,0,0,1,0,0,9,11.1,156,14:09,0.1,0.4,0.5,15,14,0,0,
24,Milan Michalek,32,LW,5,1,1,2,-2,2,1,0,0,0,1,0,0,6,16.7,71,14:16,0.1,0,0.1,9,7,0,1,0
25,Kasperi Kapanen,20,RW,8,1,0,1,-2,0,1,0,0,0,0,0,0,11,9.1,86,10:42,0,0,0,2,6,0,0,
26,Frederik Andersen,27,G,66,0,1,1,0,16,0,0,0,0,1,0,0,1,0,3799,57:34:00,0,0,13.1,0,0,0,0,
27,Peter Holland,26,C,8,0,1,1,-2,4,0,0,0,0,1,0,0,13,0,86,10:43,-0.1,0,-0.1,1,3,26,30,46.4
28,Antoine Bibeau,22,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,121,60:20:00,0,0,0.4,0,0,0,0,
29,Frank Corrado,23,D,2,0,0,0,0,6,0,0,0,0,0,0,0,2,0,28,14:00,0,0,0,2,2,0,0,
30,Jhonas Enroth,28,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,274,45:44:00,0,0,0.2,0,0,0,0,
31,Eric Fehr,31,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,11,10:44,0,0,-0.1,1,4,4,0,100
32,Byron Froese,25,C,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,16,8:01,0,0,0,1,0,7,13,35
33,Seth Griffith,24,C,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,9:28,-0.1,0,-0.1,0,3,0,0,
34,Curtis McElhinney,33,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,759,54:12:00,0,0,2.5,0,0,0,0,
,Team Total,,,82,250,411,661,3,781,186,58,6,39,293,115,3,2617,9.6,,,48.9,31.6,96.7,1166,1936,2523,2531,49.9
