,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Nicklas Backstrom,29,C,82,23,63,86,17,38,15,8,0,5,36,27,0,162,14.2,1497,18:16,7.8,2.1,9.9,33,45,685,648,51.4
2,Alex Ovechkin,31,LW,82,33,36,69,6,50,16,17,0,7,27,9,0,313,10.5,1506,18:22,7,1.7,8.7,29,216,0,1,0
3,Evgeny Kuznetsov,24,C,82,19,40,59,18,46,16,3,0,4,29,11,0,170,11.2,1390,16:57,4.7,2.1,6.7,18,57,456,581,44
4,Marcus Johansson,26,LW,82,24,34,58,25,10,19,5,0,5,20,14,0,129,18.6,1394,17:00,5.1,2.4,7.5,22,32,13,15,46.4
5,T.J. Oshie,30,RW,68,33,23,56,28,36,25,7,1,4,15,6,2,143,23.1,1214,17:51,6.4,2.3,8.7,50,95,87,93,48.3
6,Justin Williams,35,RW,80,24,24,48,14,50,19,5,0,4,19,5,0,167,14.4,1238,15:29,4.4,1.8,6.2,41,28,64,53,54.7
7,Matt Niskanen,30,D,78,5,34,39,20,32,4,1,0,2,25,8,1,154,3.2,1730,22:11,2.7,4.8,7.4,93,147,0,0,
8,John Carlson,27,D,72,9,28,37,7,10,6,3,0,3,14,13,1,180,5,1635,22:43,3,3.5,6.5,127,58,0,0,
9,Andre Burakovsky,21,LW,64,12,23,35,13,14,10,2,0,1,20,3,0,111,10.8,849,13:16,2.8,1.4,4.1,25,31,2,5,28.6
10,Dmitry Orlov,25,D,82,6,27,33,30,51,5,1,0,0,22,5,0,125,4.8,1602,19:32,2.3,5.4,7.7,94,122,0,0,
11,Jay Beagle,31,RW,81,13,17,30,20,22,12,0,1,4,15,0,2,100,13,1104,13:38,1.6,1.9,3.5,44,55,624,483,56.4
12,Lars Eller,27,C,81,12,13,25,15,36,11,0,1,2,12,1,0,115,10.4,1126,13:54,0.9,1.7,2.6,30,71,416,467,47.1
13,Daniel Winnik,31,LW,72,12,13,25,15,49,10,0,2,3,13,0,0,82,14.6,930,12:55,1.4,1.5,3,34,25,9,12,42.9
14,Brett Connolly,24,RW,66,15,8,23,20,40,14,1,0,3,8,0,0,81,18.5,706,10:41,2.2,1.5,3.7,12,89,4,10,28.6
15,Tom Wilson,22,RW,82,7,12,19,9,133,7,0,0,0,12,0,0,95,7.4,1060,12:56,-0.1,1.4,1.3,44,239,3,7,30
16,Nate Schmidt,25,D,60,3,14,17,22,16,3,0,0,0,13,0,1,60,5,929,15:29,1,3.5,4.5,37,51,0,0,
17,Kevin Shattenkirk,28,D,19,2,12,14,4,10,1,1,0,2,6,6,0,46,4.3,384,20:12,1.3,1,2.3,26,18,0,0,
18,Brooks Orpik,36,D,79,0,14,14,32,48,0,0,0,0,14,0,0,93,0,1405,17:47,-0.2,5.2,5,132,181,0,0,
19,Karl Alzner,28,D,82,3,10,13,23,28,3,0,0,0,10,0,0,81,3.7,1623,19:47,-0.3,4.8,4.6,162,105,0,0,
20,Jakub Vrana,20,LW,21,3,3,6,2,2,0,3,0,2,2,1,0,32,9.4,233,11:07,0.3,0.3,0.6,7,6,0,3,0
21,Taylor Chorney,29,D,18,1,4,5,8,11,1,0,0,1,4,0,0,19,5.3,257,14:16,0.3,1.1,1.5,29,27,0,0,
22,Zachary Sanford,22,C,26,2,1,3,0,6,2,0,0,1,1,0,0,23,8.7,264,10:09,-0.2,0.3,0.1,10,18,10,8,55.6
23,Riley Barber,22,RW,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,8:35,-0.1,0,0,0,1,0,0,
24,Paul Carey,28,C,6,0,0,0,-2,0,0,0,0,0,0,0,0,8,0,63,10:29,-0.2,0,-0.2,1,5,0,0,
25,Philipp Grubauer,25,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,1265,52:41:00,0,0,4.4,0,0,0,0,
26,Braden Holtby,27,G,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3680,58:25:00,0,0,12.3,0,0,0,0,
27,Garrett Mitchell,25,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:48,0,0,0,0,2,0,1,0
28,Aaron Ness,26,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,12:50,0,0,-0.1,2,2,0,0,
29,Liam O'Brien,22,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6:08,0,0,0,0,1,0,0,
30,Chandler Stephenson,22,C,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,36,8:53,-0.1,0,-0.1,0,0,12,13,48
,Team Total,,,82,261,453,714,345,738,199,57,5,53,337,109,7,2495,10.5,,,53.8,51.8,122.1,1102,1727,2385,2400,49.8
