,,,,,,,,,,,,,,,,,,Special Teams,,,,,,,,,,Shot Data,,,,
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
1,Washington Capitals*,28.4,82,55,19,8,118,0.72,263,182,2,5,0.99,0,5.43,199,130,57,248,22.98,44,272,83.82,5,3,9,8.5,2495,10.5,2282,0.922,102.5
2,Pittsburgh Penguins*,28.7,82,50,21,11,111,0.677,282,234,4,5,0.59,0.01,6.29,213,170,60,260,23.08,52,257,79.77,5,7,8.4,8.7,2745,10.1,2671,0.914,101
3,Chicago Blackhawks*,29.4,82,50,23,9,109,0.665,244,213,4,1,0.32,-0.06,5.57,197,158,42,233,18.03,47,211,77.73,1,7,6.9,7.8,2508,9.6,2574,0.918,101.3
4,Columbus Blue Jackets*,26.2,82,50,24,8,108,0.659,249,195,2,2,0.68,0.02,5.41,195,152,42,211,19.91,39,223,82.51,10,2,8.6,8.5,2540,9.7,2489,0.922,101.2
5,Minnesota Wild*,28.3,82,49,25,8,106,0.646,266,208,3,2,0.63,-0.08,5.78,211,166,47,224,20.98,37,217,82.95,5,3,8,8.3,2527,10.4,2465,0.916,101.5
6,Anaheim Ducks*,27.6,82,46,23,13,105,0.64,223,200,3,3,0.24,-0.04,5.16,164,147,47,251,18.73,43,281,84.7,9,7,11.3,11,2425,9.1,2429,0.919,100.7
7,Montreal Canadiens*,28.8,82,47,26,9,103,0.628,226,200,3,2,0.31,-0.01,5.2,173,145,45,230,19.57,47,249,81.12,5,6,9.1,7.7,2459,9.1,2429,0.918,100.7
8,Edmonton Oilers*,26.7,82,47,26,9,103,0.628,247,212,4,5,0.37,-0.06,5.6,183,159,56,245,22.86,43,223,80.72,4,5,8.8,9.1,2547,9.5,2416,0.914,100.9
9,New York Rangers*,28.3,82,48,28,6,102,0.622,256,220,3,4,0.47,0.03,5.8,197,166,47,232,20.26,45,224,79.91,9,5,7.1,8.1,2438,10.4,2465,0.912,101
10,St. Louis Blues*,28,82,46,29,7,99,0.604,235,218,2,2,0.17,-0.04,5.52,180,171,50,235,21.28,40,263,84.79,3,5,8.6,8.2,2330,10,2327,0.907,100.7
11,San Jose Sharks*,29.6,82,46,29,7,99,0.604,221,201,2,1,0.21,-0.03,5.15,171,153,41,246,16.67,41,212,80.66,7,6,7.6,8.2,2453,8.9,2269,0.912,100.3
12,Ottawa Senators*,28.8,82,44,28,10,98,0.598,212,214,6,4,-0.01,0.01,5.2,156,157,43,254,16.93,50,247,79.76,7,3,10,10.1,2463,8.4,2467,0.915,99.7
13,Toronto Maple Leafs*,26.2,82,40,27,15,95,0.579,251,242,1,8,0.11,0,6.01,186,183,57,244,23.36,44,251,82.47,6,7,9.5,9.9,2617,9.6,2673,0.912,100.5
14,Boston Bruins*,28.8,82,44,31,7,95,0.579,234,212,2,3,0.27,0,5.44,169,165,53,244,21.72,38,266,85.71,10,6,10,9.7,2721,8.5,2194,0.905,98.4
15,Tampa Bay Lightning,26.8,82,42,30,10,94,0.573,234,227,4,3,0.09,0.01,5.62,164,168,62,272,22.79,48,258,81.4,4,8,10.5,11.2,2452,9.4,2492,0.91,99.8
16,New York Islanders,28.4,82,41,29,12,94,0.573,241,242,2,4,0.03,0.05,5.89,199,190,35,234,14.96,40,227,82.38,5,7,7.8,7.7,2480,9.6,2616,0.909,100.6
17,Nashville Predators*,27.9,82,41,29,12,94,0.573,240,224,2,4,0.16,-0.04,5.66,177,168,49,259,18.92,46,241,80.91,12,6,10,10.4,2557,9.3,2472,0.911,100.4
18,Calgary Flames*,28.3,82,45,33,4,94,0.573,226,221,4,2,0.02,-0.04,5.45,162,163,52,258,20.16,51,277,81.59,8,5,11.5,10.5,2388,9.3,2354,0.907,99.7
19,Philadelphia Flyers,27.6,82,39,33,10,88,0.537,219,236,7,5,-0.17,0.04,5.55,154,172,54,277,19.49,50,247,79.76,4,9,10.1,10.9,2585,8.2,2334,0.901,98.5
20,Winnipeg Jets,26.1,82,40,35,7,87,0.53,249,256,3,1,-0.11,-0.03,6.16,188,184,48,264,18.18,62,275,77.45,10,9,10,9.5,2448,10,2546,0.9,99.9
21,Carolina Hurricanes,26.8,82,36,31,15,87,0.53,215,236,3,6,-0.21,0.05,5.5,161,192,41,231,17.75,32,202,84.16,10,6,5.5,6.5,2493,8.5,2320,0.901,98.8
22,Los Angeles Kings,29.1,82,39,35,8,86,0.524,201,205,2,4,-0.07,-0.02,4.95,148,160,46,241,19.09,38,245,84.49,5,3,9,9.1,2553,7.8,2120,0.905,98.5
23,Florida Panthers,28.6,82,35,36,11,81,0.494,210,237,5,6,-0.3,0.03,5.45,152,187,45,265,16.98,36,245,85.31,8,8,9.7,9.7,2644,7.8,2595,0.911,98.9
24,Dallas Stars,28.5,82,34,37,11,79,0.482,223,262,1,2,-0.48,-0.01,5.91,171,184,46,257,17.9,65,249,73.9,5,11,9.6,9.5,2505,8.9,2439,0.893,99.5
25,Detroit Red Wings,28.4,82,33,36,13,79,0.482,207,244,9,0,-0.41,0.04,5.5,157,190,38,252,15.08,45,235,80.85,3,9,8.6,9,2335,8.5,2507,0.903,99.6
26,Buffalo Sabres,26.4,82,33,37,12,78,0.476,201,237,2,6,-0.41,0.03,5.34,139,174,57,233,24.46,53,237,77.64,3,4,8.8,8.5,2491,8,2813,0.918,99.4
27,Arizona Coyotes,27.3,82,30,42,10,70,0.427,197,260,6,2,-0.76,0.01,5.57,145,192,38,235,16.17,59,260,77.31,8,7,9.7,8.5,2281,8.4,2797,0.908,99.8
28,New Jersey Devils,28.1,82,28,40,14,70,0.427,183,244,3,3,-0.67,0.08,5.21,130,176,44,251,17.53,53,261,79.69,6,12,9.8,9.6,2279,7.9,2572,0.906,99
29,Vancouver Canucks,28.8,82,30,43,9,69,0.421,182,243,4,2,-0.73,0.01,5.18,144,183,32,227,14.1,52,223,76.68,2,6,7.8,7.8,2273,7.8,2605,0.907,99.5
30,Colorado Avalanche,27.6,82,22,56,4,48,0.293,166,278,1,2,-1.32,0.05,5.41,130,210,30,239,12.55,64,274,76.64,5,2,9.1,8.1,2303,7.2,2603,0.894,97.4
,League Average,28,82,41,31,10,92,0.559,227,227,,,0,0,5.53,,,47,245,19.1,47,245,80.9,6,6,9,9,2478,9.2,2478,0.91,
