,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,8:30 PM,@,Dallas Stars,2,4,L,,0,1,0,L 1,,35,8,0,5,1,,20,10,0,4,0,"18,532",2:30,
2,10/15/2016,7:00 PM,@,Pittsburgh Penguins,2,3,L,,0,2,0,L 2,,36,6,1,3,0,,45,6,1,3,0,"18,452",2:38,
3,10/16/2016,6:00 PM,@,New York Islanders,2,3,L,OT,0,2,1,L 3,,26,10,0,4,0,,30,10,0,4,0,"15,795",2:37,
4,10/18/2016,7:00 PM,@,New Jersey Devils,1,2,L,,0,3,1,L 4,,24,19,1,4,0,,28,13,2,7,0,"16,514",2:37,
5,10/20/2016,7:00 PM,@,Philadelphia Flyers,3,2,W,,1,3,1,W 1,,26,16,0,2,0,,22,6,1,7,0,"19,982",2:23,
6,10/23/2016,8:00 PM,,Vancouver Canucks,4,2,W,,2,3,1,W 2,,37,4,1,2,0,,19,4,0,2,1,"17,174",2:29,
7,10/25/2016,10:00 PM,@,San Jose Sharks,1,2,L,OT,2,3,2,L 1,,20,13,0,3,0,,36,21,1,5,0,"17,562",2:36,
8,10/26/2016,10:30 PM,,Nashville Predators,6,1,W,,3,3,2,W 1,,26,10,3,4,2,,29,8,1,5,0,"15,421",2:36,
9,10/28/2016,10:00 PM,,Columbus Blue Jackets,0,4,L,,3,4,2,L 1,,35,17,0,4,0,,37,15,1,5,0,"15,841",2:32,
10,11/1/2016,10:30 PM,@,Los Angeles Kings,4,0,W,,4,4,2,W 1,,21,48,2,4,0,,30,44,,1,,"18,230",2:39,
11,11/2/2016,10:30 PM,,Pittsburgh Penguins,1,5,L,,4,5,2,L 1,,33,13,1,3,0,,34,13,1,3,0,"15,543",2:33,
