,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/15/2016,9:00 PM,,Philadelphia Flyers,4,3,W,OT,1,0,0,W 1,,35,6,1,6,1,,30,30,0,4,0,"17,125",2:39,
2,10/18/2016,7:30 PM,@,Ottawa Senators,4,7,L,,1,1,0,L 1,,35,6,1,5,0,,42,14,1,2,1,"11,061",2:43,
3,10/20/2016,7:30 PM,@,Montreal Canadiens,2,5,L,,1,2,0,L 2,,29,10,0,2,1,,43,6,1,4,0,"21,288",2:33,
4,10/21/2016,7:00 PM,@,New York Islanders,2,3,L,,1,3,0,L 3,,25,8,0,4,0,,31,10,0,3,1,"13,076",2:38,
5,10/23/2016,7:00 PM,@,New York Rangers,2,3,L,,1,4,0,L 4,,29,4,0,1,0,,26,2,1,2,0,"18,006",2:26,
6,10/25/2016,7:00 PM,@,New Jersey Devils,3,5,L,,1,5,0,L 5,,31,6,1,3,0,,35,6,2,3,0,"12,756",2:30,
7,10/27/2016,7:00 PM,@,Philadelphia Flyers,5,4,W,,2,5,0,W 1,,25,31,0,3,1,,32,11,2,8,0,"19,432",2:39,
8,10/29/2016,9:00 PM,,Colorado Avalanche,2,3,L,,2,6,0,L 1,,26,6,0,4,0,,34,6,1,3,0,"13,533",2:26,
9,11/1/2016,10:00 PM,,San Jose Sharks,3,2,W,,3,6,0,W 1,,30,9,0,2,0,,41,9,0,2,0,"11,046",2:36,
10,11/3/2016,10:00 PM,,Nashville Predators,3,2,W,SO,4,6,0,W 2,,28,14,0,3,0,,37,6,1,7,0,"10,745",2:40,
11,11/4/2016,10:00 PM,@,Anaheim Ducks,1,5,L,,4,7,0,L 1,,22,11,0,1,0,,33,9,1,2,0,"16,405",2:33,
12,11/8/2016,9:00 PM,@,Colorado Avalanche,4,2,W,,5,7,0,W 1,,25,7,1,4,0,,27,13,1,1,0,"13,858",2:27,
13,11/10/2016,9:00 PM,,Winnipeg Jets,2,3,L,,5,8,0,L 1,,25,9,0,1,0,,27,7,0,2,0,"11,185",2:22,
14,11/12/2016,8:00 PM,,Boston Bruins,1,2,L,,5,9,0,L 2,,32,5,1,3,0,,29,11,0,0,0,"16,531",2:35,
15,11/16/2016,10:00 PM,@,Calgary Flames,1,2,L,OT,5,9,1,L 3,,21,8,0,3,0,,24,6,0,3,0,"18,202",2:37,
16,11/17/2016,10:00 PM,@,Vancouver Canucks,2,3,L,OT,5,9,2,L 4,,36,4,1,2,0,,42,4,1,2,0,"18,027",2:56,
17,11/19/2016,8:00 PM,,San Jose Sharks,3,2,W,OT,6,9,2,W 1,,26,7,1,4,0,,45,13,0,3,0,"13,148",2:38,
18,11/23/2016,10:00 PM,,Vancouver Canucks,1,4,L,,6,10,2,L 1,,36,4,0,2,0,,27,4,0,2,0,"11,256",2:28,
19,11/25/2016,9:00 PM,,Edmonton Oilers,3,2,W,SO,7,10,2,W 1,,41,6,0,3,0,,34,6,0,3,0,"14,950",2:54,
20,11/27/2016,3:00 PM,@,Edmonton Oilers,2,1,W,,8,10,2,W 2,,23,8,0,2,0,,42,6,0,3,0,"18,347",2:30,
21,11/29/2016,10:00 PM,@,San Jose Sharks,1,2,L,OT,8,10,3,L 1,,19,16,0,2,0,,42,6,1,2,0,"17,377",2:32,
22,12/1/2016,9:00 PM,,Los Angeles Kings,3,4,L,,8,11,3,L 2,,32,24,2,6,0,,33,14,0,6,0,"11,327",2:38,
23,12/3/2016,8:00 PM,,Columbus Blue Jackets,2,3,L,SO,8,11,4,L 3,,34,16,1,5,0,,60,14,0,5,0,"11,287",2:58,
24,12/5/2016,7:00 PM,@,Columbus Blue Jackets,1,4,L,,8,12,4,L 4,,18,16,1,1,0,,34,6,2,6,0,"11,091",2:28,
25,12/6/2016,8:30 PM,@,Chicago Blackhawks,0,4,L,,8,13,4,L 5,,22,6,0,2,0,,27,4,1,3,0,"21,327",2:26,
26,12/8/2016,9:00 PM,,Calgary Flames,1,2,L,OT,8,13,5,L 6,,28,35,0,3,0,,35,23,1,4,0,"10,210",2:36,
27,12/10/2016,8:00 PM,,Nashville Predators,4,1,W,,9,13,5,W 1,,34,15,0,2,0,,45,11,0,4,0,"13,820",2:32,
28,12/12/2016,7:00 PM,@,Pittsburgh Penguins,0,7,L,,9,14,5,L 1,,32,14,0,3,0,,34,6,2,7,0,"18,420",2:28,
29,12/13/2016,7:30 PM,@,Detroit Red Wings,4,1,W,,10,14,5,W 1,,19,13,1,2,0,,38,9,0,4,0,"20,027",2:32,
30,12/15/2016,7:30 PM,@,Toronto Maple Leafs,3,2,W,SO,11,14,5,W 2,,30,8,1,4,0,,46,8,1,4,0,"18,903",2:43,
31,12/17/2016,2:00 PM,@,Minnesota Wild,1,4,L,,11,15,5,L 1,,28,6,0,1,0,,30,2,1,3,0,"19,036",2:30,
32,12/19/2016,9:00 PM,,Calgary Flames,2,4,L,,11,16,5,L 2,,27,19,0,5,0,,28,17,3,6,0,"12,192",2:50,
33,12/21/2016,9:30 PM,,Edmonton Oilers,2,3,L,,11,17,5,L 3,,36,34,2,5,0,,21,47,1,3,0,"11,378",2:46,
34,12/23/2016,9:00 PM,,Toronto Maple Leafs,1,4,L,,11,18,5,L 4,,32,2,0,4,0,,32,8,1,1,0,"14,377",2:34,
35,12/27/2016,9:00 PM,,Dallas Stars,2,3,L,,11,19,5,L 5,,37,13,0,2,0,,29,13,1,2,1,"14,561",2:40,
36,12/29/2016,9:00 PM,,New York Rangers,3,6,L,,11,20,5,L 6,,21,14,1,3,0,,32,6,4,7,0,"15,090",2:27,
37,12/31/2016,10:00 PM,@,Calgary Flames,2,4,L,,11,21,5,L 7,,29,20,0,4,0,,24,10,2,4,0,"19,289",2:34,
38,1/4/2017,10:00 PM,@,Vancouver Canucks,0,3,L,,11,22,5,L 8,,22,4,0,2,0,,24,4,0,2,0,"18,215",2:25,
39,1/6/2017,10:00 PM,@,Anaheim Ducks,2,3,L,OT,11,22,6,L 9,,23,6,1,2,0,,35,4,0,3,0,"15,415",2:36,
40,1/7/2017,8:00 PM,,New York Islanders,2,1,W,SO,12,22,6,W 1,,27,8,0,2,0,,28,4,0,4,0,"12,380",2:41,
41,1/13/2017,9:00 PM,,Winnipeg Jets,4,3,W,,13,22,6,W 2,,29,4,1,3,0,,37,6,0,2,0,"12,326",2:33,
42,1/14/2017,8:00 PM,,Anaheim Ducks,0,3,L,,13,23,6,L 1,,26,4,0,3,0,,23,6,0,2,0,"12,015",2:32,
43,1/16/2017,9:00 PM,@,Edmonton Oilers,1,3,L,,13,24,6,L 2,,22,2,1,5,0,,27,8,0,2,0,"18,347",2:28,
44,1/18/2017,7:30 PM,@,Winnipeg Jets,3,6,L,,13,25,6,L 3,,33,6,1,4,0,,39,8,0,3,0,"15,294",2:23,
45,1/19/2017,8:00 PM,@,Minnesota Wild,3,4,L,,13,26,6,L 4,,23,17,0,2,0,,25,13,2,4,0,"19,027",2:30,
46,1/21/2017,8:00 PM,,Tampa Bay Lightning,5,3,W,,14,26,6,W 1,,23,20,1,3,0,,48,6,1,5,0,"12,177",2:35,
47,1/23/2017,9:00 PM,,Florida Panthers,3,2,W,OT,15,26,6,W 2,,42,2,0,3,0,,25,6,0,2,0,"10,042",2:34,
48,1/26/2017,9:00 PM,,Vancouver Canucks,3,0,W,,16,26,6,W 3,,31,0,1,3,0,,19,6,,0,,"11,203",2:26,
49,1/31/2017,9:00 PM,,Los Angeles Kings,2,3,L,,16,27,6,L 1,,32,6,0,1,0,,39,2,1,3,0,"11,577",2:33,
