,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:00 PM,@,Columbus Blue Jackets,6,3,W,,1,0,0,W 1,,37,8,0,2,0,,31,6,1,3,0,"18,144",2:29,
2,10/15/2016,7:00 PM,@,Toronto Maple Leafs,1,4,L,,1,1,0,L 1,,25,18,1,4,0,,24,18,0,4,0,"19,466",2:23,
3,10/17/2016,8:00 PM,@,Winnipeg Jets,4,1,W,,2,1,0,W 1,,25,10,0,4,0,,35,8,0,5,0,"15,296",2:36,
4,10/20/2016,7:00 PM,,New Jersey Devils,2,1,W,,3,1,0,W 2,,36,6,0,4,0,,29,8,1,3,0,"17,565",2:37,
5,10/22/2016,7:00 PM,,Montreal Canadiens,2,4,L,,3,2,0,L 1,,21,14,1,6,0,,29,16,0,5,1,"17,565",2:36,
6,10/25/2016,7:00 PM,,Minnesota Wild,0,5,L,,3,3,0,L 2,,27,15,0,3,0,,33,13,1,4,0,"17,565",2:32,
7,10/26/2016,8:00 PM,@,New York Rangers,2,5,L,,3,4,0,L 3,,29,14,0,1,0,,31,4,2,6,0,"18,006",2:31,
8,10/29/2016,7:00 PM,@,Detroit Red Wings,1,0,W,,4,4,0,W 1,,36,12,0,4,0,,24,12,,4,,"20,027",2:45,
9,11/1/2016,7:30 PM,@,Florida Panthers,2,1,W,,5,4,0,W 2,,26,26,0,3,1,,34,20,0,7,0,"13,808",2:44,
10,11/3/2016,7:30 PM,@,Tampa Bay Lightning,4,3,W,SO,6,4,0,W 3,,31,8,1,4,0,,30,8,2,4,0,"19,092",3:04,
11,11/5/2016,7:00 PM,,New York Rangers,2,5,L,,6,5,0,L 1,,37,6,0,3,0,,24,6,1,3,2,"17,565",2:24,
12,11/7/2016,7:00 PM,,Buffalo Sabres,4,0,W,,7,5,0,W 1,,42,11,3,8,0,,32,21,,3,,"17,565",2:34,
13,11/8/2016,7:30 PM,@,Montreal Canadiens,2,3,L,,7,6,0,L 1,,43,4,1,2,0,,23,4,1,2,0,"21,288",2:33,
14,11/10/2016,7:00 PM,,Columbus Blue Jackets,5,2,W,,8,6,0,W 1,,32,4,0,2,0,,17,4,0,3,0,"17,565",2:26,
15,11/12/2016,8:00 PM,@,Arizona Coyotes,2,1,W,,9,6,0,W 2,,29,11,0,0,0,,32,5,1,3,0,"16,531",2:35,
16,11/13/2016,7:00 PM,@,Colorado Avalanche,2,0,W,,10,6,0,W 3,,46,4,0,2,0,,21,4,,2,,"15,808",2:31,
17,11/17/2016,8:00 PM,@,Minnesota Wild,0,1,L,,10,7,0,L 1,,25,8,0,2,0,,29,6,0,3,0,"18,774",2:33,
18,11/19/2016,7:00 PM,,Winnipeg Jets,4,1,W,,11,7,0,W 1,,38,10,1,4,0,,12,10,0,4,0,"17,565",2:21,
19,11/22/2016,7:00 PM,,St. Louis Blues,2,4,L,,11,8,0,L 1,,41,4,1,3,1,,28,6,0,2,0,"17,565",2:32,
20,11/24/2016,7:30 PM,@,Ottawa Senators,1,3,L,,11,9,0,L 2,,20,6,1,1,0,,26,4,0,2,0,"17,191",2:29,
