,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:00 PM,,Montreal Canadiens,1,4,L,,0,1,0,L 1,,31,6,1,5,0,,24,22,0,2,0,"19,070",2:44,
2,10/16/2016,7:00 PM,@,Edmonton Oilers,6,2,W,,1,1,0,W 1,,24,6,2,6,0,,33,16,0,1,0,"18,347",2:39,
3,10/18/2016,9:00 PM,@,Calgary Flames,3,4,L,OT,1,1,1,L 1,,21,14,1,5,0,,34,12,0,6,0,"19,289",2:35,
4,10/20/2016,10:00 PM,@,Vancouver Canucks,1,2,L,,1,2,1,L 2,,27,8,0,5,0,,20,10,1,5,0,"17,809",2:35,
5,10/25/2016,7:30 PM,@,Philadelphia Flyers,3,4,L,SO,1,2,2,L 3,,25,8,2,4,0,,41,8,3,4,0,"19,209",2:50,
6,10/27/2016,7:00 PM,,Minnesota Wild,0,4,L,,1,3,2,L 4,,38,4,0,2,0,,22,4,0,2,0,"18,122",2:28,
7,10/29/2016,1:00 PM,,Florida Panthers,3,0,W,,2,3,2,W 1,,25,8,2,4,0,,33,8,,4,,"18,261",2:34,
8,10/30/2016,3:00 PM,@,Winnipeg Jets,3,1,W,,3,3,2,W 2,,28,16,0,1,0,,38,6,0,6,0,"15,294",2:30,
9,11/1/2016,8:00 PM,@,Minnesota Wild,2,1,W,,4,3,2,W 3,,24,2,0,1,0,,28,2,1,1,0,"18,864",2:28,
10,11/3/2016,7:00 PM,,Toronto Maple Leafs,1,2,L,,4,4,2,L 1,,43,0,0,2,0,,29,4,0,0,0,"18,183",2:35,
11,11/5/2016,7:00 PM,@,Ottawa Senators,2,1,W,,5,4,2,W 1,,32,6,0,1,0,,33,2,1,4,0,"16,225",2:23,
12,11/7/2016,7:00 PM,@,Boston Bruins,0,4,L,,5,5,2,L 1,,32,21,0,3,0,,42,11,3,8,0,"17,565",2:34,
13,11/9/2016,7:30 PM,,Ottawa Senators,1,2,L,SO,5,5,3,L 2,,32,4,0,2,0,,29,4,0,3,0,"17,884",2:42,
14,11/11/2016,7:00 PM,,New Jersey Devils,1,2,L,OT,5,5,4,L 3,,26,12,1,2,0,,43,4,0,6,0,"18,301",2:41,
15,11/12/2016,7:00 PM,@,New Jersey Devils,2,4,L,,5,6,4,L 4,,23,12,0,1,0,,27,6,0,5,0,"16,514",2:34,
16,11/15/2016,8:00 PM,@,St. Louis Blues,1,4,L,,5,7,4,L 5,,24,5,1,4,0,,31,13,1,1,0,"16,884",2:30,
17,11/17/2016,7:00 PM,,Tampa Bay Lightning,1,4,L,,5,8,4,L 6,,33,8,1,5,0,,38,12,2,3,0,"17,870",2:29,
18,11/19/2016,7:00 PM,,Pittsburgh Penguins,2,1,W,SO,6,8,4,W 1,,33,8,0,4,0,,47,12,1,2,0,"18,817",2:49,
19,11/21/2016,7:00 PM,,Calgary Flames,4,2,W,,7,8,4,W 2,,32,6,3,6,0,,31,14,0,2,0,"17,526",2:29,
20,11/23/2016,7:00 PM,,Detroit Red Wings,1,2,L,SO,7,8,5,L 1,,33,4,0,3,0,,24,6,0,2,0,"18,360",2:42,
21,11/25/2016,5:00 PM,@,Washington Capitals,1,3,L,,7,9,5,L 2,,33,6,0,4,0,,32,8,1,4,0,"18,506",2:34,
22,11/29/2016,7:30 PM,@,Ottawa Senators,5,4,W,,8,9,5,W 1,,28,13,3,5,0,,35,15,2,4,0,"14,259",2:36,
23,12/1/2016,7:00 PM,,New York Rangers,4,3,W,,9,9,5,W 2,,34,4,1,2,0,,25,4,2,2,0,"18,047",2:25,
24,12/3/2016,1:00 PM,,Boston Bruins,1,2,L,,9,10,5,L 1,,36,4,0,3,0,,33,6,0,2,0,"19,070",2:39,
25,12/5/2016,7:00 PM,@,Washington Capitals,2,3,L,OT,9,10,6,L 2,,33,6,0,3,0,,33,6,1,3,0,"18,506",2:38,
26,12/6/2016,7:00 PM,,Edmonton Oilers,4,3,W,OT,10,10,6,W 1,,26,8,2,4,0,,37,8,2,4,0,"18,149",2:41,
27,12/9/2016,7:00 PM,,Washington Capitals,1,4,L,,10,11,6,L 1,,28,6,1,5,0,,29,10,2,3,0,"18,234",2:28,
28,12/13/2016,7:00 PM,,Los Angeles Kings,6,3,W,,11,11,6,W 1,,26,9,0,1,0,,33,11,0,0,0,"18,375",2:28,
29,12/16/2016,7:00 PM,,New York Islanders,3,2,W,OT,12,11,6,W 2,,37,2,1,3,0,,35,6,1,1,0,"18,903",2:32,
30,12/17/2016,7:00 PM,@,Carolina Hurricanes,1,2,L,SO,12,11,7,L 1,,24,2,0,0,0,,22,0,0,1,0,"11,682",2:30,
31,12/20/2016,7:30 PM,@,Florida Panthers,3,4,L,SO,12,11,8,L 2,,36,15,1,3,0,,39,13,1,4,0,"14,265",2:51,
32,12/22/2016,7:00 PM,,Carolina Hurricanes,1,3,L,,12,12,8,L 3,,23,13,0,2,0,,34,9,0,4,0,"18,863",2:19,
33,12/23/2016,7:00 PM,@,New York Islanders,1,5,L,,12,13,8,L 4,,29,9,0,2,0,,32,9,1,2,0,"13,852",2:23,
34,12/27/2016,7:30 PM,@,Detroit Red Wings,4,3,W,,13,13,8,W 1,,22,14,1,3,0,,43,16,1,2,0,"20,027",2:43,
35,12/29/2016,7:00 PM,,Boston Bruins,2,4,L,,13,14,8,L 1,,33,17,1,6,0,,38,29,1,5,0,"19,070",2:43,
36,12/31/2016,1:00 PM,@,Boston Bruins,1,3,L,,13,15,8,L 2,,27,18,0,4,0,,28,10,1,3,0,"17,565",2:28,
37,1/3/2017,7:00 PM,@,New York Rangers,4,1,W,,14,15,8,W 1,,19,2,1,5,0,,25,10,0,1,0,"18,006",2:23,
38,1/5/2017,8:30 PM,@,Chicago Blackhawks,3,4,L,OT,14,15,9,L 1,,20,4,2,3,0,,43,4,0,2,0,"21,824",2:21,
39,1/7/2017,1:00 PM,,Winnipeg Jets,4,3,W,,15,15,9,W 1,,36,10,0,4,0,,35,26,1,3,0,"19,070",2:32,
40,1/10/2017,7:00 PM,,Philadelphia Flyers,4,1,W,,16,15,9,W 2,,27,9,1,2,0,,40,9,1,2,0,"18,920",2:30,
41,1/12/2017,7:30 PM,@,Tampa Bay Lightning,2,4,L,,16,16,9,L 1,,26,30,0,4,0,,29,18,2,5,0,"19,092",2:32,
42,1/13/2017,7:30 PM,@,Carolina Hurricanes,2,5,L,,16,17,9,L 2,,38,8,0,2,1,,38,4,0,4,0,"11,992",2:22,
43,1/16/2017,1:00 PM,,Dallas Stars,4,1,W,,17,17,9,W 1,,29,2,2,3,0,,32,4,0,1,0,"19,070",2:31,
44,1/17/2017,7:30 PM,@,Toronto Maple Leafs,3,4,L,,17,18,9,L 1,,27,2,0,1,0,,32,2,1,1,0,"19,122",2:29,
45,1/20/2017,7:00 PM,,Detroit Red Wings,3,2,W,OT,18,18,9,W 1,,37,8,2,4,0,,34,8,1,4,0,"18,942",2:45,
46,1/21/2017,7:00 PM,@,Montreal Canadiens,3,2,W,OT,19,18,9,W 2,,38,2,0,3,0,,38,6,0,1,0,"21,288",2:31,
