,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/12/2016,10:00 PM,@,Edmonton Oilers,4,7,L,,0,1,0,L 1,,41,19,1,3,2,,28,13,1,6,0,"18,347",2:35,
2,10/14/2016,9:00 PM,,Edmonton Oilers,3,5,L,,0,2,0,L 2,,35,12,0,5,0,,29,14,2,4,1,"19,289",2:28,
3,10/15/2016,10:00 PM,@,Vancouver Canucks,1,2,L,SO,0,2,1,L 3,,25,10,0,2,0,,31,6,0,4,0,"18,865",2:42,
4,10/18/2016,9:00 PM,,Buffalo Sabres,4,3,W,OT,1,2,1,W 1,,34,12,0,6,0,,21,14,1,5,0,"19,289",2:35,
5,10/20/2016,9:00 PM,,Carolina Hurricanes,2,4,L,,1,3,1,L 1,,26,16,0,6,0,,32,12,2,8,0,"17,652",2:29,
6,10/22/2016,10:00 PM,,St. Louis Blues,4,6,L,,1,4,1,L 2,,27,10,0,3,0,,40,8,2,4,0,"18,076",2:33,
7,10/24/2016,8:30 PM,@,Chicago Blackhawks,3,2,W,SO,2,4,1,W 1,,31,4,2,5,0,,33,10,0,2,0,"21,348",2:51,
8,10/25/2016,8:00 PM,@,St. Louis Blues,4,1,W,,3,4,1,W 2,,30,12,1,3,0,,24,8,1,4,0,"17,337",2:25,
9,10/28/2016,9:00 PM,,Ottawa Senators,5,2,W,,4,4,1,W 3,,19,8,0,2,0,,33,4,2,4,0,"18,132",2:36,
10,10/30/2016,9:30 PM,,Washington Capitals,1,3,L,,4,5,1,L 1,,22,4,0,2,0,,29,4,1,2,0,"18,454",2:25,
11,11/1/2016,8:30 PM,@,Chicago Blackhawks,1,5,L,,4,6,1,L 2,,34,8,0,4,1,,22,8,1,4,0,"21,166",2:23,
12,11/3/2016,10:30 PM,@,San Jose Sharks,3,2,W,,5,6,1,W 1,,22,12,0,2,0,,28,8,1,5,0,"17,562",2:24,
13,11/5/2016,10:00 PM,@,Los Angeles Kings,0,5,L,,5,7,1,L 1,,24,6,0,3,0,,39,6,0,3,0,"18,230",2:30,
14,11/6/2016,9:30 PM,@,Anaheim Ducks,1,4,L,,5,8,1,L 2,,26,22,0,2,0,,21,20,2,3,0,"16,218",2:27,
15,11/10/2016,9:00 PM,,Dallas Stars,2,4,L,,5,9,1,L 3,,31,13,0,2,0,,22,9,1,3,0,"18,795",2:30,
16,11/12/2016,10:00 PM,,New York Rangers,1,4,L,,5,10,1,L 4,,36,2,1,3,0,,28,6,0,2,0,"18,421",2:21,
17,11/15/2016,8:00 PM,@,Minnesota Wild,1,0,W,,6,10,1,W 1,,27,13,1,6,0,,27,19,,2,,"19,048",2:32,
18,11/16/2016,10:00 PM,,Arizona Coyotes,2,1,W,OT,7,10,1,W 2,,24,6,0,3,0,,21,8,0,3,0,"18,202",2:37,
