,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,8:00 PM,@,Winnipeg Jets,4,5,L,OT,0,0,1,L 1,,27,12,2,4,0,,26,10,1,5,1,"15,296",2:32,
2,10/16/2016,10:00 PM,@,Vancouver Canucks,3,4,L,OT,0,0,2,L 2,,22,4,1,2,0,,31,4,0,2,0,"17,832",2:25,
3,10/18/2016,9:00 PM,@,Edmonton Oilers,2,3,L,,0,1,2,L 3,,33,6,0,2,0,,28,4,0,3,0,"18,347",2:30,
4,10/20/2016,9:00 PM,@,Calgary Flames,4,2,W,,1,1,2,W 1,,32,12,2,8,0,,26,16,0,6,0,"17,652",2:29,
5,10/22/2016,7:00 PM,@,Philadelphia Flyers,3,6,L,,1,2,2,L 1,,30,10,1,5,0,,27,12,1,4,0,"19,668",2:36,
6,10/25/2016,7:30 PM,@,Detroit Red Wings,2,4,L,,1,3,2,L 2,,31,4,0,3,0,,25,8,0,2,0,"20,027",2:24,
7,10/28/2016,7:30 PM,,New York Rangers,3,2,W,,2,3,2,W 1,,21,4,1,1,0,,30,2,1,2,0,"18,680",2:21,
8,10/30/2016,5:00 PM,,Philadelphia Flyers,3,4,L,,2,4,2,L 1,,29,4,0,2,0,,28,4,1,3,1,"10,353",2:28,
9,11/1/2016,7:30 PM,@,Ottawa Senators,1,2,L,OT,2,4,3,L 2,,33,11,0,3,0,,32,13,0,2,0,"13,049",2:40,
10,11/5/2016,8:00 PM,@,Nashville Predators,3,2,W,SO,3,4,3,W 1,,25,4,0,3,1,,27,6,0,2,0,"17,113",2:38,
11,11/6/2016,6:00 PM,,New Jersey Devils,1,4,L,,3,5,3,L 1,,34,6,0,4,0,,21,8,0,2,1,"8,650",2:23,
12,11/8/2016,7:00 PM,@,New Jersey Devils,2,3,L,SO,3,5,4,L 2,,33,6,1,1,0,,41,2,0,3,0,"12,179",2:50,
13,11/10/2016,7:00 PM,,Anaheim Ducks,2,4,L,,3,6,4,L 3,,30,11,0,2,0,,27,9,0,3,0,"8,086",2:32,
14,11/12/2016,7:00 PM,,Washington Capitals,5,1,W,,4,6,4,W 1,,38,6,1,6,0,,21,14,0,2,0,"12,436",2:29,
15,11/15/2016,7:00 PM,,San Jose Sharks,1,0,W,,5,6,4,W 2,,33,2,0,1,0,,22,2,,1,,"8,932",2:18,
16,11/18/2016,7:30 PM,,Montreal Canadiens,3,2,W,,6,6,4,W 3,,18,2,0,2,0,,33,16,0,1,0,"12,101",2:27,
17,11/20/2016,5:00 PM,,Winnipeg Jets,3,1,W,,7,6,4,W 4,,40,10,2,7,0,,29,18,0,3,0,"10,809",2:30,
18,11/22/2016,7:00 PM,@,Toronto Maple Leafs,2,1,W,,8,6,4,W 5,,29,6,1,1,1,,26,2,0,3,0,"18,893",2:20,
19,11/24/2016,7:30 PM,@,Montreal Canadiens,1,2,L,,8,7,4,L 1,,32,4,0,3,0,,22,6,0,2,0,"21,288",2:26,
20,11/26/2016,7:00 PM,@,Ottawa Senators,1,2,L,,8,8,4,L 2,,33,2,0,1,0,,24,2,0,1,0,"18,042",2:26,
21,11/27/2016,6:00 PM,,Florida Panthers,3,2,W,,9,8,4,W 1,,27,8,1,3,0,,33,4,1,4,0,"8,124",2:19,
22,11/29/2016,7:00 PM,@,New York Rangers,2,3,L,,9,9,4,L 1,,28,8,0,2,0,,21,6,1,2,0,"18,006",2:21,
23,12/1/2016,7:00 PM,@,Boston Bruins,1,2,L,SO,9,9,5,L 2,,30,8,1,2,0,,35,4,0,4,0,"17,565",2:48,
24,12/3/2016,1:00 PM,@,New York Rangers,2,4,L,,9,10,5,L 3,,28,4,0,3,0,,23,6,0,2,0,"18,006",2:25,
25,12/4/2016,5:00 PM,,Tampa Bay Lightning,1,0,W,OT,10,10,5,W 1,,30,10,0,4,0,,30,8,,5,,"11,521",2:24,
26,12/7/2016,10:30 PM,@,Anaheim Ducks,5,6,L,SO,10,10,6,L 1,,34,4,1,5,0,,38,10,0,3,0,"14,582",2:45,
27,12/8/2016,10:30 PM,@,Los Angeles Kings,3,1,W,,11,10,6,W 1,,18,6,0,0,1,,22,0,0,3,0,"18,230",2:20,
28,12/10/2016,10:30 PM,@,San Jose Sharks,3,4,L,,11,11,6,L 1,,33,4,2,2,1,,20,6,0,1,0,"17,562",2:24,
29,12/13/2016,7:00 PM,,Vancouver Canucks,8,6,W,,12,11,6,W 1,,36,9,2,3,0,,34,11,0,2,0,"11,721",2:38,
30,12/16/2016,7:30 PM,,Washington Capitals,3,4,L,SO,12,11,7,L 1,,30,4,1,6,0,,26,12,1,2,0,"11,892",2:35,
31,12/17/2016,7:00 PM,,Buffalo Sabres,2,1,W,SO,13,11,7,W 1,,22,0,0,1,0,,24,2,0,0,0,"11,682",2:30,
32,12/22/2016,7:00 PM,@,Buffalo Sabres,3,1,W,,14,11,7,W 2,,34,9,0,4,0,,23,13,0,2,0,"18,863",2:19,
33,12/23/2016,7:30 PM,,Boston Bruins,3,2,W,OT,15,11,7,W 3,,23,6,0,2,1,,33,4,1,3,0,"12,924",2:29,
34,12/28/2016,7:00 PM,@,Pittsburgh Penguins,2,3,L,,15,12,7,L 1,,46,0,0,0,0,,26,0,0,0,0,"18,653",2:28,
35,12/30/2016,7:30 PM,,Chicago Blackhawks,3,2,W,,16,12,7,W 1,,28,2,0,1,0,,29,2,0,1,0,"18,016",2:23,
36,12/31/2016,7:00 PM,@,Tampa Bay Lightning,1,3,L,,16,13,7,L 1,,27,4,0,4,0,,25,8,2,3,0,"19,092",2:26,
37,1/3/2017,7:00 PM,,New Jersey Devils,1,3,L,,16,14,7,L 2,,30,2,0,4,0,,18,8,0,2,0,"8,998",2:24,
38,1/5/2017,8:00 PM,@,St. Louis Blues,4,2,W,,17,14,7,W 1,,29,8,1,5,0,,23,8,1,5,0,"19,090",2:26,
39,1/6/2017,8:30 PM,@,Chicago Blackhawks,1,2,L,,17,15,7,L 1,,40,6,0,3,0,,24,6,1,3,0,"21,822",2:29,
