,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:00 PM,,Boston Bruins,3,6,L,,0,1,0,L 1,,31,6,1,3,0,,37,8,0,2,0,"18,144",2:29,
2,10/15/2016,7:00 PM,,San Jose Sharks,2,3,L,,0,2,0,L 2,,28,10,1,2,0,,38,4,1,5,0,"16,546",2:24,
3,10/21/2016,7:00 PM,,Chicago Blackhawks,3,2,W,,1,2,0,W 1,,28,8,2,2,0,,34,4,0,4,0,"15,789",2:27,
4,10/22/2016,8:00 PM,@,Dallas Stars,3,0,W,,2,2,0,W 2,,26,15,0,2,0,,32,9,,5,,"18,532",2:30,
5,10/25/2016,10:30 PM,@,Los Angeles Kings,2,3,L,OT,2,2,1,L 1,,21,2,1,1,0,,30,2,0,1,0,"18,230",2:23,
6,10/27/2016,10:30 PM,@,San Jose Sharks,1,3,L,,2,3,1,L 2,,25,4,0,3,0,,29,6,2,2,0,"17,229",2:30,
7,10/28/2016,10:00 PM,@,Anaheim Ducks,4,0,W,,3,3,1,W 1,,37,15,1,5,0,,35,17,,4,,"15,841",2:32,
8,11/1/2016,7:00 PM,,Dallas Stars,3,2,W,OT,4,3,1,W 2,,28,13,1,2,0,,38,9,0,4,0,"10,141",2:27,
9,11/4/2016,7:00 PM,,Montreal Canadiens,10,0,W,,5,3,1,W 3,,40,4,4,5,0,,30,12,,1,,"14,436",2:39,
10,11/5/2016,7:00 PM,@,St. Louis Blues,1,2,L,OT,5,3,2,L 1,,21,15,0,3,0,,30,13,0,4,0,"18,245",2:35,
11,11/9/2016,7:00 PM,,Anaheim Ducks,3,2,W,OT,6,3,2,W 1,,18,6,0,3,0,,32,6,0,3,0,"10,250",2:39,
12,11/10/2016,7:00 PM,@,Boston Bruins,2,5,L,,6,4,2,L 1,,17,4,0,3,0,,32,4,0,2,0,"17,565",2:26,
