,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:30 PM,@,Tampa Bay Lightning,4,6,L,,0,1,0,L 1,,32,34,1,2,0,,36,20,3,6,0,"19,092",2:47,
2,10/15/2016,7:00 PM,@,Florida Panthers,1,4,L,,0,2,0,L 2,,22,6,0,2,0,,38,6,0,2,0,"16,868",2:35,
3,10/17/2016,7:30 PM,,Ottawa Senators,5,1,W,,1,2,0,W 1,,25,20,2,4,0,,32,22,0,3,1,"20,027",2:33,
4,10/19/2016,8:00 PM,@,New York Rangers,2,1,W,,2,2,0,W 2,,18,6,1,4,0,,33,8,0,4,0,"18,200",2:28,
5,10/21/2016,7:30 PM,,Nashville Predators,5,3,W,,3,2,0,W 3,,43,15,2,7,0,,33,21,3,4,0,"20,027",2:34,
6,10/22/2016,7:00 PM,,San Jose Sharks,3,0,W,,4,2,0,W 4,,32,12,0,6,0,,30,16,,4,,"20,027",2:27,
7,10/25/2016,7:30 PM,,Carolina Hurricanes,4,2,W,,5,2,0,W 5,,25,8,0,2,0,,31,4,0,3,0,"20,027",2:24,
8,10/27/2016,8:00 PM,@,St. Louis Blues,2,1,W,SO,6,2,0,W 6,,27,8,0,5,1,,32,10,0,4,0,"19,229",2:47,
9,10/29/2016,7:00 PM,,Boston Bruins,0,1,L,,6,3,0,L 1,,24,12,0,4,0,,36,12,0,4,0,"20,027",2:45,
10,10/30/2016,5:00 PM,,Florida Panthers,2,5,L,,6,4,0,L 2,,36,8,2,5,0,,24,10,1,4,1,"20,027",2:24,
11,11/2/2016,8:00 PM,@,Philadelphia Flyers,3,4,L,OT,6,4,1,L 3,,25,9,0,1,0,,40,9,0,1,0,"19,309",2:32,
12,11/4/2016,7:30 PM,,Winnipeg Jets,3,5,L,,6,5,1,L 4,,33,2,0,3,0,,31,6,0,0,0,"20,027",2:43,
13,11/6/2016,5:00 PM,,Edmonton Oilers,1,2,L,,6,6,1,L 5,,23,4,1,2,0,,28,4,1,2,0,"20,027",2:28,
14,11/8/2016,7:00 PM,@,Philadelphia Flyers,3,2,W,SO,7,6,1,W 1,,35,9,0,3,0,,25,11,1,2,0,"19,598",2:35,
15,11/10/2016,7:30 PM,,Vancouver Canucks,3,1,W,,8,6,1,W 2,,27,6,0,4,0,,37,8,0,3,0,"20,027",2:28,
16,11/12/2016,7:00 PM,@,Montreal Canadiens,0,5,L,,8,7,1,L 1,,25,8,0,5,0,,37,12,2,3,0,"21,288",2:33,
17,11/15/2016,7:30 PM,,Tampa Bay Lightning,3,4,L,,8,8,1,L 2,,28,13,2,4,0,,22,25,1,3,0,"20,027",2:33,
18,11/18/2016,7:00 PM,@,Washington Capitals,0,1,L,,8,9,1,L 3,,25,7,0,4,0,,28,8,0,2,0,"18,506",2:27,
19,11/20/2016,7:30 PM,,Calgary Flames,2,3,L,,8,10,1,L 4,,23,4,0,2,0,,26,4,0,2,0,"20,027",2:26,
