,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/12/2016,10:00 PM,,Calgary Flames,7,4,W,,1,0,0,W 1,,28,13,1,6,0,,41,19,1,3,2,"18,347",2:35,
2,10/14/2016,9:00 PM,@,Calgary Flames,5,3,W,,2,0,0,W 2,,29,14,2,4,1,,35,12,0,5,0,"19,289",2:28,
3,10/16/2016,7:00 PM,,Buffalo Sabres,2,6,L,,2,1,0,L 1,,33,16,0,1,0,,24,6,2,6,0,"18,347",2:39,
4,10/18/2016,9:00 PM,,Carolina Hurricanes,3,2,W,,3,1,0,W 1,,28,4,0,3,0,,33,6,0,2,0,"18,347",2:30,
5,10/20/2016,9:00 PM,,St. Louis Blues,3,1,W,,4,1,0,W 2,,23,6,0,2,0,,35,4,0,3,0,"18,347",2:30,
6,10/23/2016,3:00 PM,@,Winnipeg Jets,3,0,W,,5,1,0,W 3,,32,8,0,2,1,,31,4,,4,,"33,240",2:30,
7,10/26/2016,9:30 PM,,Washington Capitals,4,1,W,,6,1,0,W 4,,29,8,1,4,0,,35,10,0,3,0,"18,347",2:30,
8,10/28/2016,10:00 PM,@,Vancouver Canucks,2,0,W,,7,1,0,W 5,,27,7,0,1,0,,26,7,,1,,"18,865",2:24,
9,10/30/2016,9:00 PM,,Ottawa Senators,0,2,L,,7,2,0,L 1,,37,9,0,4,0,,22,11,0,2,0,"18,347",2:29,
10,11/1/2016,7:30 PM,@,Toronto Maple Leafs,2,3,L,OT,7,2,1,L 2,,46,4,0,2,0,,31,6,0,1,0,"19,687",2:34,
11,11/3/2016,7:00 PM,@,New York Rangers,3,5,L,,7,3,1,L 3,,24,6,1,4,0,,31,8,0,3,0,"18,006",2:31,
12,11/5/2016,7:00 PM,@,New York Islanders,4,3,W,SO,8,3,1,W 1,,23,8,2,3,0,,33,8,0,3,0,"13,862",2:41,
13,11/6/2016,5:00 PM,@,Detroit Red Wings,2,1,W,,9,3,1,W 2,,28,4,1,2,0,,23,4,1,2,0,"20,027",2:28,
14,11/8/2016,7:00 PM,@,Pittsburgh Penguins,3,4,L,,9,4,1,L 1,,28,6,0,2,0,,31,2,0,3,0,"18,576",2:26,
15,11/11/2016,9:00 PM,,Dallas Stars,2,3,L,,9,5,1,L 2,,42,11,0,3,0,,30,11,1,4,0,"18,347",2:30,
16,11/13/2016,9:30 PM,,New York Rangers,1,3,L,,9,6,1,L 3,,39,0,0,2,0,,27,4,0,0,0,"18,347",2:27,
17,11/15/2016,10:00 PM,@,Anaheim Ducks,1,4,L,,9,7,1,L 4,,34,13,0,4,0,,27,15,1,3,0,"15,600",2:33,
18,11/17/2016,10:30 PM,@,Los Angeles Kings,2,4,L,,9,8,1,L 5,,30,9,0,1,0,,25,7,0,2,1,"18,230",2:29,
19,11/19/2016,7:00 PM,@,Dallas Stars,5,2,W,,10,8,1,W 1,,29,10,0,3,0,,33,2,2,6,0,"18,352",2:28,
20,11/21/2016,9:00 PM,,Chicago Blackhawks,5,0,W,,11,8,1,W 2,,27,4,2,4,0,,31,8,,2,,"18,347",2:25,
21,11/23/2016,10:00 PM,@,Colorado Avalanche,6,3,W,,12,8,1,W 3,,41,8,2,6,0,,28,16,0,2,0,"15,185",2:27,
22,11/25/2016,9:00 PM,@,Arizona Coyotes,2,3,L,SO,12,8,2,L 1,,34,6,0,3,0,,41,6,0,3,0,"14,950",2:54,
23,11/27/2016,3:00 PM,,Arizona Coyotes,1,2,L,,12,9,2,L 2,,42,6,0,3,0,,23,8,0,2,0,"18,347",2:30,
24,11/29/2016,9:00 PM,,Toronto Maple Leafs,2,4,L,,12,10,2,L 3,,30,12,0,6,0,,23,14,0,4,0,"18,347",2:32,
25,12/1/2016,8:00 PM,@,Winnipeg Jets,6,3,W,,13,10,2,W 1,,33,15,3,4,0,,25,15,2,4,0,"15,294",2:23,
26,12/3/2016,10:00 PM,,Anaheim Ducks,3,2,W,OT,14,10,2,W 2,,32,7,1,2,0,,33,9,1,2,0,"18,347",2:34,
27,12/4/2016,9:30 PM,,Minnesota Wild,1,2,L,OT,14,10,3,L 1,,29,11,0,3,0,,33,13,0,2,0,"18,347",2:41,
28,12/6/2016,7:00 PM,@,Buffalo Sabres,3,4,L,OT,14,10,4,L 2,,37,8,2,4,0,,26,8,2,4,0,"18,149",2:41,
29,12/8/2016,7:00 PM,@,Philadelphia Flyers,5,6,L,,14,11,4,L 3,,33,10,2,4,1,,31,8,1,5,0,"19,346",2:35,
30,12/9/2016,8:00 PM,@,Minnesota Wild,2,3,L,SO,14,11,5,L 4,,27,8,1,3,0,,36,6,0,4,0,"19,019",2:59,
31,12/11/2016,9:30 PM,,Winnipeg Jets,3,2,W,,15,11,5,W 1,,30,9,1,3,0,,31,9,0,2,0,"18,347",2:29,
32,12/13/2016,9:00 PM,,Columbus Blue Jackets,1,3,L,,15,12,5,L 1,,34,10,0,4,0,,31,8,2,5,0,"18,347",2:27,
33,12/17/2016,10:00 PM,,Tampa Bay Lightning,3,2,W,SO,16,12,5,W 1,,32,8,2,6,0,,33,12,1,4,0,"18,347",2:41,
34,12/19/2016,8:00 PM,@,St. Louis Blues,3,2,W,OT,17,12,5,W 2,,35,4,0,1,0,,27,4,0,1,0,"19,357",2:37,
35,12/21/2016,9:30 PM,@,Arizona Coyotes,3,2,W,,18,12,5,W 3,,21,47,1,3,0,,36,34,2,5,0,"11,378",2:46,
36,12/23/2016,10:30 PM,@,San Jose Sharks,2,3,L,OT,18,12,6,L 1,,18,18,0,6,0,,31,20,1,4,0,"17,562",2:40,
37,12/29/2016,9:00 PM,,Los Angeles Kings,3,1,W,,19,12,6,W 1,,35,4,1,2,0,,29,4,0,2,0,"18,347",2:30,
38,12/31/2016,10:00 PM,,Vancouver Canucks,2,3,L,SO,19,12,7,L 1,,44,4,1,5,0,,32,10,0,2,0,"18,347",2:44,
39,1/3/2017,7:00 PM,@,Columbus Blue Jackets,1,3,L,,19,13,7,L 2,,22,13,0,3,0,,35,9,2,4,0,"17,169",2:28,
40,1/5/2017,7:00 PM,@,Boston Bruins,4,3,W,,20,13,7,W 1,,25,11,0,1,0,,36,7,1,3,0,"17,565",2:40,
41,1/7/2017,7:00 PM,@,New Jersey Devils,2,1,W,OT,21,13,7,W 2,,43,4,1,2,0,,20,6,0,1,0,"14,734",2:28,
42,1/8/2017,7:00 PM,@,Ottawa Senators,3,5,L,,21,14,7,L 1,,38,9,0,1,0,,18,9,1,1,0,"17,724",2:26,
43,1/10/2017,9:00 PM,,San Jose Sharks,3,5,L,,21,15,7,L 2,,36,4,0,2,0,,28,4,0,2,0,"18,347",2:24,
44,1/12/2017,9:00 PM,,New Jersey Devils,3,2,W,OT,22,15,7,W 1,,34,13,0,3,0,,19,13,0,3,0,"18,347",2:32,
45,1/14/2017,10:00 PM,,Calgary Flames,2,1,W,SO,23,15,7,W 2,,27,4,1,3,0,,25,8,0,1,0,"18,347",2:34,
46,1/16/2017,9:00 PM,,Arizona Coyotes,3,1,W,,24,15,7,W 3,,27,8,0,2,0,,22,2,1,5,0,"18,347",2:28,
47,1/18/2017,9:30 PM,,Florida Panthers,4,3,W,OT,25,15,7,W 4,,31,4,1,2,0,,31,2,1,2,0,"18,347",2:42,
48,1/20/2017,9:00 PM,,Nashville Predators,2,3,L,SO,25,15,8,L 1,,32,24,1,4,0,,44,20,0,5,0,"18,347",3:07,
49,1/21/2017,10:00 PM,@,Calgary Flames,7,3,W,,26,15,8,W 1,,31,15,1,5,0,,41,29,1,3,1,"19,289",2:42,
50,1/25/2017,10:00 PM,@,Anaheim Ducks,4,0,W,,27,15,8,W 2,,23,4,0,2,0,,26,4,,2,,"17,174",2:23,
51,1/26/2017,10:30 PM,@,San Jose Sharks,4,1,W,,28,15,8,W 3,,21,8,1,2,0,,33,4,0,4,0,"17,562",2:22,
52,1/31/2017,9:00 PM,,Minnesota Wild,2,5,L,,28,16,8,L 1,,43,2,1,3,0,,35,6,0,1,0,"18,347",2:39,
53,2/2/2017,8:00 PM,@,Nashville Predators,0,2,L,,28,17,8,L 2,,31,9,0,3,0,,27,11,0,3,0,"17,113",2:38,
54,2/3/2017,7:30 PM,@,Carolina Hurricanes,1,2,L,,28,18,8,L 3,,25,2,0,3,0,,23,4,1,1,0,"12,512",2:27,
55,2/5/2017,1:00 PM,@,Montreal Canadiens,1,0,W,SO,29,18,8,W 1,,32,2,0,4,0,,22,8,,1,,"21,288",2:37,
56,2/11/2017,10:00 PM,,Chicago Blackhawks,1,5,L,,29,19,8,L 1,,31,29,0,2,0,,25,19,2,2,0,"18,347",2:19,
57,2/14/2017,9:00 PM,,Arizona Coyotes,5,2,W,,30,19,8,W 1,,33,10,2,4,0,,25,8,0,5,0,"18,347",2:38,
58,2/16/2017,9:00 PM,,Philadelphia Flyers,6,3,W,,31,19,8,W 2,,25,13,0,0,0,,36,7,1,3,0,"18,347",2:42,
59,2/18/2017,7:00 PM,@,Chicago Blackhawks,3,1,W,,32,19,8,W 3,,22,11,1,2,0,,39,19,0,3,0,"22,075",2:23,
60,2/21/2017,7:30 PM,@,Tampa Bay Lightning,1,4,L,,32,20,8,L 1,,21,4,0,1,0,,27,4,0,1,0,"19,092",2:36,
61,2/22/2017,7:30 PM,@,Florida Panthers,4,3,W,,33,20,8,W 1,,35,6,0,1,0,,34,2,2,2,0,"15,300",2:35,
62,2/24/2017,7:00 PM,@,Washington Capitals,1,2,L,,33,21,8,L 1,,31,4,0,0,0,,25,0,0,2,0,"18,506",2:19,
63,2/26/2017,5:00 PM,@,Nashville Predators,4,5,L,,33,22,8,L 2,,32,8,2,4,0,,28,6,3,5,0,"17,113",2:46,
64,2/28/2017,8:00 PM,@,St. Louis Blues,2,1,W,,34,22,8,W 1,,25,9,1,2,0,,26,9,1,2,0,"18,944",2:30,
65,3/4/2017,10:00 PM,,Detroit Red Wings,4,3,W,,35,22,8,W 2,,38,2,0,2,0,,25,4,0,0,0,"18,347",2:31,
66,3/7/2017,9:00 PM,,New York Islanders,1,4,L,,35,23,8,L 1,,28,2,0,2,0,,27,4,1,1,0,"18,347",2:15,
67,3/10/2017,9:00 PM,,Pittsburgh Penguins,2,3,L,SO,35,23,9,L 2,,42,4,1,2,0,,30,4,0,2,0,"18,347",2:32,
68,3/12/2017,7:00 PM,,Montreal Canadiens,1,4,L,,35,24,9,L 3,,25,11,0,3,0,,41,13,0,2,0,"18,347",2:30,
69,3/14/2017,9:00 PM,,Dallas Stars,7,1,W,,36,24,9,W 1,,29,2,1,2,0,,23,4,0,1,0,"18,347",2:28,
70,3/16/2017,9:00 PM,,Boston Bruins,7,4,W,,37,24,9,W 2,,36,20,3,6,0,,36,22,2,4,1,"18,347",2:39,
71,3/18/2017,10:00 PM,,Vancouver Canucks,2,0,W,,38,24,9,W 3,,22,4,1,3,0,,33,6,,2,,"18,347",2:23,
72,3/20/2017,9:00 PM,,Los Angeles Kings,2,0,W,,39,24,9,W 4,,31,11,1,3,0,,35,13,,2,,"18,347",2:27,
73,3/22/2017,10:00 PM,@,Anaheim Ducks,3,4,L,,39,25,9,L 1,,32,12,1,5,0,,34,12,0,5,0,"15,310",2:38,
74,3/23/2017,9:00 PM,@,Colorado Avalanche,7,4,W,,40,25,9,W 1,,30,6,0,2,0,,21,4,0,3,0,"14,142",2:24,
75,3/25/2017,10:00 PM,,Colorado Avalanche,4,1,W,,41,25,9,W 2,,29,8,2,4,0,,25,10,0,3,0,"18,347",2:28,
76,3/28/2017,9:00 PM,,Los Angeles Kings,2,1,W,,42,25,9,W 3,,29,7,0,3,0,,35,11,0,1,0,"18,347",2:31,
77,3/30/2017,9:00 PM,,San Jose Sharks,3,2,W,,43,25,9,W 4,,22,11,0,3,1,,40,13,0,2,0,"18,347",2:28,
78,4/1/2017,10:00 PM,,Anaheim Ducks,3,2,W,OT,44,25,9,W 5,,37,4,1,4,0,,18,8,2,2,0,"18,347",2:37,
79,4/4/2017,10:30 PM,@,Los Angeles Kings,4,6,L,,44,26,9,L 1,,27,6,1,3,0,,27,6,0,3,0,"18,230",2:28,
80,4/6/2017,10:30 PM,@,San Jose Sharks,4,2,W,,45,26,9,W 1,,32,11,2,5,0,,15,13,0,4,0,"17,562",2:28,
81,4/8/2017,10:00 PM,@,Vancouver Canucks,3,2,W,,46,26,9,W 2,,35,11,1,2,0,,31,9,1,3,0,"18,865",2:23,
82,4/9/2017,9:00 PM,,Vancouver Canucks,5,2,W,,47,26,9,W 3,,44,7,1,5,0,,17,15,0,1,0,"18,347",2:39,
