,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:30 PM,,New Jersey Devils,2,1,W,OT,1,0,0,W 1,,34,14,0,3,0,,24,16,0,2,0,"17,128",2:36,
2,10/15/2016,7:00 PM,,Detroit Red Wings,4,1,W,,2,0,0,W 2,,38,6,0,2,0,,22,6,0,2,0,"16,868",2:35,
3,10/18/2016,7:30 PM,@,Tampa Bay Lightning,3,4,L,SO,2,0,1,L 1,,31,8,0,3,1,,28,8,0,3,0,"19,092",2:50,
4,10/20/2016,7:30 PM,,Washington Capitals,2,4,L,,2,1,1,L 2,,28,2,1,4,0,,29,8,0,1,0,"12,440",2:27,
5,10/22/2016,7:00 PM,,Colorado Avalanche,5,2,W,,3,1,1,W 1,,38,11,1,6,0,,28,17,1,3,0,"14,326",2:32,
6,10/25/2016,7:00 PM,@,Pittsburgh Penguins,2,3,L,,3,2,1,L 1,,22,4,1,4,0,,22,8,1,2,0,"18,434",2:20,
7,10/27/2016,7:30 PM,@,Toronto Maple Leafs,2,3,L,,3,3,1,L 2,,31,6,1,3,0,,28,6,0,2,0,"18,979",2:26,
8,10/29/2016,1:00 PM,@,Buffalo Sabres,0,3,L,,3,4,1,L 3,,33,8,0,4,0,,25,8,2,4,0,"18,261",2:34,
9,10/30/2016,5:00 PM,@,Detroit Red Wings,5,2,W,,4,4,1,W 1,,24,10,1,4,1,,36,8,2,5,0,"20,027",2:24,
10,11/1/2016,7:30 PM,,Boston Bruins,1,2,L,,4,5,1,L 1,,34,20,0,7,0,,26,26,0,3,1,"13,808",2:44,
11,11/3/2016,7:30 PM,,New Jersey Devils,4,3,W,OT,5,5,1,W 1,,31,10,2,3,0,,34,8,1,4,0,"11,597",2:37,
12,11/5/2016,7:00 PM,@,Washington Capitals,2,4,L,,5,6,1,L 1,,24,8,1,2,0,,36,4,0,4,0,"18,506",2:32,
13,11/7/2016,7:30 PM,,Tampa Bay Lightning,3,1,W,,6,6,1,W 1,,32,6,1,3,0,,35,8,0,2,0,"11,703",2:28,
14,11/10/2016,7:30 PM,,San Jose Sharks,2,4,L,,6,7,1,L 1,,24,4,0,1,0,,29,2,0,2,0,"11,703",2:24,
15,11/12/2016,7:00 PM,,New York Islanders,3,2,W,OT,7,7,1,W 1,,43,14,0,5,0,,21,12,1,6,0,"15,828",2:53,
16,11/15/2016,7:30 PM,@,Montreal Canadiens,4,3,W,OT,8,7,1,W 2,,24,6,0,3,0,,37,6,1,3,0,"21,288",2:29,
17,11/17/2016,7:30 PM,@,Toronto Maple Leafs,1,6,L,,8,8,1,L 1,,27,8,0,4,0,,30,8,0,4,0,"18,931",2:33,
18,11/19/2016,7:00 PM,@,Ottawa Senators,4,1,W,,9,8,1,W 1,,23,4,0,0,0,,40,0,0,2,0,"14,132",2:25,
19,11/20/2016,7:00 PM,@,New York Rangers,3,2,W,SO,10,8,1,W 2,,30,6,1,4,0,,35,8,0,3,0,"18,006",2:49,
20,11/22/2016,7:30 PM,,Philadelphia Flyers,1,3,L,,10,9,1,L 1,,39,6,0,4,0,,28,10,2,2,0,"15,515",2:28,
21,11/26/2016,7:00 PM,,Columbus Blue Jackets,2,1,W,SO,11,9,1,W 1,,23,4,0,2,0,,37,4,0,2,0,"13,573",3:18,
22,11/27/2016,6:00 PM,@,Carolina Hurricanes,2,3,L,,11,10,1,L 1,,33,4,1,4,0,,27,8,1,3,0,"8,124",2:19,
23,11/29/2016,8:30 PM,@,Chicago Blackhawks,1,2,L,SO,11,10,2,L 2,,39,4,1,3,0,,33,6,0,2,0,"21,475",2:46,
24,12/1/2016,7:30 PM,@,Detroit Red Wings,2,1,W,OT,12,10,2,W 1,,30,8,0,6,0,,21,12,0,4,0,"20,027",2:31,
25,12/3/2016,7:00 PM,@,Ottawa Senators,0,2,L,,12,11,2,L 1,,24,14,0,4,0,,21,8,0,7,0,"15,149",2:30,
26,12/5/2016,7:00 PM,@,Boston Bruins,3,4,L,OT,12,11,3,L 2,,30,6,0,3,0,,36,6,0,3,0,"17,565",2:29,
27,12/6/2016,7:00 PM,@,Philadelphia Flyers,2,3,L,OT,12,11,4,L 3,,44,10,0,2,0,,25,6,1,4,0,"18,999",2:41,
28,12/8/2016,7:30 PM,,Pittsburgh Penguins,1,5,L,,12,12,4,L 4,,29,8,1,3,0,,30,6,0,3,0,"14,068",2:27,
29,12/10/2016,7:00 PM,,Vancouver Canucks,4,2,W,,13,12,4,W 1,,42,8,0,2,0,,39,4,1,4,0,"17,585",2:35,
30,12/13/2016,8:00 PM,@,Minnesota Wild,1,5,L,,13,13,4,L 1,,30,14,0,5,0,,22,20,0,1,0,"18,754",2:45,
31,12/15/2016,8:00 PM,@,Winnipeg Jets,3,4,L,SO,13,13,5,L 2,,44,10,3,3,0,,32,12,0,2,0,"15,294",2:52,
32,12/16/2016,9:00 PM,@,Colorado Avalanche,3,1,W,,14,13,5,W 1,,23,14,0,2,1,,31,6,0,6,0,"14,679",2:27,
33,12/20/2016,7:30 PM,,Buffalo Sabres,4,3,W,SO,15,13,5,W 2,,39,13,1,4,0,,36,15,1,3,0,"14,265",2:51,
34,12/22/2016,7:30 PM,,Boston Bruins,1,3,L,,15,14,5,L 1,,30,6,0,3,0,,33,6,1,3,0,"14,462",2:37,
35,12/23/2016,7:30 PM,,Detroit Red Wings,3,4,L,SO,15,14,6,L 2,,34,10,1,6,0,,39,12,0,5,0,"15,374",2:59,
36,12/28/2016,7:00 PM,,Toronto Maple Leafs,2,3,L,SO,15,14,7,L 3,,47,8,0,4,0,,40,12,1,3,0,"16,965",2:51,
37,12/29/2016,7:30 PM,,Montreal Canadiens,2,3,L,OT,15,14,8,L 4,,33,9,1,3,0,,41,11,1,2,0,"17,489",2:39,
38,12/31/2016,8:00 PM,@,Dallas Stars,3,1,W,,16,14,8,W 1,,38,8,2,2,0,,36,4,1,4,0,"18,532",2:31,
39,1/4/2017,7:00 PM,,Winnipeg Jets,1,4,L,,16,15,8,L 1,,32,4,0,4,0,,39,10,0,1,0,"13,607",2:26,
40,1/6/2017,7:30 PM,,Nashville Predators,2,1,W,,17,15,8,W 1,,34,34,0,4,0,,29,22,0,5,0,"14,003",2:32,
41,1/7/2017,7:00 PM,,Boston Bruins,0,4,L,,17,16,8,L 1,,25,12,0,3,0,,37,8,1,6,1,"16,630",2:29,
42,1/9/2017,7:00 PM,@,New Jersey Devils,3,0,W,,18,16,8,W 1,,29,6,1,6,0,,28,13,,2,,"12,834",2:19,
43,1/11/2017,7:00 PM,@,New York Islanders,2,1,W,,19,16,8,W 2,,24,2,0,1,0,,30,4,0,0,0,"13,529",2:25,
44,1/13/2017,7:30 PM,,New York Islanders,2,5,L,,19,17,8,L 1,,29,21,1,3,0,,42,15,0,6,0,"14,352",2:38,
45,1/14/2017,7:00 PM,,Columbus Blue Jackets,4,3,W,,20,17,8,W 1,,32,10,0,3,0,,33,10,1,3,0,"14,795",2:40,
46,1/17/2017,9:00 PM,@,Calgary Flames,2,5,L,,20,18,8,L 1,,22,8,0,4,0,,29,8,2,4,0,"18,137",2:27,
47,1/18/2017,9:30 PM,@,Edmonton Oilers,3,4,L,OT,20,18,9,L 2,,31,2,1,2,0,,31,4,1,2,0,"18,347",2:42,
48,1/20/2017,10:00 PM,@,Vancouver Canucks,1,2,L,,20,19,9,L 3,,35,2,1,3,0,,32,4,0,1,0,"18,865",2:30,
49,1/23/2017,9:00 PM,@,Arizona Coyotes,2,3,L,OT,20,19,10,L 4,,25,6,0,2,0,,42,2,0,3,0,"10,042",2:34,
50,1/26/2017,7:30 PM,,Tampa Bay Lightning,2,1,W,OT,21,19,10,W 1,,37,15,1,3,1,,32,13,1,4,0,"14,248",2:36,
51,1/31/2017,7:30 PM,,Ottawa Senators,6,5,W,,22,19,10,W 2,,34,14,0,3,0,,41,12,0,4,0,"11,933",2:38,
52,2/3/2017,7:30 PM,,Anaheim Ducks,2,1,W,,23,19,10,W 3,,37,13,0,5,0,,23,17,0,3,0,"14,689",2:30,
53,2/9/2017,7:30 PM,,Los Angeles Kings,3,6,L,,23,20,10,L 1,,39,20,0,4,0,,26,12,1,3,0,"13,451",2:34,
54,2/11/2017,2:00 PM,@,Nashville Predators,7,4,W,,24,20,10,W 1,,37,22,2,6,0,,30,26,1,4,1,"17,113",2:51,
55,2/15/2017,10:30 PM,@,San Jose Sharks,6,5,W,OT,25,20,10,W 2,,22,6,0,2,0,,36,4,0,3,0,"17,562",2:31,
56,2/17/2017,10:00 PM,@,Anaheim Ducks,4,1,W,,26,20,10,W 3,,31,8,1,3,1,,36,8,0,3,1,"16,339",2:28,
57,2/18/2017,10:00 PM,@,Los Angeles Kings,3,2,W,,27,20,10,W 4,,25,6,0,2,0,,35,4,0,3,0,"18,230",2:28,
58,2/20/2017,8:00 PM,@,St. Louis Blues,2,1,W,,28,20,10,W 5,,33,4,0,1,0,,27,2,0,2,0,"19,239",2:26,
59,2/22/2017,7:30 PM,,Edmonton Oilers,3,4,L,,28,21,10,L 1,,34,2,2,2,0,,35,6,0,1,0,"15,300",2:35,
60,2/24/2017,7:30 PM,,Calgary Flames,2,4,L,,28,22,10,L 2,,38,4,1,3,0,,28,8,0,1,0,"14,765",2:31,
61,2/26/2017,7:30 PM,,Ottawa Senators,1,2,L,,28,23,10,L 3,,38,33,1,5,0,,33,29,0,2,1,"14,118",2:38,
62,2/28/2017,7:30 PM,,Carolina Hurricanes,3,2,W,SO,29,23,10,W 1,,31,4,1,2,0,,25,4,0,1,0,"10,839",2:42,
63,3/2/2017,7:00 PM,@,Philadelphia Flyers,1,2,L,SO,29,23,11,L 1,,40,12,0,2,1,,49,8,0,4,0,"19,650",2:41,
64,3/4/2017,7:00 PM,,Dallas Stars,1,2,L,,29,24,11,L 2,,42,6,1,3,0,,34,6,0,3,0,"15,713",2:27,
65,3/7/2017,7:30 PM,,New York Rangers,2,5,L,,29,25,11,L 3,,45,8,1,5,0,,28,10,0,4,0,"16,116",2:32,
66,3/10/2017,7:30 PM,,Minnesota Wild,4,7,L,,29,26,11,L 4,,40,8,1,2,0,,46,6,0,3,0,"16,232",2:44,
67,3/11/2017,7:00 PM,@,Tampa Bay Lightning,2,3,L,,29,27,11,L 5,,34,42,0,3,0,,34,20,1,4,1,"19,092",2:45,
68,3/14/2017,7:30 PM,,Toronto Maple Leafs,7,2,W,,30,27,11,W 1,,32,12,1,5,1,,30,12,1,4,0,"17,552",2:40,
69,3/16/2017,7:00 PM,@,Columbus Blue Jackets,1,2,L,,30,28,11,L 1,,34,4,0,2,0,,34,4,0,3,0,"14,921",2:31,
70,3/17/2017,7:00 PM,@,New York Rangers,4,3,W,SO,31,28,11,W 1,,37,10,1,2,0,,32,8,1,3,0,"18,006",2:41,
71,3/19/2017,1:00 PM,@,Pittsburgh Penguins,0,4,L,,31,29,11,L 1,,21,12,0,4,0,,28,12,0,4,0,"18,653",2:29,
