,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/12/2016,10:30 PM,@,San Jose Sharks,1,2,L,,0,1,0,L 1,,22,8,1,1,0,,31,4,1,3,0,"17,562",2:29,
2,10/14/2016,10:30 PM,,Philadelphia Flyers,2,4,L,,0,2,0,L 2,,25,6,0,2,0,,30,6,0,2,0,"18,453",2:31,
3,10/18/2016,8:00 PM,@,Minnesota Wild,3,6,L,,0,3,0,L 3,,30,8,0,5,0,,26,8,1,4,0,"18,644",2:40,
4,10/20/2016,8:30 PM,@,Dallas Stars,4,3,W,OT,1,3,0,W 1,,39,15,1,6,0,,20,29,1,4,0,"18,532",2:45,
5,10/22/2016,10:00 PM,,Vancouver Canucks,4,3,W,SO,2,3,0,W 2,,31,17,1,3,1,,25,11,2,6,0,"18,230",2:51,
6,10/25/2016,10:30 PM,,Columbus Blue Jackets,3,2,W,OT,3,3,0,W 3,,30,2,0,1,0,,21,2,1,1,0,"18,230",2:23,
7,10/27/2016,10:30 PM,,Nashville Predators,3,2,W,OT,4,3,0,W 4,,45,11,1,3,0,,26,13,0,3,1,"18,230",2:49,
8,10/29/2016,8:00 PM,@,St. Louis Blues,0,1,L,,4,4,0,L 1,,27,8,0,5,0,,25,10,0,4,0,"18,631",2:26,
9,10/30/2016,7:00 PM,@,Chicago Blackhawks,0,3,L,,4,5,0,L 2,,32,14,0,2,0,,29,2,2,7,0,"21,329",2:23,
10,11/1/2016,10:30 PM,,Anaheim Ducks,0,4,L,,4,6,0,L 3,,30,44,0,1,0,,21,48,2,4,0,"18,230",2:39,
11,11/3/2016,10:30 PM,,Pittsburgh Penguins,3,2,W,OT,5,6,0,W 1,,27,6,0,3,0,,23,6,0,3,0,"18,230",2:38,
12,11/5/2016,10:00 PM,,Calgary Flames,5,0,W,,6,6,0,W 2,,39,6,0,3,0,,24,6,,3,,"18,230",2:30,
13,11/8/2016,7:30 PM,@,Toronto Maple Leafs,7,0,W,,7,6,0,W 3,,43,2,0,4,0,,19,8,,1,,"18,976",2:27,
14,11/10/2016,7:30 PM,@,Montreal Canadiens,1,4,L,,7,7,0,L 1,,24,4,1,5,0,,23,10,0,2,0,"21,288",2:27,
15,11/11/2016,7:30 PM,@,Ottawa Senators,1,2,L,,7,8,0,L 2,,33,4,0,2,0,,33,4,0,3,0,"15,622",2:32,
16,11/13/2016,2:00 PM,@,Winnipeg Jets,2,3,L,SO,7,8,1,L 3,,29,14,0,5,0,,29,15,2,5,0,"15,294",2:43,
17,11/15/2016,9:00 PM,@,Colorado Avalanche,1,4,L,,7,9,1,L 4,,33,10,1,4,0,,30,8,0,4,0,"14,805",2:35,
18,11/17/2016,10:30 PM,,Edmonton Oilers,4,2,W,,8,9,1,W 1,,25,7,0,2,1,,30,9,0,1,0,"18,230",2:29,
19,11/19/2016,4:00 PM,,New Jersey Devils,4,2,W,,9,9,1,W 2,,28,4,0,1,0,,23,2,0,2,0,"18,230",2:25,
20,11/20/2016,8:00 PM,@,Anaheim Ducks,3,2,W,,10,9,1,W 3,,29,19,2,3,0,,30,11,1,7,0,"16,611",2:38,
21,11/23/2016,10:30 PM,,New York Islanders,4,2,W,,11,9,1,W 4,,28,4,0,2,0,,24,4,0,2,0,"18,230",2:26,
22,11/26/2016,10:30 PM,,Chicago Blackhawks,2,1,W,OT,12,9,1,W 5,,29,6,0,3,0,,19,6,0,3,0,"18,435",2:34,
23,11/30/2016,10:30 PM,,San Jose Sharks,1,4,L,,12,10,1,L 1,,27,2,1,2,0,,24,4,0,1,0,"18,230",2:27,
24,12/1/2016,9:00 PM,@,Arizona Coyotes,4,3,W,,13,10,1,W 1,,33,14,0,6,0,,32,24,2,6,0,"11,327",2:38,
25,12/4/2016,3:00 PM,,Montreal Canadiens,4,5,L,SO,13,10,2,L 1,,31,10,2,4,0,,30,8,2,5,0,"18,230",2:49,
26,12/8/2016,10:30 PM,,Carolina Hurricanes,1,3,L,,13,11,2,L 2,,22,0,0,3,0,,18,6,0,0,1,"18,230",2:20,
27,12/10/2016,4:00 PM,,Ottawa Senators,4,1,W,,14,11,2,W 1,,19,18,3,4,0,,20,17,0,4,0,"18,230",2:30,
28,12/13/2016,7:00 PM,@,Buffalo Sabres,3,6,L,,14,12,2,L 1,,33,11,0,0,0,,26,9,0,1,0,"18,375",2:28,
29,12/15/2016,7:30 PM,@,Detroit Red Wings,4,1,W,,15,12,2,W 1,,31,12,0,3,0,,18,10,0,4,0,"20,027",2:32,
30,12/16/2016,7:00 PM,@,Pittsburgh Penguins,1,0,W,OT,16,12,2,W 2,,28,6,0,1,0,,39,2,,4,,"18,544",2:28,
31,12/18/2016,1:00 PM,@,Boston Bruins,0,1,L,,16,13,2,L 1,,18,13,0,4,0,,30,13,0,4,0,"17,565",2:32,
