,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,8:00 PM,@,St. Louis Blues,2,3,L,,0,1,0,L 1,,21,20,0,5,0,,31,14,0,3,0,"19,673",2:29,
2,10/15/2016,7:00 PM,,Winnipeg Jets,4,3,W,,1,1,0,W 1,,31,13,1,4,0,,17,15,0,3,0,"19,024",2:41,
3,10/18/2016,8:00 PM,,Los Angeles Kings,6,3,W,,2,1,0,W 2,,26,8,1,4,0,,30,8,0,5,0,"18,644",2:40,
4,10/20/2016,8:00 PM,,Toronto Maple Leafs,3,2,W,,3,1,0,W 3,,27,6,0,3,0,,33,6,1,3,0,"18,968",2:36,
5,10/22/2016,7:00 PM,@,New Jersey Devils,1,2,L,OT,3,1,1,L 1,,29,6,0,3,0,,32,6,0,3,0,"16,514",2:36,
6,10/23/2016,6:00 PM,@,New York Islanders,3,6,L,,3,2,1,L 2,,29,16,0,3,0,,33,22,0,1,0,"11,583",2:30,
7,10/25/2016,7:00 PM,@,Boston Bruins,5,0,W,,4,2,1,W 1,,33,13,1,4,0,,27,15,,3,,"17,565",2:32,
8,10/27/2016,7:00 PM,@,Buffalo Sabres,4,0,W,,5,2,1,W 2,,22,4,0,2,0,,38,4,,2,,"18,122",2:28,
9,10/29/2016,8:00 PM,,Dallas Stars,4,0,W,,6,2,1,W 3,,15,4,1,2,1,,29,4,,3,,"19,031",2:28,
10,11/1/2016,8:00 PM,,Buffalo Sabres,1,2,L,,6,3,1,L 1,,28,2,1,1,0,,24,2,0,1,0,"18,864",2:28,
11,11/5/2016,3:00 PM,@,Colorado Avalanche,0,1,L,,6,4,1,L 2,,32,10,0,3,0,,32,8,1,4,0,"16,256",2:34,
12,11/10/2016,7:00 PM,@,Pittsburgh Penguins,4,2,W,,7,4,1,W 1,,44,6,1,3,0,,41,6,2,4,0,"18,458",2:34,
13,11/12/2016,7:00 PM,@,Philadelphia Flyers,2,3,L,,7,5,1,L 1,,27,6,0,2,0,,36,4,1,3,0,"19,591",2:30,
14,11/13/2016,5:00 PM,@,Ottawa Senators,2,1,W,OT,8,5,1,W 1,,42,8,0,3,1,,36,6,0,4,0,"14,265",2:35,
15,11/15/2016,8:00 PM,,Calgary Flames,0,1,L,,8,6,1,L 1,,27,19,0,2,0,,27,13,1,6,0,"19,048",2:32,
16,11/17/2016,8:00 PM,,Boston Bruins,1,0,W,,9,6,1,W 1,,29,6,0,3,0,,25,8,,2,,"18,774",2:33,
17,11/19/2016,8:00 PM,,Colorado Avalanche,2,3,L,,9,7,1,L 1,,43,4,1,4,0,,37,10,1,2,0,"19,238",2:43,
18,11/21/2016,8:30 PM,@,Dallas Stars,2,3,L,OT,9,7,2,L 2,,29,9,1,3,0,,32,11,0,2,0,"18,532",2:38,
19,11/23/2016,7:00 PM,,Winnipeg Jets,3,1,W,,10,7,2,W 1,,26,4,1,3,0,,16,6,1,2,0,"19,022",2:21,
20,11/25/2016,4:00 PM,,Pittsburgh Penguins,6,2,W,,11,7,2,W 2,,36,4,3,4,0,,36,10,0,3,0,"19,212",2:24,
21,11/26/2016,8:00 PM,@,St. Louis Blues,3,4,L,SO,11,7,3,L 1,,31,4,0,2,0,,38,2,1,2,0,"19,396",2:44,
22,11/29/2016,10:00 PM,@,Vancouver Canucks,4,5,L,,11,8,3,L 2,,42,6,0,2,0,,35,4,2,3,0,"17,917",2:28,
23,12/2/2016,9:00 PM,@,Calgary Flames,2,3,L,SO,11,8,4,L 3,,25,14,0,3,0,,31,10,1,5,0,"18,390",2:45,
24,12/4/2016,9:30 PM,@,Edmonton Oilers,2,1,W,OT,12,8,4,W 1,,33,13,0,2,0,,29,11,0,3,0,"18,347",2:41,
25,12/7/2016,7:30 PM,@,Toronto Maple Leafs,3,2,W,,13,8,4,W 2,,20,9,0,1,0,,37,7,0,2,0,"18,944",2:35,
26,12/9/2016,8:00 PM,,Edmonton Oilers,3,2,W,SO,14,8,4,W 3,,36,6,0,4,0,,27,8,1,3,0,"19,019",2:59,
27,12/11/2016,6:00 PM,,St. Louis Blues,3,1,W,,15,8,4,W 4,,25,11,0,3,0,,23,11,0,3,0,"18,363",2:51,
28,12/13/2016,8:00 PM,,Florida Panthers,5,1,W,,16,8,4,W 5,,22,20,0,1,0,,30,14,0,5,0,"18,754",2:45,
29,12/15/2016,8:00 PM,@,Nashville Predators,5,2,W,,17,8,4,W 6,,19,6,1,2,0,,36,4,1,3,0,"17,113",2:33,
30,12/17/2016,2:00 PM,,Arizona Coyotes,4,1,W,,18,8,4,W 7,,30,2,1,3,0,,28,6,0,1,0,"19,036",2:30,
31,12/20/2016,8:00 PM,,Colorado Avalanche,2,0,W,,19,8,4,W 8,,33,12,1,3,0,,18,8,,5,,"19,018",2:21,
32,12/22/2016,7:30 PM,@,Montreal Canadiens,4,2,W,,20,8,4,W 9,,27,6,0,4,1,,34,8,0,4,1,"21,288",2:34,
33,12/23/2016,7:00 PM,@,New York Rangers,7,4,W,,21,8,4,W 10,,21,4,1,1,0,,35,2,0,2,0,"18,006",2:25,
34,12/27/2016,8:00 PM,@,Nashville Predators,3,2,W,OT,22,8,4,W 11,,39,2,1,4,0,,30,8,0,1,0,"17,141",2:35,
35,12/29/2016,8:00 PM,,New York Islanders,6,4,W,,23,8,4,W 12,,36,10,0,1,0,,28,6,1,3,0,"19,252",2:36,
36,12/31/2016,6:00 PM,,Columbus Blue Jackets,2,4,L,,23,9,4,L 1,,31,26,1,3,0,,25,28,0,2,0,"19,307",2:36,
37,1/5/2017,10:30 PM,@,San Jose Sharks,5,4,W,,24,9,4,W 1,,26,2,1,3,0,,34,6,0,1,0,"17,562",2:25,
