,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:00 PM,@,Buffalo Sabres,4,1,W,,1,0,0,W 1,,24,22,0,2,0,,31,6,1,5,0,"19,070",2:44,
2,10/15/2016,7:00 PM,@,Ottawa Senators,3,4,L,SO,1,0,1,L 1,,24,10,1,4,0,,38,10,0,4,0,"18,195",2:44,
3,10/18/2016,7:30 PM,,Pittsburgh Penguins,4,0,W,,2,0,1,W 1,,32,16,1,6,0,,36,12,,8,,"21,288",2:47,
4,10/20/2016,7:30 PM,,Arizona Coyotes,5,2,W,,3,0,1,W 2,,43,6,1,4,0,,29,10,0,2,1,"21,288",2:33,
5,10/22/2016,7:00 PM,@,Boston Bruins,4,2,W,,4,0,1,W 3,,29,16,0,5,1,,21,14,1,6,0,"17,565",2:36,
6,10/24/2016,7:30 PM,,Philadelphia Flyers,3,1,W,,5,0,1,W 4,,33,2,1,4,0,,32,8,0,1,0,"21,288",2:27,
7,10/26/2016,7:00 PM,@,New York Islanders,3,2,W,,6,0,1,W 5,,29,4,1,1,0,,28,2,1,2,0,"12,194",2:33,
8,10/27/2016,7:30 PM,,Tampa Bay Lightning,3,1,W,,7,0,1,W 6,,26,11,1,3,0,,31,11,0,3,0,"21,288",2:32,
9,10/29/2016,7:00 PM,,Toronto Maple Leafs,2,1,W,,8,0,1,W 7,,31,12,1,3,0,,38,10,1,4,0,"21,288",2:28,
10,11/2/2016,7:30 PM,,Vancouver Canucks,3,0,W,,9,0,1,W 8,,21,10,0,3,0,,42,6,,5,,"21,288",2:28,
11,11/4/2016,7:00 PM,@,Columbus Blue Jackets,0,10,L,,9,1,1,L 1,,30,12,0,1,0,,40,4,4,5,0,"14,436",2:39,
12,11/5/2016,7:00 PM,,Philadelphia Flyers,5,4,W,,10,1,1,W 1,,17,8,0,3,1,,38,6,2,5,0,"21,288",2:32,
13,11/8/2016,7:30 PM,,Boston Bruins,3,2,W,,11,1,1,W 2,,23,4,1,2,0,,43,4,1,2,0,"21,288",2:33,
