,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/14/2016,8:00 PM,,Chicago Blackhawks,3,2,W,,1,0,0,W 1,,27,20,3,6,0,,24,24,0,4,0,"17,256",2:35,
2,10/15/2016,8:30 PM,@,Chicago Blackhawks,3,5,L,,1,1,0,L 1,,36,6,1,2,0,,27,4,2,3,0,"21,665",2:29,
3,10/18/2016,8:00 PM,,Dallas Stars,1,2,L,,1,2,0,L 2,,28,6,1,3,0,,37,8,0,2,0,"17,113",2:29,
4,10/21/2016,7:30 PM,@,Detroit Red Wings,3,5,L,,1,3,0,L 3,,33,21,3,4,0,,43,15,2,7,0,"20,027",2:34,
5,10/22/2016,8:00 PM,,Pittsburgh Penguins,5,1,W,,2,3,0,W 1,,30,4,1,4,0,,35,8,0,2,0,"17,113",2:31,
6,10/26/2016,10:30 PM,@,Anaheim Ducks,1,6,L,,2,4,0,L 1,,29,8,1,5,0,,26,10,3,4,2,"15,421",2:36,
7,10/27/2016,10:30 PM,@,Los Angeles Kings,2,3,L,OT,2,4,1,L 2,,26,13,0,3,1,,45,11,1,3,0,"18,230",2:49,
8,10/29/2016,10:30 PM,@,San Jose Sharks,1,4,L,,2,5,1,L 3,,28,4,0,1,0,,26,2,1,2,0,"17,562",2:28,
9,11/1/2016,9:00 PM,@,Colorado Avalanche,5,1,W,,3,5,1,W 1,,36,13,1,5,0,,29,15,0,4,0,"12,142",2:26,
10,11/3/2016,10:00 PM,@,Arizona Coyotes,2,3,L,SO,3,5,2,L 1,,37,6,1,7,0,,28,14,0,3,0,"10,745",2:40,
11,11/5/2016,8:00 PM,,Carolina Hurricanes,2,3,L,SO,3,5,3,L 2,,27,6,0,2,0,,25,4,0,3,1,"17,113",2:38,
12,11/8/2016,8:00 PM,,Ottawa Senators,3,1,W,,4,5,3,W 1,,30,11,0,3,0,,34,11,0,2,0,"17,113",2:35,
13,11/10/2016,8:00 PM,,St. Louis Blues,3,1,W,,5,5,3,W 2,,28,4,0,5,0,,24,8,0,2,0,"17,259",2:24,
14,11/12/2016,8:00 PM,,Anaheim Ducks,5,0,W,,6,5,3,W 3,,27,22,1,4,1,,27,18,,6,,"17,309",2:37,
15,11/15/2016,7:30 PM,@,Toronto Maple Leafs,2,6,L,,6,6,3,L 1,,34,17,0,1,0,,32,7,0,1,0,"19,342",2:30,
16,11/17/2016,7:30 PM,@,Ottawa Senators,5,1,W,,7,6,3,W 1,,40,18,0,4,0,,31,14,1,6,0,"15,480",2:27,
17,11/19/2016,8:00 PM,@,St. Louis Blues,1,3,L,,7,7,3,L 1,,31,6,1,3,0,,34,4,0,3,0,"18,922",2:29,
18,11/21/2016,8:00 PM,,Tampa Bay Lightning,3,1,W,,8,7,3,W 1,,30,21,1,4,0,,25,22,0,3,0,"17,113",2:37,
19,11/23/2016,8:00 PM,,Dallas Stars,5,2,W,,9,7,3,W 2,,21,4,1,4,0,,35,6,0,2,1,"17,119",2:30,
20,11/25/2016,6:00 PM,,Winnipeg Jets,5,1,W,,10,7,3,W 3,,30,2,3,5,0,,23,11,0,1,0,"17,192",2:30,
21,11/27/2016,1:00 PM,@,Winnipeg Jets,0,3,L,,10,8,3,L 1,,42,8,0,5,0,,24,10,0,4,0,"15,294",2:26,
22,11/29/2016,9:00 PM,@,Colorado Avalanche,5,3,W,,11,8,3,W 1,,33,7,0,2,0,,40,7,0,1,0,"12,082",2:29,
23,12/3/2016,2:00 PM,,New Jersey Devils,4,5,L,OT,11,8,4,L 1,,42,8,0,2,0,,22,6,1,3,0,"17,113",2:54,
24,12/4/2016,6:00 PM,,Philadelphia Flyers,2,4,L,,11,9,4,L 2,,32,8,0,2,0,,28,4,2,5,0,"17,113",2:34,
25,12/6/2016,8:00 PM,,Colorado Avalanche,4,3,W,,12,9,4,W 1,,32,8,1,5,0,,28,10,2,4,0,"17,113",2:40,
26,12/8/2016,8:30 PM,@,Dallas Stars,2,5,L,,12,10,4,L 1,,36,12,0,3,1,,37,10,1,5,0,"17,887",2:40,
27,12/10/2016,8:00 PM,@,Arizona Coyotes,1,4,L,,12,11,4,L 2,,45,11,0,4,0,,34,15,0,2,0,"13,820",2:32,
28,12/13/2016,8:00 PM,,St. Louis Blues,6,3,W,,13,11,4,W 1,,36,4,0,2,0,,26,6,1,1,0,"17,113",2:30,
29,12/15/2016,8:00 PM,,Minnesota Wild,2,5,L,,13,12,4,L 1,,36,4,1,3,0,,19,6,1,2,0,"17,113",2:33,
30,12/17/2016,8:00 PM,,New York Rangers,1,2,L,SO,13,12,5,L 2,,32,4,0,3,0,,27,6,0,2,0,"17,113",2:37,
31,12/19/2016,7:00 PM,@,Philadelphia Flyers,2,1,W,SO,14,12,5,W 1,,31,6,0,2,0,,32,4,0,3,0,"19,660",2:36,
32,12/20/2016,7:00 PM,@,New Jersey Devils,5,1,W,,15,12,5,W 2,,32,4,1,1,1,,28,2,0,2,0,"13,744",2:22,
33,12/22/2016,8:00 PM,,Los Angeles Kings,0,4,L,,15,13,5,L 1,,28,9,0,3,0,,26,11,0,2,0,"17,156",2:20,
34,12/27/2016,8:00 PM,,Minnesota Wild,2,3,L,OT,15,13,6,L 2,,30,8,0,1,0,,39,2,1,4,0,"17,141",2:35,
35,12/29/2016,8:00 PM,,Chicago Blackhawks,2,3,L,,15,14,6,L 3,,38,10,1,4,0,,23,10,2,5,0,"17,229",2:24,
36,12/30/2016,8:00 PM,@,St. Louis Blues,4,0,W,,16,14,6,W 1,,23,8,2,6,0,,25,14,,4,,"19,483",2:25,
37,1/3/2017,8:00 PM,,Montreal Canadiens,1,2,L,OT,16,14,7,L 1,,23,8,0,2,0,,43,6,0,3,0,"17,113",2:40,
38,1/5/2017,7:30 PM,@,Tampa Bay Lightning,6,1,W,,17,14,7,W 1,,19,15,1,3,0,,28,15,1,4,0,"19,092",2:33,
39,1/6/2017,7:30 PM,@,Florida Panthers,1,2,L,,17,15,7,L 1,,29,22,0,5,0,,34,34,0,4,0,"14,003",2:32,
40,1/8/2017,7:00 PM,@,Chicago Blackhawks,2,5,L,,17,16,7,L 2,,27,2,0,3,0,,31,4,0,1,0,"21,658",2:27,
41,1/10/2017,8:00 PM,,Vancouver Canucks,2,1,W,OT,18,16,7,W 1,,26,6,0,2,1,,30,4,0,3,0,"17,113",2:39,
42,1/12/2017,8:00 PM,,Boston Bruins,2,1,W,,19,16,7,W 2,,19,11,0,1,0,,36,10,1,3,0,"17,113",2:32,
43,1/14/2017,3:00 PM,@,Colorado Avalanche,3,2,W,,20,16,7,W 3,,32,13,0,4,0,,30,26,0,3,0,"16,096",2:32,
44,1/17/2017,10:00 PM,@,Vancouver Canucks,0,1,L,,20,17,7,L 1,,30,2,0,1,0,,26,2,0,1,0,"18,312",2:39,
45,1/19/2017,9:00 PM,@,Calgary Flames,4,3,W,,21,17,7,W 1,,21,17,1,4,0,,35,15,1,5,0,"18,904",2:34,
46,1/20/2017,9:00 PM,@,Edmonton Oilers,3,2,W,SO,22,17,7,W 2,,44,20,0,5,0,,32,24,1,4,0,"18,347",3:07,
47,1/22/2017,8:00 PM,@,Minnesota Wild,4,2,W,,23,17,7,W 3,,32,4,0,2,0,,23,6,0,1,0,"19,087",2:24,
48,1/24/2017,8:00 PM,,Buffalo Sabres,4,5,L,OT,23,17,8,L 1,,39,9,1,3,1,,37,11,0,2,0,"17,113",2:49,
49,1/26/2017,8:00 PM,,Columbus Blue Jackets,4,3,W,,24,17,8,W 1,,32,6,1,3,0,,33,8,0,2,0,"17,113",2:43,
50,1/31/2017,7:00 PM,@,Pittsburgh Penguins,2,4,L,,24,18,8,L 1,,39,8,1,2,0,,38,4,1,3,0,"18,455",2:36,
51,2/2/2017,8:00 PM,,Edmonton Oilers,2,0,W,,25,18,8,W 1,,27,11,0,3,0,,31,9,,3,,"17,113",2:38,
52,2/4/2017,8:00 PM,,Detroit Red Wings,0,1,L,,25,19,8,L 1,,42,14,0,3,0,,19,6,0,5,0,"17,204",2:30,
53,2/7/2017,8:00 PM,,Vancouver Canucks,4,2,W,,26,19,8,W 1,,33,6,1,3,0,,33,16,1,3,0,"17,113",2:42,
54,2/9/2017,7:00 PM,@,New York Rangers,3,4,L,,26,20,8,L 1,,37,2,2,3,0,,30,6,0,1,0,"18,006",2:30,
55,2/11/2017,2:00 PM,,Florida Panthers,4,7,L,,26,21,8,L 2,,30,26,1,4,1,,37,22,2,6,0,"17,113",2:51,
56,2/12/2017,6:00 PM,,Dallas Stars,5,3,W,,27,21,8,W 1,,36,33,1,5,1,,21,23,3,9,0,"17,113",2:33,
57,2/18/2017,8:00 PM,@,Minnesota Wild,2,5,L,,27,22,8,L 1,,39,23,0,2,0,,33,21,1,4,0,"19,292",2:46,
58,2/19/2017,6:00 PM,@,Columbus Blue Jackets,4,3,W,,28,22,8,W 1,,32,4,0,0,0,,38,0,0,1,0,"17,894",2:35,
59,2/21/2017,8:00 PM,,Calgary Flames,5,6,L,OT,28,22,9,L 1,,28,11,1,3,0,,30,13,0,2,0,"17,113",2:51,
60,2/23/2017,8:00 PM,,Colorado Avalanche,4,2,W,,29,22,9,W 1,,29,0,0,2,0,,22,4,0,0,0,"17,243",2:32,
61,2/25/2017,5:00 PM,,Washington Capitals,5,2,W,,30,22,9,W 2,,26,11,2,4,0,,26,17,0,1,0,"17,150",2:37,
62,2/26/2017,5:00 PM,,Edmonton Oilers,5,4,W,,31,22,9,W 3,,28,6,3,5,0,,32,8,2,4,0,"17,113",2:46,
63,2/28/2017,7:00 PM,@,Buffalo Sabres,5,4,W,OT,32,22,9,W 4,,41,6,1,4,0,,32,10,0,2,0,"18,634",2:37,
64,3/2/2017,7:30 PM,@,Montreal Canadiens,1,2,L,,32,23,9,L 1,,25,6,1,2,0,,26,4,0,3,0,"21,288",2:40,
65,3/4/2017,8:00 PM,,Chicago Blackhawks,3,5,L,,32,24,9,L 2,,35,9,0,1,0,,33,7,2,2,0,"17,297",2:24,
66,3/7/2017,10:00 PM,@,Anaheim Ducks,3,4,L,SO,32,24,10,L 3,,27,16,1,5,1,,42,20,1,3,0,"14,622",2:55,
67,3/9/2017,10:30 PM,@,Los Angeles Kings,2,3,L,OT,32,24,11,L 4,,23,11,0,2,0,,34,11,3,3,0,"18,230",2:48,
68,3/11/2017,4:00 PM,@,San Jose Sharks,3,1,W,,33,24,11,W 1,,25,13,0,2,1,,26,9,0,4,0,"17,497",2:24,
69,3/13/2017,8:00 PM,,Winnipeg Jets,5,4,W,OT,34,24,11,W 2,,42,7,1,3,0,,34,11,1,1,0,"17,355",2:42,
70,3/16/2017,7:00 PM,@,Washington Capitals,2,1,W,OT,35,24,11,W 3,,24,9,0,1,0,,23,9,0,1,0,"18,506",2:24,
71,3/18/2017,7:00 PM,@,Carolina Hurricanes,2,4,L,,35,25,11,L 1,,29,6,0,2,0,,37,4,0,3,1,"10,707",2:29,
72,3/20/2017,8:00 PM,,Arizona Coyotes,3,1,W,,36,25,11,W 1,,31,9,0,1,0,,26,7,1,2,0,"17,113",2:29,
73,3/23/2017,8:00 PM,,Calgary Flames,3,1,W,,37,25,11,W 2,,17,10,0,2,0,,25,4,0,5,0,"17,324",2:27,
74,3/25/2017,8:00 PM,,San Jose Sharks,7,2,W,,38,25,11,W 3,,34,17,2,4,1,,28,23,1,4,0,"17,282",2:39,
75,3/27/2017,7:00 PM,@,New York Islanders,3,1,W,,39,25,11,W 4,,31,6,0,3,0,,25,8,0,2,0,"11,671",2:35,
76,3/28/2017,7:00 PM,@,Boston Bruins,1,4,L,,39,26,11,L 1,,25,45,0,3,0,,31,21,0,3,0,"17,565",3:05,
77,3/30/2017,8:00 PM,,Toronto Maple Leafs,1,3,L,,39,27,11,L 2,,30,6,0,5,0,,17,10,2,3,0,"17,214",2:32,
78,4/1/2017,2:00 PM,,Minnesota Wild,3,0,W,,40,27,11,W 1,,36,2,0,2,0,,31,4,,1,,"17,113",2:41,
79,4/2/2017,4:00 PM,@,St. Louis Blues,1,4,L,,40,28,11,L 1,,36,8,1,6,0,,25,10,0,4,0,"19,262",2:38,
80,4/4/2017,8:00 PM,,New York Islanders,1,2,L,OT,40,28,12,L 2,,23,4,0,1,0,,32,2,0,2,0,"17,113",2:25,
81,4/6/2017,8:30 PM,@,Dallas Stars,7,3,W,,41,28,12,W 1,,34,4,1,4,0,,33,10,0,1,0,"17,543",2:27,
82,4/8/2017,7:00 PM,@,Winnipeg Jets,1,2,L,,41,29,12,L 1,,34,4,0,6,1,,36,12,0,2,1,"15,294",2:33,
