,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:30 PM,@,Florida Panthers,1,2,L,OT,0,0,1,L 1,,24,16,0,2,0,,34,14,0,3,0,"17,128",2:36,
2,10/15/2016,7:00 PM,@,Tampa Bay Lightning,2,3,L,,0,1,1,L 2,,34,8,0,3,0,,34,10,0,3,0,"19,092",2:36,
3,10/18/2016,7:00 PM,,Anaheim Ducks,2,1,W,,1,1,1,W 1,,28,13,2,7,0,,24,19,1,4,0,"16,514",2:37,
4,10/20/2016,7:00 PM,@,Boston Bruins,1,2,L,,1,2,1,L 1,,29,8,1,3,0,,36,6,0,4,0,"17,565",2:37,
5,10/22/2016,7:00 PM,,Minnesota Wild,2,1,W,OT,2,2,1,W 1,,32,6,0,3,0,,29,6,0,3,0,"16,514",2:36,
6,10/25/2016,7:00 PM,,Arizona Coyotes,5,3,W,,3,2,1,W 2,,35,6,2,3,0,,31,6,1,3,0,"12,756",2:30,
7,10/28/2016,7:30 PM,,Chicago Blackhawks,2,3,L,OT,3,2,2,L 1,,32,10,1,4,0,,29,8,2,5,0,"13,882",2:30,
8,10/29/2016,7:00 PM,,Tampa Bay Lightning,3,1,W,,4,2,2,W 1,,23,13,0,1,0,,33,5,0,4,0,"13,098",2:30,
9,11/3/2016,7:30 PM,@,Florida Panthers,3,4,L,OT,4,2,3,L 1,,34,8,1,4,0,,31,10,2,3,0,"11,597",2:37,
10,11/5/2016,7:00 PM,@,Tampa Bay Lightning,1,4,L,,4,3,3,L 2,,38,10,0,4,0,,35,10,1,4,0,"19,092",2:37,
11,11/6/2016,6:00 PM,@,Carolina Hurricanes,4,1,W,,5,3,3,W 1,,21,8,0,2,1,,34,6,0,4,0,"8,650",2:23,
12,11/8/2016,7:00 PM,,Carolina Hurricanes,3,2,W,SO,6,3,3,W 2,,41,2,0,3,0,,33,6,1,1,0,"12,179",2:50,
13,11/11/2016,7:00 PM,@,Buffalo Sabres,2,1,W,OT,7,3,3,W 3,,43,4,0,6,0,,26,12,1,2,0,"18,301",2:41,
14,11/12/2016,7:00 PM,,Buffalo Sabres,4,2,W,,8,3,3,W 4,,27,6,0,5,0,,23,12,0,1,0,"16,514",2:34,
15,11/15/2016,8:30 PM,@,Dallas Stars,2,1,W,OT,9,3,3,W 5,,33,4,0,1,0,,24,2,0,2,0,"18,039",2:24,
16,11/17/2016,10:00 PM,@,Anaheim Ducks,2,3,L,,9,4,3,L 1,,29,4,0,3,0,,23,6,0,2,0,"14,954",2:46,
17,11/19/2016,4:00 PM,@,Los Angeles Kings,2,4,L,,9,5,3,L 2,,23,2,0,2,0,,28,4,0,1,0,"18,230",2:25,
18,11/21/2016,10:30 PM,@,San Jose Sharks,0,4,L,,9,6,3,L 3,,26,10,0,3,0,,41,6,1,5,1,"17,286",2:11,
19,11/23/2016,7:00 PM,,Toronto Maple Leafs,5,4,W,SO,10,6,3,W 1,,30,8,1,3,0,,31,8,1,3,0,"13,752",2:47,
20,11/25/2016,7:30 PM,,Detroit Red Wings,4,5,L,OT,10,6,4,L 1,,19,6,1,5,0,,33,10,0,3,1,"15,612",2:38,
21,11/26/2016,7:00 PM,@,Pittsburgh Penguins,3,4,L,SO,10,6,5,L 2,,30,12,1,2,1,,49,6,0,5,0,"18,615",2:56,
22,11/29/2016,8:00 PM,@,Winnipeg Jets,2,3,L,,10,7,5,L 3,,25,10,0,4,0,,29,8,0,5,0,"15,294",2:30,
23,12/1/2016,8:30 PM,@,Chicago Blackhawks,3,4,L,OT,10,7,6,L 4,,33,8,1,2,0,,33,4,0,4,0,"21,351",2:33,
24,12/3/2016,2:00 PM,@,Nashville Predators,5,4,W,OT,11,7,6,W 1,,22,6,1,3,0,,42,8,0,2,0,"17,113",2:54,
25,12/6/2016,7:00 PM,,Vancouver Canucks,3,2,W,,12,7,6,W 2,,22,26,1,2,0,,24,16,1,3,0,"13,126",2:34,
26,12/8/2016,7:30 PM,@,Montreal Canadiens,2,5,L,,12,8,6,L 1,,21,6,1,3,0,,49,8,0,2,0,"21,288",2:53,
27,12/9/2016,7:30 PM,,St. Louis Blues,1,4,L,,12,9,6,L 2,,21,6,0,3,0,,32,6,1,3,0,"16,514",2:22,
28,12/11/2016,7:00 PM,@,New York Rangers,0,5,L,,12,10,6,L 3,,19,17,0,5,0,,31,15,2,6,1,"18,006",2:37,
29,12/15/2016,8:00 PM,@,St. Louis Blues,2,5,L,,12,11,6,L 4,,26,10,0,2,1,,31,6,1,4,0,"18,347",2:26,
30,12/17/2016,7:00 PM,@,Ottawa Senators,1,3,L,,12,12,6,L 5,,30,9,0,1,0,,31,9,0,1,0,"15,111",2:28,
31,12/18/2016,7:30 PM,@,New York Rangers,2,3,L,SO,12,12,7,L 6,,31,4,1,4,0,,27,8,0,2,0,"18,006",2:43,
32,12/20/2016,7:00 PM,,Nashville Predators,1,5,L,,12,13,7,L 7,,28,2,0,2,0,,32,4,1,1,1,"13,744",2:22,
33,12/22/2016,7:00 PM,,Philadelphia Flyers,4,0,W,,13,13,7,W 1,,22,30,2,6,0,,16,50,,2,,"16,514",2:42,
34,12/23/2016,7:00 PM,@,Pittsburgh Penguins,1,4,L,,13,14,7,L 1,,24,9,0,2,0,,39,9,1,2,0,"18,625",2:33,
35,12/27/2016,7:00 PM,,Pittsburgh Penguins,2,5,L,,13,15,7,L 2,,23,8,1,7,0,,29,16,1,3,0,"16,514",2:37,
36,12/29/2016,7:00 PM,@,Washington Capitals,2,1,W,SO,14,15,7,W 1,,27,8,0,4,0,,44,8,0,4,1,"18,506",2:42,
