,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/12/2016,7:00 PM,,Toronto Maple Leafs,5,4,W,OT,1,0,0,W 1,,30,13,0,2,0,,38,11,0,4,0,"17,618",2:36,
2,10/15/2016,7:00 PM,,Montreal Canadiens,4,3,W,SO,2,0,0,W 2,,38,10,0,4,0,,24,10,1,4,0,"18,195",2:44,
3,10/17/2016,7:30 PM,@,Detroit Red Wings,1,5,L,,2,1,0,L 1,,32,22,0,3,1,,25,20,2,4,0,"20,027",2:33,
4,10/18/2016,7:30 PM,,Arizona Coyotes,7,4,W,,3,1,0,W 1,,42,14,1,2,1,,35,6,1,5,0,"11,061",2:43,
5,10/22/2016,7:00 PM,,Tampa Bay Lightning,1,4,L,,3,2,0,L 1,,28,8,0,3,0,,35,6,2,4,0,"15,918",2:30,
6,10/25/2016,10:00 PM,@,Vancouver Canucks,3,0,W,,4,2,0,W 1,,28,2,0,1,0,,22,2,,1,,"18,471",2:24,
7,10/28/2016,9:00 PM,@,Calgary Flames,2,5,L,,4,3,0,L 1,,33,4,2,4,0,,19,8,0,2,0,"18,132",2:36,
8,10/30/2016,9:00 PM,@,Edmonton Oilers,2,0,W,,5,3,0,W 1,,22,11,0,2,0,,37,9,,4,,"18,347",2:29,
9,11/1/2016,7:30 PM,,Carolina Hurricanes,2,1,W,OT,6,3,0,W 2,,32,13,0,2,0,,33,11,0,3,0,"13,049",2:40,
10,11/3/2016,7:30 PM,,Vancouver Canucks,1,0,W,,7,3,0,W 3,,24,20,0,4,0,,27,22,,2,,"13,260",2:34,
11,11/5/2016,7:00 PM,,Buffalo Sabres,1,2,L,,7,4,0,L 1,,33,2,1,4,0,,32,6,0,1,0,"16,225",2:23,
12,11/8/2016,8:00 PM,@,Nashville Predators,1,3,L,,7,5,0,L 2,,34,11,0,2,0,,30,11,0,3,0,"17,113",2:35,
13,11/9/2016,7:30 PM,@,Buffalo Sabres,2,1,W,SO,8,5,0,W 1,,29,4,0,3,0,,32,4,0,2,0,"17,884",2:42,
14,11/11/2016,7:30 PM,,Los Angeles Kings,2,1,W,,9,5,0,W 2,,33,4,0,3,0,,33,4,0,2,0,"15,622",2:32,
15,11/13/2016,5:00 PM,,Minnesota Wild,1,2,L,OT,9,5,1,L 1,,36,6,0,4,0,,42,8,0,3,1,"14,265",2:35,
16,11/15/2016,7:00 PM,@,Philadelphia Flyers,3,2,W,SO,10,5,1,W 1,,26,6,0,2,0,,35,4,0,4,0,"19,358",2:49,
17,11/17/2016,7:30 PM,,Nashville Predators,1,5,L,,10,6,1,L 1,,31,14,1,6,0,,40,18,0,4,0,"15,480",2:27,
18,11/19/2016,7:00 PM,,Florida Panthers,1,4,L,,10,7,1,L 2,,40,0,0,2,0,,23,4,0,0,0,"14,132",2:25,
19,11/22/2016,7:30 PM,@,Montreal Canadiens,4,3,W,,11,7,1,W 1,,23,23,1,4,0,,39,17,2,8,0,"21,288",2:45,
20,11/24/2016,7:30 PM,,Boston Bruins,3,1,W,,12,7,1,W 2,,26,4,0,2,0,,20,6,1,1,0,"17,191",2:29,
21,11/26/2016,7:00 PM,,Carolina Hurricanes,2,1,W,,13,7,1,W 3,,24,2,0,1,0,,33,2,0,1,0,"18,042",2:26,
22,11/27/2016,7:00 PM,@,New York Rangers,2,0,W,,14,7,1,W 4,,20,8,1,2,0,,33,6,,4,,"18,006",2:27,
23,11/29/2016,7:30 PM,,Buffalo Sabres,4,5,L,,14,8,1,L 1,,35,15,2,4,0,,28,13,3,5,0,"14,259",2:36,
24,12/1/2016,7:30 PM,,Philadelphia Flyers,2,3,L,OT,14,8,2,L 2,,21,12,1,2,0,,32,8,0,4,0,"14,334",2:39,
25,12/3/2016,7:00 PM,,Florida Panthers,2,0,W,,15,8,2,W 1,,21,8,0,7,0,,24,14,,4,,"15,149",2:30,
26,12/5/2016,7:00 PM,@,Pittsburgh Penguins,5,8,L,,15,9,2,L 1,,34,10,3,5,0,,46,10,0,4,1,"18,414",2:45,
27,12/7/2016,10:30 PM,@,San Jose Sharks,4,2,W,,16,9,2,W 1,,17,12,1,4,0,,37,6,1,6,0,"17,349",2:33,
28,12/10/2016,4:00 PM,@,Los Angeles Kings,1,4,L,,16,10,2,L 1,,20,17,0,4,0,,19,18,3,4,0,"18,230",2:30,
29,12/11/2016,4:00 PM,@,Anaheim Ducks,1,5,L,,16,11,2,L 2,,22,10,1,4,0,,32,10,3,4,0,"15,714",2:33,
30,12/14/2016,7:00 PM,,San Jose Sharks,3,4,L,SO,16,11,3,L 3,,31,40,1,6,0,,29,29,0,7,0,"17,273",2:50,
31,12/17/2016,7:00 PM,,New Jersey Devils,3,1,W,,17,11,3,W 1,,31,9,0,1,0,,30,9,0,1,0,"15,111",2:28,
32,12/18/2016,7:00 PM,@,New York Islanders,6,2,W,,18,11,3,W 2,,34,8,1,2,1,,31,4,0,4,0,"13,102",2:31,
33,12/20/2016,8:30 PM,@,Chicago Blackhawks,4,3,W,,19,11,3,W 3,,30,6,1,5,0,,26,10,1,3,0,"21,614",2:32,
34,12/22/2016,7:30 PM,,Anaheim Ducks,2,1,W,OT,20,11,3,W 4,,18,15,1,2,0,,25,11,1,4,0,"17,125",2:36,
35,12/27/2016,7:00 PM,@,New York Rangers,3,4,L,,20,12,3,L 1,,36,19,0,4,0,,25,17,1,4,0,"18,006",2:40,
36,12/29/2016,8:00 PM,,Detroit Red Wings,2,3,L,OT,20,12,4,L 2,,28,10,0,3,0,,28,6,0,5,0,"20,011",2:28,
37,1/1/2017,7:30 PM,@,Washington Capitals,1,2,L,,20,13,4,L 3,,24,4,0,4,0,,28,8,0,2,0,"18,506",2:29,
38,1/7/2017,7:00 PM,,Washington Capitals,0,1,L,,20,14,4,L 4,,30,4,0,3,0,,20,6,0,2,0,"18,685",2:27,
39,1/8/2017,7:00 PM,,Edmonton Oilers,5,3,W,,21,14,4,W 1,,18,9,1,1,0,,38,9,0,1,0,"17,724",2:26,
40,1/12/2017,7:30 PM,,Pittsburgh Penguins,4,1,W,,22,14,4,W 2,,33,4,2,5,0,,30,10,0,3,0,"17,769",2:31,
41,1/14/2017,7:00 PM,,Toronto Maple Leafs,2,4,L,,22,15,4,L 1,,37,4,0,1,0,,27,4,1,1,0,"19,782",2:37,
42,1/17/2017,8:00 PM,@,St. Louis Blues,6,4,W,,23,15,4,W 1,,24,11,1,2,0,,23,11,1,2,0,"18,922",2:37,
43,1/19/2017,7:00 PM,@,Columbus Blue Jackets,2,0,W,,24,15,4,W 2,,28,10,0,4,0,,42,22,,3,,"15,823",2:33,
44,1/21/2017,7:00 PM,@,Toronto Maple Leafs,3,2,W,SO,25,15,4,W 3,,27,8,1,4,0,,33,8,1,4,0,"19,544",2:55,
45,1/22/2017,5:00 PM,,Columbus Blue Jackets,6,7,L,OT,25,15,5,L 1,,34,10,1,3,0,,29,8,2,4,0,"16,702",2:40,
46,1/24/2017,7:30 PM,,Washington Capitals,3,0,W,,26,15,5,W 1,,34,14,1,4,1,,31,10,,6,,"16,683",2:30,
47,1/26/2017,7:30 PM,,Calgary Flames,2,3,L,OT,26,15,6,L 1,,27,4,0,4,0,,26,6,0,2,0,"16,263",2:36,
48,1/31/2017,7:30 PM,@,Florida Panthers,5,6,L,,26,16,6,L 2,,41,12,0,4,0,,34,14,0,3,0,"11,933",2:38,
49,2/2/2017,7:30 PM,@,Tampa Bay Lightning,5,2,W,,27,16,6,W 1,,30,6,2,5,0,,21,10,0,3,0,"19,092",2:30,
50,2/4/2017,7:00 PM,@,Buffalo Sabres,0,4,L,,27,17,6,L 1,,37,17,0,2,0,,26,21,0,0,0,"19,070",2:25,
51,2/7/2017,7:30 PM,,St. Louis Blues,0,6,L,,27,18,6,L 2,,30,8,0,2,0,,30,6,1,3,0,"16,787",2:28,
52,2/9/2017,7:30 PM,,Dallas Stars,3,2,W,,28,18,6,W 1,,26,17,0,3,1,,33,11,0,6,0,"17,676",2:36,
53,2/11/2017,1:00 PM,,New York Islanders,3,0,W,,29,18,6,W 2,,24,4,0,3,0,,33,6,,2,,"18,211",2:25,
54,2/14/2017,7:30 PM,,Buffalo Sabres,2,3,L,,29,19,6,L 1,,41,6,0,2,0,,25,6,0,2,0,"16,832",2:28,
55,2/16/2017,7:00 PM,@,New Jersey Devils,3,0,W,,30,19,6,W 1,,35,2,1,2,0,,21,4,,1,,"13,908",2:26,
56,2/18/2017,7:00 PM,@,Toronto Maple Leafs,6,3,W,,31,19,6,W 2,,42,10,1,4,0,,37,10,1,4,0,"19,527",2:37,
57,2/19/2017,5:00 PM,,Winnipeg Jets,2,3,L,,31,20,6,L 1,,34,2,1,4,0,,20,8,0,1,0,"19,288",2:32,
58,2/21/2017,7:00 PM,@,New Jersey Devils,2,1,W,,32,20,6,W 1,,23,7,1,2,0,,30,7,1,1,0,"12,343",2:16,
59,2/24/2017,7:30 PM,@,Carolina Hurricanes,0,3,L,,32,21,6,L 1,,34,4,0,2,0,,44,4,0,2,0,"11,327",2:31,
60,2/26/2017,7:30 PM,@,Florida Panthers,2,1,W,,33,21,6,W 1,,33,29,0,2,1,,38,33,1,5,0,"14,118",2:38,
61,2/27/2017,7:30 PM,@,Tampa Bay Lightning,1,5,L,,33,22,6,L 1,,40,34,1,5,0,,34,38,3,3,0,"19,092",2:45,
62,3/2/2017,7:30 PM,,Colorado Avalanche,2,1,W,,34,22,6,W 1,,42,4,0,4,0,,23,8,0,2,0,"16,932",2:17,
63,3/4/2017,7:00 PM,,Columbus Blue Jackets,3,2,W,,35,22,6,W 2,,27,27,0,1,1,,27,11,1,4,0,"17,516",2:29,
64,3/6/2017,7:30 PM,,Boston Bruins,4,2,W,,36,22,6,W 3,,29,4,1,2,0,,27,6,1,1,0,"17,046",2:28,
65,3/8/2017,8:00 PM,@,Dallas Stars,5,2,W,,37,22,6,W 4,,23,12,2,3,0,,37,10,1,4,0,"17,689",2:34,
66,3/9/2017,9:00 PM,@,Arizona Coyotes,3,2,W,OT,38,22,6,W 5,,31,8,0,3,0,,41,6,0,4,0,"10,611",2:31,
67,3/11/2017,7:00 PM,@,Colorado Avalanche,4,2,W,,39,22,6,W 6,,31,15,1,4,0,,16,13,1,5,0,"15,317",2:27,
68,3/14/2017,7:30 PM,,Tampa Bay Lightning,1,2,L,OT,39,22,7,L 1,,32,2,0,2,0,,37,2,0,1,0,"16,894",2:30,
