,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/14/2016,10:30 PM,@,Los Angeles Kings,4,2,W,,1,0,0,W 1,,30,6,0,2,0,,25,6,0,2,0,"18,453",2:31,
2,10/15/2016,9:00 PM,@,Arizona Coyotes,3,4,L,OT,1,0,1,L 1,,30,30,0,4,0,,35,6,1,6,1,"17,125",2:39,
3,10/18/2016,8:30 PM,@,Chicago Blackhawks,4,7,L,,1,1,1,L 2,,27,6,2,4,0,,28,8,2,3,0,"21,263",2:26,
4,10/20/2016,7:00 PM,,Anaheim Ducks,2,3,L,,1,2,1,L 3,,22,6,1,7,0,,26,16,0,2,0,"19,982",2:23,
5,10/22/2016,7:00 PM,,Carolina Hurricanes,6,3,W,,2,2,1,W 1,,27,12,1,4,0,,30,10,1,5,0,"19,668",2:36,
6,10/24/2016,7:30 PM,@,Montreal Canadiens,1,3,L,,2,3,1,L 1,,32,8,0,1,0,,33,2,1,4,0,"21,288",2:27,
7,10/25/2016,7:30 PM,,Buffalo Sabres,4,3,W,SO,3,3,1,W 1,,41,8,3,4,0,,25,8,2,4,0,"19,209",2:50,
8,10/27/2016,7:00 PM,,Arizona Coyotes,4,5,L,,3,4,1,L 1,,32,11,2,8,0,,25,31,0,3,1,"19,432",2:39,
9,10/29/2016,7:00 PM,,Pittsburgh Penguins,4,5,L,,3,5,1,L 2,,42,6,1,3,0,,27,8,1,2,0,"19,927",2:41,
10,10/30/2016,5:00 PM,@,Carolina Hurricanes,4,3,W,,4,5,1,W 1,,28,4,1,3,1,,29,4,0,2,0,"10,353",2:28,
11,11/2/2016,8:00 PM,,Detroit Red Wings,4,3,W,OT,5,5,1,W 2,,40,9,0,1,0,,25,9,0,1,0,"19,309",2:32,
12,11/3/2016,7:00 PM,@,New York Islanders,3,2,W,SO,6,5,1,W 3,,42,8,1,5,0,,27,12,1,3,0,"11,119",2:50,
13,11/5/2016,7:00 PM,@,Montreal Canadiens,4,5,L,,6,6,1,L 1,,38,6,2,5,0,,17,8,0,3,1,"21,288",2:32,
14,11/8/2016,7:00 PM,,Detroit Red Wings,2,3,L,SO,6,6,2,L 2,,25,11,1,2,0,,35,9,0,3,0,"19,598",2:35,
15,11/11/2016,7:00 PM,@,Toronto Maple Leafs,3,6,L,,6,7,2,L 3,,33,10,1,2,1,,23,4,2,5,1,"19,189",2:25,
16,11/12/2016,7:00 PM,,Minnesota Wild,3,2,W,,7,7,2,W 1,,36,4,1,3,0,,27,6,0,2,0,"19,591",2:30,
17,11/15/2016,7:00 PM,,Ottawa Senators,2,3,L,SO,7,7,3,L 1,,35,4,0,4,0,,26,6,0,2,0,"19,358",2:49,
18,11/17/2016,7:00 PM,,Winnipeg Jets,5,2,W,,8,7,3,W 1,,22,2,0,1,0,,32,2,0,1,0,"19,432",2:26,
19,11/19/2016,1:00 PM,,Tampa Bay Lightning,0,3,L,,8,8,3,L 1,,32,11,0,5,0,,18,17,1,2,0,"19,732",2:25,
20,11/22/2016,7:30 PM,@,Florida Panthers,3,1,W,,9,8,3,W 1,,28,10,2,2,0,,39,6,0,4,0,"15,515",2:28,
21,11/23/2016,7:30 PM,@,Tampa Bay Lightning,2,4,L,,9,9,3,L 1,,31,12,0,4,0,,29,8,1,7,0,"19,092",2:41,
22,11/25/2016,1:00 PM,,New York Rangers,2,3,L,,9,10,3,L 2,,42,26,0,0,0,,23,12,0,2,0,"19,981",2:33,
23,11/27/2016,7:30 PM,,Calgary Flames,5,3,W,,10,10,3,W 1,,43,14,1,6,0,,32,34,1,1,2,"19,408",2:38,
24,11/29/2016,7:30 PM,,Boston Bruins,3,2,W,SO,11,10,3,W 2,,21,12,1,5,0,,47,14,0,4,0,"19,558",2:57,
25,12/1/2016,7:30 PM,@,Ottawa Senators,3,2,W,OT,12,10,3,W 3,,32,8,0,4,0,,21,12,1,2,0,"14,334",2:39,
26,12/3/2016,1:00 PM,,Chicago Blackhawks,3,1,W,,13,10,3,W 4,,30,0,0,3,0,,27,4,0,1,0,"19,487",2:27,
27,12/4/2016,6:00 PM,@,Nashville Predators,4,2,W,,14,10,3,W 5,,28,4,2,5,0,,32,8,0,2,0,"17,113",2:34,
28,12/6/2016,7:00 PM,,Florida Panthers,3,2,W,OT,15,10,3,W 6,,25,6,1,4,0,,44,10,0,2,0,"18,999",2:41,
29,12/8/2016,7:00 PM,,Edmonton Oilers,6,5,W,,16,10,3,W 7,,31,8,1,5,0,,33,10,2,4,1,"19,346",2:35,
30,12/10/2016,1:00 PM,,Dallas Stars,4,2,W,,17,10,3,W 8,,22,28,3,6,0,,23,32,0,4,0,"19,594",2:44,
31,12/11/2016,5:00 PM,@,Detroit Red Wings,1,0,W,OT,18,10,3,W 9,,36,15,0,4,0,,28,23,,5,,"20,027",2:41,
32,12/14/2016,10:00 PM,@,Colorado Avalanche,4,3,W,,19,10,3,W 10,,25,11,0,3,0,,29,11,0,3,0,"14,456",2:33,
33,12/17/2016,2:00 PM,@,Dallas Stars,1,3,L,,19,11,3,L 1,,32,5,0,1,0,,28,7,0,1,0,"18,243",2:22,
34,12/19/2016,7:00 PM,,Nashville Predators,1,2,L,SO,19,11,4,L 2,,32,4,0,3,0,,31,6,0,2,0,"19,660",2:36,
35,12/21/2016,8:00 PM,,Washington Capitals,3,2,W,SO,20,11,4,W 1,,38,4,0,2,0,,38,6,0,1,0,"20,011",2:41,
36,12/22/2016,7:00 PM,@,New Jersey Devils,0,4,L,,20,12,4,L 1,,16,50,0,2,0,,22,30,2,6,0,"16,514",2:42,
37,12/28/2016,8:00 PM,@,St. Louis Blues,3,6,L,,20,13,4,L 2,,20,10,1,4,0,,25,10,2,4,0,"19,409",2:50,
38,12/30/2016,10:00 PM,@,San Jose Sharks,0,2,L,,20,14,4,L 3,,21,6,0,2,0,,34,4,1,3,0,"17,562",2:30,
39,1/1/2017,8:00 PM,@,Anaheim Ducks,3,4,L,SO,20,14,5,L 4,,55,13,1,5,0,,25,19,0,2,0,"17,174",2:51,
