,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,8:00 PM,,Washington Capitals,3,2,W,SO,1,0,0,W 1,,30,11,1,2,0,,41,7,0,3,0,"18,630",2:50,
2,10/15/2016,7:00 PM,,Anaheim Ducks,3,2,W,,2,0,0,W 2,,45,6,1,3,0,,36,6,1,3,0,"18,452",2:38,
3,10/17/2016,7:00 PM,,Colorado Avalanche,3,4,L,OT,2,0,1,L 1,,31,14,2,5,0,,31,12,2,6,0,"18,431",2:41,
4,10/18/2016,7:30 PM,@,Montreal Canadiens,0,4,L,,2,1,1,L 2,,36,12,0,8,0,,32,16,1,6,0,"21,288",2:47,
5,10/20/2016,7:00 PM,,San Jose Sharks,3,2,W,,3,1,1,W 1,,20,6,1,5,0,,34,20,0,3,0,"18,511",2:31,
6,10/22/2016,8:00 PM,@,Nashville Predators,1,5,L,,3,2,1,L 1,,35,8,0,2,0,,30,4,1,4,0,"17,113",2:31,
7,10/25/2016,7:00 PM,,Florida Panthers,3,2,W,,4,2,1,W 1,,22,8,1,2,0,,22,4,1,4,0,"18,434",2:20,
8,10/27/2016,7:00 PM,,New York Islanders,4,2,W,,5,2,1,W 2,,35,12,2,5,0,,37,10,1,6,0,"18,422",2:35,
9,10/29/2016,7:00 PM,@,Philadelphia Flyers,5,4,W,,6,2,1,W 3,,27,8,1,2,0,,42,6,1,3,0,"19,927",2:41,
10,11/2/2016,10:30 PM,@,Anaheim Ducks,5,1,W,,7,2,1,W 4,,34,13,1,3,0,,33,13,1,3,0,"15,543",2:33,
11,11/3/2016,10:30 PM,@,Los Angeles Kings,2,3,L,OT,7,2,2,L 1,,23,6,0,3,0,,27,6,0,3,0,"18,230",2:38,
12,11/5/2016,10:30 PM,@,San Jose Sharks,5,0,W,,8,2,2,W 1,,25,15,0,1,1,,32,9,,5,,"17,562",2:29,
13,11/8/2016,7:00 PM,,Edmonton Oilers,4,3,W,,9,2,2,W 2,,31,2,0,3,0,,28,6,0,2,0,"18,576",2:26,
