,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/12/2016,10:30 PM,,Los Angeles Kings,2,1,W,,1,0,0,W 1,,31,4,1,3,0,,22,8,1,1,0,"17,562",2:29,
2,10/15/2016,7:00 PM,@,Columbus Blue Jackets,3,2,W,,2,0,0,W 2,,38,4,1,5,0,,28,10,1,2,0,"16,546",2:24,
3,10/17/2016,7:00 PM,@,New York Rangers,4,7,L,,2,1,0,L 1,,31,8,1,4,0,,29,10,1,3,0,"18,200",2:32,
4,10/18/2016,7:00 PM,@,New York Islanders,3,2,W,,3,1,0,W 1,,27,4,0,1,0,,23,0,0,2,0,"10,772",2:34,
5,10/20/2016,7:00 PM,@,Pittsburgh Penguins,2,3,L,,3,2,0,L 1,,34,20,0,3,0,,20,6,1,5,0,"18,511",2:31,
6,10/22/2016,7:00 PM,@,Detroit Red Wings,0,3,L,,3,3,0,L 2,,30,16,0,4,0,,32,12,0,6,0,"20,027",2:27,
7,10/25/2016,10:00 PM,,Anaheim Ducks,2,1,W,OT,4,3,0,W 1,,36,21,1,5,0,,20,13,0,3,0,"17,562",2:36,
8,10/27/2016,10:30 PM,,Columbus Blue Jackets,3,1,W,,5,3,0,W 2,,29,6,2,2,0,,25,4,0,3,0,"17,229",2:30,
9,10/29/2016,10:30 PM,,Nashville Predators,4,1,W,,6,3,0,W 3,,26,2,1,2,0,,28,4,0,1,0,"17,562",2:28,
10,11/1/2016,10:00 PM,@,Arizona Coyotes,2,3,L,,6,4,0,L 1,,41,9,0,2,0,,30,9,0,2,0,"11,046",2:36,
11,11/3/2016,10:30 PM,,Calgary Flames,2,3,L,,6,5,0,L 2,,28,8,1,5,0,,22,12,0,2,0,"17,562",2:24,
12,11/5/2016,10:30 PM,,Pittsburgh Penguins,0,5,L,,6,6,0,L 3,,32,9,0,5,0,,25,15,0,1,1,"17,562",2:29,
13,11/8/2016,7:00 PM,@,Washington Capitals,3,0,W,,7,6,0,W 1,,23,6,0,2,0,,24,4,,3,,"18,506",2:21,
14,11/10/2016,7:30 PM,@,Florida Panthers,4,2,W,,8,6,0,W 2,,29,2,0,2,0,,24,4,0,1,0,"11,703",2:24,
15,11/12/2016,7:00 PM,@,Tampa Bay Lightning,3,1,W,,9,6,0,W 3,,20,2,1,1,0,,26,2,0,2,0,"19,092",2:35,
16,11/15/2016,7:00 PM,@,Carolina Hurricanes,0,1,L,,9,7,0,L 1,,22,2,0,1,0,,33,2,0,1,0,"8,932",2:18,
17,11/17/2016,8:00 PM,@,St. Louis Blues,2,3,L,,9,8,0,L 2,,31,8,0,6,0,,25,12,1,4,0,"17,618",2:28,
18,11/19/2016,8:00 PM,@,Arizona Coyotes,2,3,L,OT,9,8,1,L 3,,45,13,0,3,0,,26,7,1,4,0,"13,148",2:38,
19,11/21/2016,10:30 PM,,New Jersey Devils,4,0,W,,10,8,1,W 1,,41,6,1,5,1,,26,10,,3,,"17,286",2:11,
