,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/12/2016,8:00 PM,@,Chicago Blackhawks,5,2,W,,1,0,0,W 1,,33,8,3,5,0,,19,10,1,4,0,"21,729",2:29,
2,10/13/2016,8:00 PM,,Minnesota Wild,3,2,W,,2,0,0,W 2,,31,14,0,3,0,,21,20,0,5,0,"19,673",2:29,
3,10/15/2016,8:00 PM,,New York Rangers,3,2,W,,3,0,0,W 3,,18,4,1,5,0,,35,8,0,2,0,"19,197",2:24,
4,10/18/2016,10:00 PM,@,Vancouver Canucks,1,2,L,OT,3,0,1,L 1,,24,8,0,3,0,,26,6,0,4,0,"17,568",2:28,
5,10/20/2016,9:00 PM,@,Edmonton Oilers,1,3,L,,3,1,1,L 2,,35,4,0,3,0,,23,6,0,2,0,"18,347",2:30,
6,10/22/2016,10:00 PM,@,Calgary Flames,6,4,W,,4,1,1,W 1,,40,8,2,4,0,,27,10,0,3,0,"18,076",2:33,
7,10/25/2016,8:00 PM,,Calgary Flames,1,4,L,,4,2,1,L 1,,24,8,1,4,0,,30,12,1,3,0,"17,337",2:25,
8,10/27/2016,8:00 PM,,Detroit Red Wings,1,2,L,SO,4,2,2,L 2,,32,10,0,4,0,,27,8,0,5,1,"19,229",2:47,
9,10/29/2016,8:00 PM,,Los Angeles Kings,1,0,W,,5,2,2,W 1,,25,10,0,4,0,,27,8,,5,,"18,631",2:26,
10,11/1/2016,7:00 PM,@,New York Rangers,0,5,L,,5,3,2,L 1,,35,14,0,2,0,,29,6,2,6,0,"18,006",2:30,
11,11/3/2016,8:30 PM,@,Dallas Stars,2,6,L,,5,4,2,L 2,,30,24,0,3,0,,27,24,1,4,0,"18,532",2:40,
12,11/5/2016,7:00 PM,,Columbus Blue Jackets,2,1,W,OT,6,4,2,W 1,,30,13,0,4,0,,21,15,0,3,0,"18,245",2:35,
13,11/6/2016,5:00 PM,,Colorado Avalanche,5,1,W,,7,4,2,W 2,,28,34,1,4,0,,23,20,0,6,0,"17,220",2:26,
14,11/9/2016,8:00 PM,,Chicago Blackhawks,1,2,L,OT,7,4,3,L 1,,28,15,0,3,0,,30,13,0,5,0,"18,704",2:31,
15,11/10/2016,8:00 PM,@,Nashville Predators,1,3,L,,7,5,3,L 2,,24,8,0,2,0,,28,4,0,5,0,"17,259",2:24,
16,11/12/2016,7:00 PM,@,Columbus Blue Jackets,4,8,L,,7,6,3,L 3,,37,12,4,5,0,,30,18,1,2,0,"15,788",2:34,
17,11/15/2016,8:00 PM,,Buffalo Sabres,4,1,W,,8,6,3,W 1,,31,13,1,1,0,,24,5,1,4,0,"16,884",2:30,
18,11/17/2016,8:00 PM,,San Jose Sharks,3,2,W,,9,6,3,W 2,,25,12,1,4,0,,31,8,0,6,0,"17,618",2:28,
19,11/19/2016,8:00 PM,,Nashville Predators,3,1,W,,10,6,3,W 3,,34,4,0,3,0,,31,6,1,3,0,"18,922",2:29,
20,11/22/2016,7:00 PM,@,Boston Bruins,4,2,W,,11,6,3,W 4,,28,6,0,2,0,,41,4,1,3,1,"17,565",2:32,
21,11/23/2016,7:00 PM,@,Washington Capitals,3,4,L,,11,7,3,L 1,,21,8,1,5,0,,25,10,1,4,0,"18,506",2:33,
22,11/26/2016,8:00 PM,,Minnesota Wild,4,3,W,SO,12,7,3,W 1,,38,2,1,2,0,,31,4,0,2,0,"19,396",2:44,
23,11/28/2016,8:00 PM,,Dallas Stars,4,3,W,OT,13,7,3,W 2,,31,6,1,4,0,,21,8,1,3,0,"17,169",2:37,
24,12/1/2016,8:00 PM,,Tampa Bay Lightning,5,4,W,,14,7,3,W 3,,26,4,3,7,0,,26,12,1,2,0,"17,351",2:32,
25,12/3/2016,7:00 PM,,Winnipeg Jets,2,3,L,OT,14,7,4,L 1,,22,4,0,4,0,,23,10,0,1,1,"19,362",2:25,
