,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,7:30 PM,,Detroit Red Wings,6,4,W,,1,0,0,W 1,,36,20,3,6,0,,32,34,1,2,0,"19,092",2:47,
2,10/15/2016,7:00 PM,,New Jersey Devils,3,2,W,,2,0,0,W 2,,34,10,0,3,0,,34,8,0,3,0,"19,092",2:36,
3,10/18/2016,7:30 PM,,Florida Panthers,4,3,W,SO,3,0,0,W 3,,28,8,0,3,0,,31,8,0,3,1,"19,092",2:50,
4,10/20/2016,7:30 PM,,Colorado Avalanche,0,4,L,,3,1,0,L 1,,27,9,0,3,0,,16,11,0,2,0,"19,092",2:27,
5,10/22/2016,7:00 PM,@,Ottawa Senators,4,1,W,,4,1,0,W 1,,35,6,2,4,0,,28,8,0,3,0,"15,918",2:30,
6,10/25/2016,7:30 PM,@,Toronto Maple Leafs,7,3,W,,5,1,0,W 2,,24,8,2,4,0,,43,6,1,4,0,"19,449",2:42,
7,10/27/2016,7:30 PM,@,Montreal Canadiens,1,3,L,,5,2,0,L 1,,31,11,0,3,0,,26,11,1,3,0,"21,288",2:32,
8,10/29/2016,7:00 PM,@,New Jersey Devils,1,3,L,,5,3,0,L 2,,33,5,0,4,0,,23,13,0,1,0,"13,098",2:30,
9,10/30/2016,7:00 PM,@,New York Rangers,1,6,L,,5,4,0,L 3,,32,10,1,4,0,,37,8,0,5,0,"18,006",2:36,
10,11/1/2016,7:30 PM,@,New York Islanders,6,1,W,,6,4,0,W 1,,36,32,2,7,1,,27,29,0,4,0,"10,822",2:28,
11,11/3/2016,7:30 PM,,Boston Bruins,3,4,L,SO,6,4,1,L 1,,30,8,2,4,0,,31,8,1,4,0,"19,092",3:04,
12,11/5/2016,7:00 PM,,New Jersey Devils,4,1,W,,7,4,1,W 1,,35,10,1,4,0,,38,10,0,4,0,"19,092",2:37,
13,11/7/2016,7:30 PM,@,Florida Panthers,1,3,L,,7,5,1,L 1,,35,8,0,2,0,,32,6,1,3,0,"11,703",2:28,
14,11/10/2016,7:30 PM,,New York Islanders,4,1,W,,8,5,1,W 1,,28,2,2,6,0,,32,12,0,1,0,"19,092",2:22,
15,11/12/2016,7:00 PM,,San Jose Sharks,1,3,L,,8,6,1,L 1,,26,2,0,2,0,,20,2,1,1,0,"19,092",2:35,
16,11/14/2016,7:00 PM,@,New York Islanders,4,0,W,,9,6,1,W 1,,31,13,0,5,0,,34,23,,4,,"12,498",2:26,
17,11/15/2016,7:30 PM,@,Detroit Red Wings,4,3,W,,10,6,1,W 2,,22,25,1,3,0,,28,13,2,4,0,"20,027",2:33,
18,11/17/2016,7:00 PM,@,Buffalo Sabres,4,1,W,,11,6,1,W 3,,38,12,2,3,0,,33,8,1,5,0,"17,870",2:29,
19,11/19/2016,1:00 PM,@,Philadelphia Flyers,3,0,W,,12,6,1,W 4,,18,17,1,2,0,,32,11,,5,,"19,732",2:25,
20,11/21/2016,8:00 PM,@,Nashville Predators,1,3,L,,12,7,1,L 1,,25,22,0,3,0,,30,21,1,4,0,"17,113",2:37,
21,11/23/2016,7:30 PM,,Philadelphia Flyers,4,2,W,,13,7,1,W 1,,29,8,1,7,0,,31,12,0,4,0,"19,092",2:41,
22,11/25/2016,7:30 PM,,Columbus Blue Jackets,3,5,L,,13,8,1,L 1,,28,8,0,1,0,,38,6,1,2,1,"19,092",2:35,
23,11/27/2016,1:00 PM,@,Boston Bruins,1,4,L,,13,9,1,L 2,,31,9,0,2,0,,30,11,1,1,0,"17,565",2:29,
24,11/29/2016,7:00 PM,@,Columbus Blue Jackets,1,5,L,,13,10,1,L 3,,27,2,0,1,0,,38,2,0,1,0,"10,366",2:30,
25,12/1/2016,8:00 PM,@,St. Louis Blues,4,5,L,,13,11,1,L 4,,26,12,1,2,0,,26,4,3,7,0,"17,351",2:32,
26,12/3/2016,7:00 PM,,Washington Capitals,2,1,W,SO,14,11,1,W 1,,33,10,1,3,0,,35,6,1,6,0,"19,092",2:46,
27,12/4/2016,5:00 PM,@,Carolina Hurricanes,0,1,L,OT,14,11,2,L 1,,30,8,0,5,0,,30,10,0,4,0,"11,521",2:24,
28,12/8/2016,7:30 PM,,Vancouver Canucks,1,5,L,,14,12,2,L 2,,41,6,0,3,0,,30,6,0,3,0,"19,092",2:30,
29,12/10/2016,7:00 PM,,Pittsburgh Penguins,3,4,L,,14,13,2,L 3,,23,32,1,4,0,,37,20,3,5,0,"19,092",2:41,
30,12/14/2016,9:30 PM,@,Calgary Flames,6,3,W,,15,13,2,W 1,,35,15,1,5,1,,22,17,2,4,0,"18,164",2:36,
31,12/16/2016,10:00 PM,@,Vancouver Canucks,2,4,L,,15,14,2,L 1,,27,4,1,2,0,,24,4,1,2,0,"18,685",2:25,
32,12/17/2016,10:00 PM,@,Edmonton Oilers,2,3,L,SO,15,14,3,L 2,,33,12,1,4,0,,32,8,2,6,0,"18,347",2:41,
33,12/20/2016,7:30 PM,,Detroit Red Wings,4,1,W,,16,14,3,W 1,,31,17,2,6,0,,27,19,0,5,0,"19,092",2:32,
34,12/22/2016,7:30 PM,,St. Louis Blues,5,2,W,,17,14,3,W 2,,32,4,1,2,0,,23,6,0,1,0,"19,092",2:37,
35,12/23/2016,7:00 PM,@,Washington Capitals,0,4,L,,17,15,3,L 1,,23,4,0,3,0,,27,6,0,2,0,"18,506",2:31,
36,12/28/2016,7:30 PM,,Montreal Canadiens,4,3,W,OT,18,15,3,W 1,,30,2,1,3,0,,22,6,1,2,0,"19,092",2:32,
37,12/29/2016,7:30 PM,,Toronto Maple Leafs,2,3,L,OT,18,15,4,L 1,,27,10,0,5,0,,35,8,1,5,0,"19,092",2:39,
38,12/31/2016,7:00 PM,,Carolina Hurricanes,3,1,W,,19,15,4,W 1,,25,8,2,3,0,,27,4,0,4,0,"19,092",2:26,
39,1/3/2017,7:30 PM,,Winnipeg Jets,4,6,L,,19,16,4,L 1,,36,10,2,7,0,,34,14,1,4,0,"19,092",2:35,
40,1/5/2017,7:30 PM,,Nashville Predators,1,6,L,,19,17,4,L 2,,28,15,1,4,0,,19,15,1,3,0,"19,092",2:33,
41,1/7/2017,1:00 PM,@,Philadelphia Flyers,2,4,L,,19,18,4,L 3,,26,6,0,2,0,,44,6,0,2,0,"19,810",2:28,
42,1/8/2017,5:00 PM,@,Pittsburgh Penguins,2,6,L,,19,19,4,L 4,,30,6,1,4,0,,40,8,1,3,0,"18,633",2:29,
43,1/12/2017,7:30 PM,,Buffalo Sabres,4,2,W,,20,19,4,W 1,,29,18,2,5,0,,26,30,0,4,0,"19,092",2:32,
44,1/13/2017,8:00 PM,,Columbus Blue Jackets,1,3,L,,20,20,4,L 1,,32,11,0,3,0,,31,11,1,4,1,"19,092",2:36,
45,1/16/2017,4:00 PM,@,Los Angeles Kings,2,1,W,,21,20,4,W 1,,29,11,0,2,0,,32,9,0,3,0,"18,230",2:30,
46,1/17/2017,10:00 PM,@,Anaheim Ducks,1,2,L,OT,21,20,5,L 1,,28,8,0,3,0,,21,6,1,5,0,"14,763",2:38,
47,1/19/2017,10:30 PM,@,San Jose Sharks,1,2,L,,21,21,5,L 2,,25,4,1,3,0,,24,8,0,1,0,"17,387",2:21,
48,1/21/2017,8:00 PM,@,Arizona Coyotes,3,5,L,,21,22,5,L 3,,48,6,1,5,0,,23,20,1,3,0,"12,177",2:35,
49,1/24/2017,8:30 PM,@,Chicago Blackhawks,5,2,W,,22,22,5,W 1,,36,16,0,2,0,,36,4,0,3,0,"21,617",2:30,
50,1/26/2017,7:30 PM,@,Florida Panthers,1,2,L,OT,22,22,6,L 1,,32,13,1,4,0,,37,15,1,3,1,"14,248",2:36,
51,1/31/2017,7:30 PM,,Boston Bruins,3,4,L,,22,23,6,L 2,,21,21,0,4,0,,35,13,1,3,0,"19,092",2:41,
52,2/2/2017,7:30 PM,,Ottawa Senators,2,5,L,,22,24,6,L 3,,21,10,0,3,0,,30,6,2,5,0,"19,092",2:30,
53,2/4/2017,7:00 PM,,Anaheim Ducks,3,2,W,SO,23,24,6,W 1,,37,19,1,7,0,,16,21,0,5,0,"19,092",3:01,
54,2/7/2017,7:30 PM,,Los Angeles Kings,5,0,W,,24,24,6,W 2,,21,8,0,2,0,,28,8,,2,,"19,092",2:25,
55,2/10/2017,8:00 PM,@,Minnesota Wild,1,2,L,SO,24,24,7,L 1,,27,13,0,2,0,,38,11,1,3,0,"19,178",2:44,
56,2/11/2017,7:00 PM,@,Winnipeg Jets,4,1,W,,25,24,7,W 1,,30,8,0,2,0,,33,6,0,3,0,"15,294",2:29,
57,2/18/2017,8:00 PM,@,Dallas Stars,3,4,L,OT,25,24,8,L 1,,37,2,2,2,0,,28,4,0,2,0,"18,210",2:32,
58,2/19/2017,8:00 PM,@,Colorado Avalanche,3,2,W,OT,26,24,8,W 1,,40,8,0,2,0,,29,4,0,4,0,"17,270",2:48,
59,2/21/2017,7:30 PM,,Edmonton Oilers,4,1,W,,27,24,8,W 2,,27,4,0,1,0,,21,4,0,1,0,"19,092",2:36,
60,2/23/2017,7:30 PM,,Calgary Flames,2,3,L,,27,25,8,L 1,,25,13,1,3,0,,25,11,1,4,0,"19,092",2:32,
61,2/27/2017,7:30 PM,,Ottawa Senators,5,1,W,,28,25,8,W 1,,34,38,3,3,0,,40,34,1,5,0,"19,092",2:45,
62,3/1/2017,7:00 PM,,Carolina Hurricanes,4,3,W,OT,29,25,8,W 2,,16,4,1,4,0,,31,8,1,2,1,"19,092",2:36,
63,3/3/2017,7:00 PM,@,Pittsburgh Penguins,2,5,L,,29,26,8,L 1,,29,6,1,3,0,,35,6,2,3,0,"18,640",2:24,
64,3/4/2017,7:00 PM,@,Buffalo Sabres,2,1,W,SO,30,26,8,W 1,,32,6,0,2,0,,32,4,1,3,0,"18,935",2:41,
65,3/6/2017,7:30 PM,,New York Rangers,0,1,L,OT,30,26,9,L 1,,38,15,0,6,0,,34,19,0,3,0,"19,092",2:42,
66,3/9/2017,7:30 PM,,Minnesota Wild,4,1,W,,31,26,9,W 1,,29,8,1,3,0,,33,6,0,4,0,"19,092",2:41,
67,3/11/2017,7:00 PM,,Florida Panthers,3,2,W,,32,26,9,W 2,,34,20,1,4,1,,34,42,0,3,0,"19,092",2:45,
68,3/13/2017,7:00 PM,@,New York Rangers,3,2,W,,33,26,9,W 3,,16,2,1,2,0,,28,4,0,1,0,"18,006",2:27,
69,3/14/2017,7:30 PM,@,Ottawa Senators,2,1,W,OT,34,26,9,W 4,,37,2,0,1,0,,32,2,0,2,0,"16,894",2:30,
70,3/16/2017,7:30 PM,,Toronto Maple Leafs,0,5,L,,34,27,9,L 1,,33,10,0,5,0,,21,14,1,3,0,"19,092",2:28,
71,3/18/2017,7:00 PM,,Washington Capitals,3,5,L,,34,28,9,L 2,,29,6,1,1,0,,35,6,1,2,0,"19,092",2:40,
72,3/21/2017,7:30 PM,,Arizona Coyotes,3,5,L,,34,29,9,L 3,,39,8,0,4,0,,35,10,0,2,1,"19,092",2:32,
73,3/23/2017,7:00 PM,@,Boston Bruins,6,3,W,,35,29,9,W 1,,29,12,2,5,0,,31,12,1,4,1,"17,565",2:48,
74,3/24/2017,7:30 PM,@,Detroit Red Wings,2,1,W,OT,36,29,9,W 2,,32,24,0,4,0,,30,32,0,5,0,"20,027",2:41,
75,3/27/2017,7:30 PM,,Chicago Blackhawks,5,4,W,OT,37,29,9,W 3,,30,6,2,3,0,,32,6,0,3,0,"19,092",2:32,
76,3/30/2017,7:30 PM,,Detroit Red Wings,5,3,W,,38,29,9,W 4,,31,16,2,2,0,,34,16,1,2,0,"19,092",2:28,
77,4/1/2017,7:00 PM,,Montreal Canadiens,1,2,L,OT,38,29,10,L 1,,22,4,0,2,0,,36,4,0,2,0,"19,092",2:32,
78,4/2/2017,6:00 PM,,Dallas Stars,6,3,W,,39,29,10,W 1,,25,4,1,2,0,,26,6,0,1,0,"19,092",2:38,
79,4/4/2017,7:00 PM,@,Boston Bruins,0,4,L,,39,30,10,L 1,,28,4,0,1,0,,38,17,1,1,0,"17,565",2:25,
80,4/6/2017,7:30 PM,@,Toronto Maple Leafs,4,1,W,,40,30,10,W 1,,30,13,1,2,0,,27,21,0,3,0,"19,380",2:47,
81,4/7/2017,7:30 PM,@,Montreal Canadiens,4,2,W,,41,30,10,W 2,,22,8,0,2,0,,29,4,0,4,1,"21,288",2:32,
82,4/9/2017,5:00 PM,,Buffalo Sabres,4,2,W,,42,30,10,W 3,,37,2,0,3,1,,28,6,0,1,0,"19,092",2:27,
