,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/12/2016,7:00 PM,@,Ottawa Senators,4,5,L,OT,0,0,1,L 1,,38,11,0,4,0,,30,13,0,2,0,"17,618",2:36,
2,10/15/2016,7:00 PM,,Boston Bruins,4,1,W,,1,0,1,W 1,,24,18,0,4,0,,25,18,1,4,0,"19,466",2:23,
3,10/19/2016,8:00 PM,@,Winnipeg Jets,4,5,L,OT,1,0,2,L 1,,40,6,2,2,0,,34,4,1,3,0,"15,294",2:36,
4,10/20/2016,8:00 PM,@,Minnesota Wild,2,3,L,,1,1,2,L 2,,33,6,1,3,0,,27,6,0,3,0,"18,968",2:36,
5,10/22/2016,7:00 PM,@,Chicago Blackhawks,4,5,L,SO,1,1,3,L 3,,34,12,1,2,0,,35,4,0,6,0,"21,735",2:51,
6,10/25/2016,7:30 PM,,Tampa Bay Lightning,3,7,L,,1,2,3,L 4,,43,6,1,4,0,,24,8,2,4,0,"19,449",2:42,
7,10/27/2016,7:30 PM,,Florida Panthers,3,2,W,,2,2,3,W 1,,28,6,0,2,0,,31,6,1,3,0,"18,979",2:26,
8,10/29/2016,7:00 PM,@,Montreal Canadiens,1,2,L,,2,3,3,L 1,,38,10,1,4,0,,31,12,1,3,0,"21,288",2:28,
9,10/30/2016,6:00 PM,@,New York Islanders,1,5,L,,2,4,3,L 2,,34,10,1,3,0,,35,12,0,2,0,"12,057",2:32,
10,11/1/2016,7:30 PM,,Edmonton Oilers,3,2,W,OT,3,4,3,W 1,,31,6,0,1,0,,46,4,0,2,0,"19,687",2:34,
11,11/3/2016,7:00 PM,@,Buffalo Sabres,2,1,W,,4,4,3,W 2,,29,4,0,0,0,,43,0,0,2,0,"18,183",2:35,
12,11/5/2016,7:00 PM,,Vancouver Canucks,6,3,W,,5,4,3,W 3,,42,75,1,5,0,,29,96,0,4,0,"19,480",2:48,
13,11/8/2016,7:30 PM,,Los Angeles Kings,0,7,L,,5,5,3,L 1,,19,8,0,1,0,,43,2,0,4,0,"18,976",2:27,
14,11/11/2016,7:00 PM,,Philadelphia Flyers,6,3,W,,6,5,3,W 1,,23,4,2,5,1,,33,10,1,2,1,"19,189",2:25,
15,11/12/2016,7:00 PM,@,Pittsburgh Penguins,1,4,L,,6,6,3,L 1,,36,6,0,2,0,,49,6,1,3,0,"18,668",2:23,
16,11/15/2016,7:30 PM,,Nashville Predators,6,2,W,,7,6,3,W 1,,32,7,0,1,0,,34,17,0,1,0,"19,342",2:30,
17,11/17/2016,7:30 PM,,Florida Panthers,6,1,W,,8,6,3,W 2,,30,8,0,4,0,,27,8,0,4,0,"18,931",2:33,
18,11/19/2016,7:00 PM,@,Montreal Canadiens,1,2,L,,8,7,3,L 1,,32,12,1,4,0,,29,15,1,5,0,"21,288",2:30,
19,11/22/2016,7:00 PM,,Carolina Hurricanes,1,2,L,,8,8,3,L 2,,26,2,0,3,0,,29,6,1,1,1,"18,893",2:20,
20,11/23/2016,7:00 PM,@,New Jersey Devils,4,5,L,SO,8,8,4,L 3,,31,8,1,3,0,,30,8,1,3,0,"13,752",2:47,
21,11/26/2016,7:00 PM,,Washington Capitals,4,2,W,,9,8,4,W 1,,37,13,1,5,0,,35,15,0,4,0,"19,051",2:38,
22,11/29/2016,9:00 PM,@,Edmonton Oilers,4,2,W,,10,8,4,W 2,,23,14,0,4,0,,30,12,0,6,0,"18,347",2:32,
23,11/30/2016,8:30 PM,@,Calgary Flames,0,3,L,,10,9,4,L 1,,39,4,0,2,0,,29,4,0,2,0,"19,289",2:20,
24,12/3/2016,7:00 PM,@,Vancouver Canucks,2,3,L,SO,10,9,5,L 2,,40,9,1,4,0,,24,13,0,2,0,"18,865",2:40,
25,12/7/2016,7:30 PM,,Minnesota Wild,2,3,L,,10,10,5,L 3,,37,7,0,2,0,,20,9,0,1,0,"18,944",2:35,
26,12/10/2016,7:00 PM,@,Boston Bruins,4,1,W,,11,10,5,W 1,,20,2,0,2,0,,33,4,0,1,0,"17,565",2:25,
27,12/11/2016,7:00 PM,,Colorado Avalanche,1,3,L,,11,11,5,L 1,,52,13,1,6,0,,29,17,2,4,1,"18,875",2:33,
28,12/13/2016,7:30 PM,,San Jose Sharks,2,3,L,SO,11,11,6,L 2,,31,14,1,3,0,,42,6,1,6,0,"19,380",2:48,
29,12/15/2016,7:30 PM,,Arizona Coyotes,2,3,L,SO,11,11,7,L 3,,46,8,1,4,0,,30,8,1,4,0,"18,903",2:43,
30,12/17/2016,7:00 PM,,Pittsburgh Penguins,2,1,W,OT,12,11,7,W 1,,49,8,0,4,0,,34,8,1,4,0,"19,553",2:35,
31,12/19/2016,7:30 PM,,Anaheim Ducks,2,3,L,,12,12,7,L 1,,35,8,0,3,0,,28,6,2,5,0,"18,861",2:44,
32,12/22/2016,9:00 PM,@,Colorado Avalanche,6,0,W,,13,12,7,W 1,,31,22,2,5,0,,38,20,,6,,"15,502",2:33,
33,12/23/2016,9:00 PM,@,Arizona Coyotes,4,1,W,,14,12,7,W 2,,32,8,1,1,0,,32,2,0,4,0,"14,377",2:34,
34,12/28/2016,7:00 PM,@,Florida Panthers,3,2,W,SO,15,12,7,W 3,,40,12,1,3,0,,47,8,0,4,0,"16,965",2:51,
35,12/29/2016,7:30 PM,@,Tampa Bay Lightning,3,2,W,OT,16,12,7,W 4,,35,8,1,5,0,,27,10,0,5,0,"19,092",2:39,
36,1/1/2017,3:00 PM,,Detroit Red Wings,5,4,W,OT,17,12,7,W 5,,28,9,0,2,0,,37,9,0,3,0,"40,148",2:57,
37,1/3/2017,7:00 PM,@,Washington Capitals,5,6,L,OT,17,12,8,L 1,,25,6,2,6,0,,29,14,1,2,0,"18,506",2:39,
38,1/6/2017,7:30 PM,@,New Jersey Devils,4,2,W,,18,12,8,W 1,,14,8,2,3,1,,32,6,1,4,0,"15,233",2:23,
