,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/15/2016,10:00 PM,,Calgary Flames,2,1,W,SO,1,0,0,W 1,,31,6,0,4,0,,25,10,0,2,0,"18,865",2:42,
2,10/16/2016,10:00 PM,,Carolina Hurricanes,4,3,W,OT,2,0,0,W 2,,31,4,0,2,0,,22,4,1,2,0,"17,832",2:25,
3,10/18/2016,10:00 PM,,St. Louis Blues,2,1,W,OT,3,0,0,W 3,,26,6,0,4,0,,24,8,0,3,0,"17,568",2:28,
4,10/20/2016,10:00 PM,,Buffalo Sabres,2,1,W,,4,0,0,W 4,,20,10,1,5,0,,27,8,0,5,0,"17,809",2:35,
5,10/22/2016,10:00 PM,@,Los Angeles Kings,3,4,L,SO,4,0,1,L 1,,25,11,2,6,0,,31,17,1,3,1,"18,230",2:51,
6,10/23/2016,8:00 PM,@,Anaheim Ducks,2,4,L,,4,1,1,L 2,,19,4,0,2,1,,37,4,1,2,0,"17,174",2:29,
7,10/25/2016,10:00 PM,,Ottawa Senators,0,3,L,,4,2,1,L 3,,22,2,0,1,0,,28,2,0,1,0,"18,471",2:24,
8,10/28/2016,10:00 PM,,Edmonton Oilers,0,2,L,,4,3,1,L 4,,26,7,0,1,0,,27,7,0,1,0,"18,865",2:24,
9,10/29/2016,10:00 PM,,Washington Capitals,2,5,L,,4,4,1,L 5,,25,6,0,3,0,,35,8,1,2,0,"18,338",2:36,
10,11/2/2016,7:30 PM,@,Montreal Canadiens,0,3,L,,4,5,1,L 6,,42,6,0,5,0,,21,10,0,3,0,"21,288",2:28,
11,11/3/2016,7:30 PM,@,Ottawa Senators,0,1,L,,4,6,1,L 7,,27,22,0,2,0,,24,20,0,4,0,"13,260",2:34,
12,11/5/2016,7:00 PM,@,Toronto Maple Leafs,3,6,L,,4,7,1,L 8,,29,96,0,4,0,,42,75,1,5,0,"19,480",2:48,
13,11/7/2016,7:00 PM,@,New York Islanders,2,4,L,,4,8,1,L 9,,32,4,1,2,0,,32,4,0,2,0,"12,514",2:29,
14,11/8/2016,7:00 PM,@,New York Rangers,5,3,W,,5,8,1,W 1,,29,10,0,2,0,,26,4,1,5,0,"18,006",2:26,
15,11/10/2016,7:30 PM,@,Detroit Red Wings,1,3,L,,5,9,1,L 1,,37,8,0,3,0,,27,6,0,4,0,"20,027",2:28,
16,11/13/2016,4:00 PM,,Dallas Stars,5,4,W,OT,6,9,1,W 1,,30,4,1,3,0,,21,6,0,2,0,"18,470",2:33,
17,11/15/2016,10:00 PM,,New York Rangers,2,7,L,,6,10,1,L 1,,38,4,0,4,0,,25,8,2,3,0,"17,814",2:27,
18,11/17/2016,10:00 PM,,Arizona Coyotes,3,2,W,OT,7,10,1,W 1,,42,4,1,2,0,,36,4,1,2,0,"18,027",2:56,
19,11/19/2016,10:00 PM,,Chicago Blackhawks,3,4,L,OT,7,10,2,L 1,,27,6,1,2,1,,32,4,0,3,0,"18,865",2:31,
20,11/23/2016,10:00 PM,@,Arizona Coyotes,4,1,W,,8,10,2,W 1,,27,4,0,2,0,,36,4,0,2,0,"11,256",2:28,
21,11/25/2016,8:30 PM,@,Dallas Stars,1,2,L,,8,11,2,L 1,,31,7,0,2,0,,28,9,0,1,0,"18,532",2:30,
22,11/26/2016,10:00 PM,@,Colorado Avalanche,3,2,W,SO,9,11,2,W 1,,31,13,1,3,0,,35,11,0,4,0,"15,511",2:39,
23,11/29/2016,10:00 PM,,Minnesota Wild,5,4,W,,10,11,2,W 2,,35,4,2,3,0,,42,6,0,2,0,"17,917",2:28,
24,12/1/2016,10:00 PM,,Anaheim Ducks,1,3,L,,10,12,2,L 1,,28,2,0,3,0,,24,6,0,1,0,"17,627",2:28,
25,12/3/2016,7:00 PM,,Toronto Maple Leafs,3,2,W,SO,11,12,2,W 1,,24,13,0,2,0,,40,9,1,4,0,"18,865",2:40,
26,12/6/2016,7:00 PM,@,New Jersey Devils,2,3,L,,11,13,2,L 1,,24,16,1,3,0,,22,26,1,2,0,"13,126",2:34,
27,12/8/2016,7:30 PM,@,Tampa Bay Lightning,5,1,W,,12,13,2,W 1,,30,6,0,3,0,,41,6,0,3,0,"19,092",2:30,
28,12/10/2016,7:00 PM,@,Florida Panthers,2,4,L,,12,14,2,L 1,,39,4,1,4,0,,42,8,0,2,0,"17,585",2:35,
29,12/11/2016,5:00 PM,@,Washington Capitals,0,3,L,,12,15,2,L 2,,20,8,0,5,0,,29,10,1,4,0,"18,506",2:31,
30,12/13/2016,7:00 PM,@,Carolina Hurricanes,6,8,L,,12,16,2,L 3,,34,11,0,2,0,,36,9,2,3,0,"11,721",2:38,
31,12/16/2016,10:00 PM,,Tampa Bay Lightning,4,2,W,,13,16,2,W 1,,24,4,1,2,0,,27,4,1,2,0,"18,685",2:25,
32,12/18/2016,4:00 PM,,Columbus Blue Jackets,3,4,L,OT,13,16,3,L 1,,17,4,1,4,0,,25,8,2,2,0,"18,113",2:24,
33,12/20/2016,10:00 PM,,Winnipeg Jets,4,1,W,,14,16,3,W 1,,24,10,0,3,0,,32,6,1,5,0,"18,865",2:29,
34,12/22/2016,10:00 PM,,Winnipeg Jets,1,4,L,,14,17,3,L 1,,23,8,0,4,0,,25,10,1,4,0,"18,865",2:28,
35,12/23/2016,9:00 PM,@,Calgary Flames,1,4,L,,14,18,3,L 2,,14,8,0,2,0,,37,4,1,4,1,"18,840",2:25,
36,12/28/2016,10:00 PM,,Los Angeles Kings,2,1,W,,15,18,3,W 1,,20,2,1,3,0,,37,6,0,2,0,"18,865",2:19,
37,12/30/2016,10:00 PM,,Anaheim Ducks,3,2,W,OT,16,18,3,W 2,,26,2,1,7,0,,26,14,0,1,1,"18,214",2:38,
38,12/31/2016,10:00 PM,@,Edmonton Oilers,3,2,W,SO,17,18,3,W 3,,32,10,0,2,0,,44,4,1,5,0,"18,347",2:44,
39,1/2/2017,10:00 PM,,Colorado Avalanche,3,2,W,,18,18,3,W 4,,24,6,1,4,0,,26,8,1,3,0,"18,865",2:26,
40,1/4/2017,10:00 PM,,Arizona Coyotes,3,0,W,,19,18,3,W 5,,24,4,0,2,0,,22,4,,2,,"18,215",2:25,
41,1/6/2017,10:00 PM,,Calgary Flames,4,2,W,,20,18,3,W 6,,13,8,1,3,0,,46,4,1,4,0,"18,865",2:31,
42,1/7/2017,10:00 PM,@,Calgary Flames,1,3,L,,20,19,3,L 1,,29,2,0,3,0,,31,6,0,1,0,"18,685",2:23,
43,1/10/2017,8:00 PM,@,Nashville Predators,1,2,L,OT,20,19,4,L 2,,30,4,0,3,0,,26,6,0,2,1,"17,113",2:39,
44,1/12/2017,7:00 PM,@,Philadelphia Flyers,4,5,L,SO,20,19,5,L 3,,38,8,1,8,0,,35,16,2,4,0,"19,757",2:52,
45,1/15/2017,7:00 PM,,New Jersey Devils,1,2,L,OT,20,19,6,L 4,,22,4,0,3,0,,22,8,0,1,0,"18,865",2:25,
46,1/17/2017,10:00 PM,,Nashville Predators,1,0,W,,21,19,6,W 1,,26,2,0,1,0,,30,2,,1,,"18,312",2:39,
47,1/20/2017,10:00 PM,,Florida Panthers,2,1,W,,22,19,6,W 2,,32,4,0,1,0,,35,2,1,3,0,"18,865",2:30,
