,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/13/2016,8:00 PM,,Carolina Hurricanes,5,4,W,OT,1,0,0,W 1,,26,10,1,5,1,,27,12,2,4,0,"15,296",2:32,
2,10/15/2016,7:00 PM,@,Minnesota Wild,3,4,L,,1,1,0,L 1,,17,15,0,3,0,,31,13,1,4,0,"19,024",2:41,
3,10/17/2016,8:00 PM,,Boston Bruins,1,4,L,,1,2,0,L 2,,35,8,0,5,0,,25,10,0,4,0,"15,296",2:36,
4,10/19/2016,8:00 PM,,Toronto Maple Leafs,5,4,W,OT,2,2,0,W 1,,34,4,1,3,0,,40,6,2,2,0,"15,294",2:36,
5,10/23/2016,3:00 PM,,Edmonton Oilers,0,3,L,,2,3,0,L 1,,31,4,0,4,0,,32,8,0,2,1,"33,240",2:30,
6,10/25/2016,8:30 PM,@,Dallas Stars,2,3,L,,2,4,0,L 2,,30,14,1,4,0,,26,10,1,6,0,"18,040",2:37,
7,10/27/2016,8:00 PM,,Dallas Stars,4,1,W,,3,4,0,W 1,,36,12,2,7,0,,39,14,1,6,0,"15,294",2:31,
8,10/28/2016,9:00 PM,@,Colorado Avalanche,1,0,W,,4,4,0,W 2,,21,8,0,3,0,,37,6,,4,,"16,135",2:24,
9,10/30/2016,3:00 PM,,Buffalo Sabres,1,3,L,,4,5,0,L 1,,38,6,0,6,0,,28,16,0,1,0,"15,294",2:30,
10,11/1/2016,8:00 PM,,Washington Capitals,2,3,L,,4,6,0,L 2,,45,8,0,4,0,,27,8,0,3,0,"15,294",2:35,
11,11/3/2016,7:00 PM,@,Washington Capitals,3,4,L,OT,4,6,1,L 3,,27,10,0,2,1,,32,6,1,5,0,"18,506",2:39,
12,11/4/2016,7:30 PM,@,Detroit Red Wings,5,3,W,,5,6,1,W 1,,31,6,0,0,0,,33,2,0,3,0,"20,027",2:43,
13,11/6/2016,7:00 PM,@,New York Rangers,2,5,L,,5,7,1,L 1,,26,0,0,2,0,,18,4,0,0,0,"18,006",2:23,
14,11/8/2016,8:00 PM,,Dallas Stars,8,2,W,,6,7,1,W 1,,31,42,3,5,1,,30,52,2,5,0,"15,294",3:26,
15,11/10/2016,9:00 PM,@,Arizona Coyotes,3,2,W,,7,7,1,W 2,,27,7,0,2,0,,25,9,0,1,0,"11,185",2:22,
16,11/11/2016,9:00 PM,@,Colorado Avalanche,2,3,L,OT,7,7,2,L 1,,18,15,1,6,0,,28,17,1,5,0,"16,517",2:30,
17,11/13/2016,2:00 PM,,Los Angeles Kings,3,2,W,SO,8,7,2,W 1,,29,15,2,5,0,,29,14,0,5,0,"15,294",2:43,
18,11/15/2016,8:00 PM,,Chicago Blackhawks,4,0,W,,9,7,2,W 2,,24,6,0,1,0,,27,2,,3,,"15,294",2:26,
19,11/17/2016,7:00 PM,@,Philadelphia Flyers,2,5,L,,9,8,2,L 1,,32,2,0,1,0,,22,2,0,1,0,"19,432",2:26,
20,11/19/2016,7:00 PM,@,Boston Bruins,1,4,L,,9,9,2,L 2,,12,10,0,4,0,,38,10,1,4,0,"17,565",2:21,
21,11/20/2016,5:00 PM,@,Carolina Hurricanes,1,3,L,,9,10,2,L 3,,29,18,0,3,0,,40,10,2,7,0,"10,809",2:30,
22,11/23/2016,7:00 PM,@,Minnesota Wild,1,3,L,,9,11,2,L 4,,16,6,1,2,0,,26,4,1,3,0,"19,022",2:21,
23,11/25/2016,6:00 PM,@,Nashville Predators,1,5,L,,9,12,2,L 5,,23,11,0,1,0,,30,2,3,5,0,"17,192",2:30,
24,11/27/2016,1:00 PM,,Nashville Predators,3,0,W,,10,12,2,W 1,,24,10,0,4,0,,42,8,,5,,"15,294",2:26,
25,11/29/2016,8:00 PM,,New Jersey Devils,3,2,W,,11,12,2,W 2,,29,8,0,5,0,,25,10,0,4,0,"15,294",2:30,
26,12/1/2016,8:00 PM,,Edmonton Oilers,3,6,L,,11,13,2,L 1,,25,15,2,4,0,,33,15,3,4,0,"15,294",2:23,
27,12/3/2016,7:00 PM,@,St. Louis Blues,3,2,W,OT,12,13,2,W 1,,23,10,0,1,1,,22,4,0,4,0,"19,362",2:25,
