Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Arizona Coyotes,4,3,1,0,0,6,0.75,13,6,3.25,1.5,4 games
2,Boston Bruins,2,2,0,0,0,4,1,9,6,4.5,3,2 games
3,Buffalo Sabres,2,1,0,0,1,3,0.75,6,4,3,2,2 games
4,Carolina Hurricanes,2,2,0,0,0,4,1,10,7,5,3.5,2 games
5,Columbus Blue Jackets,2,0,1,0,1,1,0.25,2,7,1,3.5,2 games
6,Calgary Flames,5,4,1,0,0,8,0.8,17,14,3.4,2.8,5 games
7,Chicago Blackhawks,3,2,1,0,0,4,0.667,7,3,2.33,1,3 games
8,Colorado Avalanche,3,3,0,0,0,6,1,11,3,3.67,1,3 games
9,Dallas Stars,3,1,2,0,0,2,0.333,6,10,2,3.33,3 games
10,Detroit Red Wings,2,1,1,0,0,2,0.5,6,6,3,3,2 games
11,Edmonton Oilers,5,2,1,0,2,6,0.6,12,14,2.4,2.8,5 games
12,Florida Panthers,2,0,2,0,0,0,0,2,6,1,3,2 games
13,Los Angeles Kings,5,3,2,0,0,6,0.6,12,10,2.4,2,5 games
14,Minnesota Wild,3,1,2,0,0,2,0.333,5,7,1.67,2.33,3 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,3,6,1.5,3,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,4,4,2,2,2 games
17,Nashville Predators,3,2,1,0,0,4,0.667,10,9,3.33,3,3 games
18,New York Islanders,2,0,0,0,2,2,0.5,4,6,2,3,2 games
19,New York Rangers,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
20,Ottawa Senators,2,1,0,0,1,3,0.75,6,3,3,1.5,2 games
21,Philadelphia Flyers,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
22,Pittsburgh Penguins,2,0,2,0,0,0,0,3,8,1.5,4,2 games
23,San Jose Sharks,5,3,0,0,2,8,0.8,11,10,2.2,2,5 games
24,St. Louis Blues,3,1,1,0,1,3,0.5,6,7,2,2.33,3 games
25,Tampa Bay Lightning,2,1,0,0,1,3,0.75,4,4,2,2,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,8,4,4,2,2 games
27,Vancouver Canucks,5,3,1,0,1,7,0.7,14,9,2.8,1.8,5 games
28,Winnipeg Jets,3,2,0,0,1,5,0.833,9,7,3,2.33,3 games
29,Washington Capitals,2,1,1,0,0,2,0.5,9,8,4.5,4,2 games
