Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,4,1,2,0,1,3,0.375,6,13,1.5,3.25,4 games
2,Boston Bruins,2,0,2,0,0,0,0,2,6,1,3,2 games
3,Buffalo Sabres,2,1,1,0,0,2,0.5,6,8,3,4,2 games
4,Carolina Hurricanes,2,1,1,0,0,2,0.5,5,4,2.5,2,2 games
5,Columbus Blue Jackets,2,0,1,0,1,1,0.25,3,7,1.5,3.5,2 games
6,Calgary Flames,5,1,2,0,2,4,0.4,11,12,2.2,2.4,5 games
7,Chicago Blackhawks,3,0,3,0,0,0,0,6,14,2,4.67,3 games
8,Colorado Avalanche,3,2,1,0,0,4,0.667,7,5,2.33,1.67,3 games
9,Dallas Stars,3,0,2,0,1,1,0.167,6,11,2,3.67,3 games
10,Detroit Red Wings,2,1,0,0,1,3,0.75,8,6,4,3,2 games
11,Edmonton Oilers,5,2,3,0,0,4,0.4,10,14,2,2.8,5 games
12,Florida Panthers,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
13,Los Angeles Kings,5,3,2,0,0,6,0.6,15,13,3,2.6,5 games
14,Minnesota Wild,3,0,3,0,0,0,0,5,11,1.67,3.67,3 games
15,Montreal Canadiens,2,0,1,0,1,1,0.25,6,10,3,5,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,8,9,4,4.5,2 games
17,Nashville Predators,3,2,1,0,0,4,0.667,8,6,2.67,2,3 games
18,New York Islanders,2,1,1,0,0,2,0.5,4,4,2,2,2 games
19,New York Rangers,2,0,2,0,0,0,0,5,9,2.5,4.5,2 games
20,Ottawa Senators,2,0,1,0,1,1,0.25,6,10,3,5,2 games
21,Philadelphia Flyers,2,2,0,0,0,4,1,9,7,4.5,3.5,2 games
22,Pittsburgh Penguins,2,1,1,0,0,2,0.5,4,10,2,5,2 games
23,San Jose Sharks,5,3,1,0,1,7,0.7,11,12,2.2,2.4,5 games
24,St. Louis Blues,3,0,3,0,0,0,0,2,10,0.67,3.33,3 games
25,Tampa Bay Lightning,2,2,0,0,0,4,1,10,6,5,3,2 games
26,Toronto Maple Leafs,2,1,1,0,0,2,0.5,4,6,2,3,2 games
27,Vancouver Canucks,5,2,2,0,1,5,0.5,10,13,2,2.6,5 games
28,Winnipeg Jets,3,1,2,0,0,2,0.333,9,12,3,4,3 games
29,Washington Capitals,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
