Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,2,0,0,0,0,6,9,3,4.5,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,6,2,3,1,2 games
3,Buffalo Sabres,4,4,0,0,0,8,1,13,4,3.25,1,4 games
4,Carolina Hurricanes,3,1,0,0,2,4,0.667,7,8,2.33,2.67,3 games
5,Columbus Blue Jackets,3,2,1,0,0,4,0.667,14,9,4.67,3,3 games
6,Calgary Flames,2,1,1,0,0,2,0.5,6,4,3,2,2 games
7,Chicago Blackhawks,2,1,1,0,0,2,0.5,3,3,1.5,1.5,2 games
8,Colorado Avalanche,2,1,1,0,0,2,0.5,4,4,2,2,2 games
9,Dallas Stars,2,2,0,0,0,4,1,8,3,4,1.5,2 games
10,Detroit Red Wings,4,3,0,0,1,7,0.875,16,10,4,2.5,4 games
11,Edmonton Oilers,2,0,2,0,0,0,0,7,11,3.5,5.5,2 games
12,Florida Panthers,5,5,0,0,0,10,1,18,7,3.6,1.4,5 games
13,Los Angeles Kings,2,2,0,0,0,4,1,5,1,2.5,0.5,2 games
14,Minnesota Wild,2,0,2,0,0,0,0,0,6,0,3,2 games
15,Montreal Canadiens,4,2,2,0,0,4,0.5,10,8,2.5,2,4 games
16,New Jersey Devils,3,2,1,0,0,4,0.667,5,6,1.67,2,3 games
17,Nashville Predators,2,1,1,0,0,2,0.5,5,3,2.5,1.5,2 games
18,New York Islanders,3,1,2,0,0,2,0.333,4,9,1.33,3,3 games
19,New York Rangers,3,0,3,0,0,0,0,5,12,1.67,4,3 games
20,Ottawa Senators,4,0,3,0,1,1,0.125,6,12,1.5,3,4 games
21,Philadelphia Flyers,3,2,0,0,1,5,0.833,10,7,3.33,2.33,3 games
22,Pittsburgh Penguins,3,1,1,0,1,3,0.5,8,12,2.67,4,3 games
23,San Jose Sharks,2,2,0,0,0,4,1,8,4,4,2,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
25,Tampa Bay Lightning,5,4,1,0,0,8,0.8,19,13,3.8,2.6,5 games
26,Toronto Maple Leafs,4,0,4,0,0,0,0,9,18,2.25,4.5,4 games
27,Vancouver Canucks,2,2,0,0,0,4,1,10,6,5,3,2 games
28,Winnipeg Jets,2,2,0,0,0,4,1,8,2,4,1,2 games
29,Washington Capitals,3,0,2,0,1,1,0.167,7,12,2.33,4,3 games
