Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,4,6,2,3,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,8,6,4,3,2 games
3,Boston Bruins,4,0,4,0,0,0,0,4,13,1,3.25,4 games
4,Carolina Hurricanes,3,0,2,0,1,1,0.167,4,10,1.33,3.33,3 games
5,Columbus Blue Jackets,3,1,2,0,0,2,0.333,9,10,3,3.33,3 games
6,Calgary Flames,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
7,Chicago Blackhawks,2,0,1,0,1,1,0.25,4,9,2,4.5,2 games
8,Colorado Avalanche,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
9,Dallas Stars,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
10,Detroit Red Wings,4,3,0,0,1,7,0.875,10,8,2.5,2,4 games
11,Edmonton Oilers,2,2,0,0,0,4,1,10,5,5,2.5,2 games
12,Florida Panthers,4,2,1,0,1,5,0.625,10,9,2.5,2.25,4 games
13,Los Angeles Kings,2,1,1,0,0,2,0.5,6,5,3,2.5,2 games
14,Minnesota Wild,2,1,1,0,0,2,0.5,2,5,1,2.5,2 games
15,Montreal Canadiens,4,2,2,0,0,4,0.5,8,12,2,3,4 games
16,New Jersey Devils,3,0,2,0,1,1,0.167,4,8,1.33,2.67,3 games
17,Nashville Predators,2,1,0,0,1,3,0.75,9,9,4.5,4.5,2 games
18,New York Islanders,3,1,2,0,0,2,0.333,6,11,2,3.67,3 games
19,New York Rangers,3,2,0,0,1,5,0.833,9,6,3,2,3 games
20,Ottawa Senators,5,4,0,0,1,9,0.9,15,9,3,1.8,5 games
21,Philadelphia Flyers,3,1,1,0,1,3,0.5,10,11,3.33,3.67,3 games
22,Pittsburgh Penguins,3,1,2,0,0,2,0.333,6,8,2,2.67,3 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,6,8,3,4,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,4,6,2,3,2 games
25,Tampa Bay Lightning,4,0,3,0,1,1,0.125,6,14,1.5,3.5,4 games
26,Toronto Maple Leafs,5,2,3,0,0,4,0.4,14,13,2.8,2.6,5 games
27,Vancouver Canucks,2,0,2,0,0,0,0,3,6,1.5,3,2 games
28,Winnipeg Jets,2,2,0,0,0,4,1,7,4,3.5,2,2 games
29,Washington Capitals,3,0,2,0,1,1,0.167,4,10,1.33,3.33,3 games
