Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,5,1,4,0,0,2,0.2,14,17,2.8,3.4,5 games
2,Arizona Coyotes,5,4,1,0,0,8,0.8,12,11,2.4,2.2,5 games
3,Boston Bruins,2,1,1,0,0,2,0.5,4,6,2,3,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
7,Chicago Blackhawks,3,1,2,0,0,2,0.333,6,10,2,3.33,3 games
8,Colorado Avalanche,3,3,0,0,0,6,1,14,6,4.67,2,3 games
9,Dallas Stars,3,2,1,0,0,4,0.667,7,6,2.33,2,3 games
10,Detroit Red Wings,2,2,0,0,0,4,1,6,4,3,2,2 games
11,Edmonton Oilers,4,0,3,0,1,1,0.125,11,21,2.75,5.25,4 games
12,Florida Panthers,2,2,0,0,0,4,1,9,4,4.5,2,2 games
13,Los Angeles Kings,5,3,2,0,0,6,0.6,12,13,2.4,2.6,5 games
14,Minnesota Wild,3,3,0,0,0,6,1,9,3,3,1,3 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,6,5,3,2.5,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
17,Nashville Predators,3,1,2,0,0,2,0.333,10,12,3.33,4,3 games
18,New York Islanders,2,1,0,0,1,3,0.75,6,4,3,2,2 games
19,New York Rangers,2,0,2,0,0,0,0,4,8,2,4,2 games
20,Ottawa Senators,2,2,0,0,0,4,1,8,4,4,2,2 games
21,Philadelphia Flyers,2,1,1,0,0,2,0.5,6,6,3,3,2 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
23,San Jose Sharks,5,3,2,0,0,6,0.6,13,13,2.6,2.6,5 games
24,St. Louis Blues,3,2,1,0,0,4,0.667,11,9,3.67,3,3 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,6,8,3,4,2 games
26,Toronto Maple Leafs,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
27,Vancouver Canucks,5,2,1,0,2,6,0.6,11,10,2.2,2,5 games
28,Winnipeg Jets,3,2,1,0,0,4,0.667,9,4,3,1.33,3 games
29,Washington Capitals,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
