Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,1,0,1,1,0.25,7,10,3.5,5,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
3,Boston Bruins,3,2,0,0,1,5,0.833,8,7,2.67,2.33,3 games
4,Buffalo Sabres,3,3,0,0,0,6,1,10,4,3.33,1.33,3 games
5,Columbus Blue Jackets,4,2,2,0,0,4,0.5,10,11,2.5,2.75,4 games
6,Calgary Flames,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
7,Chicago Blackhawks,2,1,1,0,0,2,0.5,4,4,2,2,2 games
8,Colorado Avalanche,2,0,1,0,1,1,0.25,2,5,1,2.5,2 games
9,Dallas Stars,2,0,2,0,0,0,0,2,8,1,4,2 games
10,Detroit Red Wings,3,1,1,0,1,3,0.5,9,9,3,3,3 games
11,Edmonton Oilers,2,1,1,0,0,2,0.5,4,4,2,2,2 games
12,Florida Panthers,3,2,0,0,1,5,0.833,9,8,3,2.67,3 games
13,Los Angeles Kings,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
14,Minnesota Wild,2,1,1,0,0,2,0.5,6,6,3,3,2 games
15,Montreal Canadiens,3,2,1,0,0,4,0.667,8,5,2.67,1.67,3 games
16,New Jersey Devils,4,1,2,0,1,3,0.375,7,11,1.75,2.75,4 games
17,Nashville Predators,2,2,0,0,0,4,1,7,4,3.5,2,2 games
18,New York Islanders,5,3,1,0,1,7,0.7,22,18,4.4,3.6,5 games
19,New York Rangers,4,2,2,0,0,4,0.5,11,12,2.75,3,4 games
20,Ottawa Senators,3,1,1,0,1,3,0.5,5,4,1.67,1.33,3 games
21,Philadelphia Flyers,5,2,2,0,1,5,0.5,18,18,3.6,3.6,5 games
22,Pittsburgh Penguins,4,0,4,0,0,0,0,6,16,1.5,4,4 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,4,4,2,2,2 games
24,St. Louis Blues,2,1,0,0,1,3,0.75,8,7,4,3.5,2 games
25,Tampa Bay Lightning,3,1,1,0,1,3,0.5,5,7,1.67,2.33,3 games
26,Toronto Maple Leafs,3,1,1,0,1,3,0.5,4,8,1.33,2.67,3 games
27,Vancouver Canucks,2,1,0,0,1,3,0.75,11,10,5.5,5,2 games
28,Winnipeg Jets,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
29,Washington Capitals,4,1,2,0,1,3,0.375,9,16,2.25,4,4 games
