Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,1,2,0,0,2,0.333,3,7,1,2.33,3 games
2,Arizona Coyotes,3,3,0,0,0,6,1,14,6,4.67,2,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,3,3,1.5,1.5,2 games
4,Buffalo Sabres,2,2,0,0,0,4,1,9,4,4.5,2,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,4,4,2,2,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,5,4,2.5,2,2 games
7,Calgary Flames,3,2,0,0,1,5,0.833,10,6,3.33,2,3 games
8,Colorado Avalanche,5,3,0,0,2,8,0.8,20,13,4,2.6,5 games
9,Dallas Stars,5,5,0,0,0,10,1,18,11,3.6,2.2,5 games
10,Detroit Red Wings,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
11,Edmonton Oilers,3,1,2,0,0,2,0.333,6,9,2,3,3 games
12,Florida Panthers,2,1,1,0,0,2,0.5,2,8,1,4,2 games
13,Los Angeles Kings,3,1,0,0,2,4,0.667,6,5,2,1.67,3 games
14,Minnesota Wild,4,3,1,0,0,6,0.75,15,11,3.75,2.75,4 games
15,Montreal Canadiens,2,2,0,0,0,4,1,7,4,3.5,2,2 games
16,New Jersey Devils,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
17,Nashville Predators,5,4,1,0,0,8,0.8,20,13,4,2.6,5 games
18,New York Islanders,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
19,New York Rangers,2,1,0,0,1,3,0.75,2,2,1,1,2 games
20,Ottawa Senators,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
21,Philadelphia Flyers,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,9,2,4.5,1,2 games
23,San Jose Sharks,3,1,2,0,0,2,0.333,6,6,2,2,3 games
24,St. Louis Blues,5,3,2,0,0,6,0.6,15,16,3,3.2,5 games
25,Tampa Bay Lightning,2,0,1,0,1,1,0.25,6,10,3,5,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
27,Vancouver Canucks,3,2,0,0,1,5,0.833,12,10,4,3.33,3 games
28,Winnipeg Jets,5,1,4,0,0,2,0.2,10,16,2,3.2,5 games
29,Washington Capitals,2,0,1,0,1,1,0.25,2,9,1,4.5,2 games
