Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,0,3,0,0,0,0,3,11,1,3.67,3 games
2,Arizona Coyotes,3,1,2,0,0,2,0.333,5,7,1.67,2.33,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,4,4,2,2,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
5,Carolina Hurricanes,2,2,0,0,0,4,1,5,2,2.5,1,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
7,Calgary Flames,3,0,3,0,0,0,0,6,14,2,4.67,3 games
8,Chicago Blackhawks,5,2,3,0,0,4,0.4,13,20,2.6,4,5 games
9,Dallas Stars,5,1,3,0,1,3,0.3,13,19,2.6,3.8,5 games
10,Detroit Red Wings,2,1,1,0,0,2,0.5,4,6,2,3,2 games
11,Edmonton Oilers,3,0,3,0,0,0,0,8,17,2.67,5.67,3 games
12,Florida Panthers,2,0,2,0,0,0,0,3,8,1.5,4,2 games
13,Los Angeles Kings,3,1,2,0,0,2,0.333,5,8,1.67,2.67,3 games
14,Minnesota Wild,5,2,3,0,0,4,0.4,9,13,1.8,2.6,5 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,5,10,2.5,5,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
17,Nashville Predators,5,0,5,0,0,0,0,11,21,2.2,4.2,5 games
18,New York Islanders,2,1,1,0,0,2,0.5,3,6,1.5,3,2 games
19,New York Rangers,2,0,2,0,0,0,0,4,10,2,5,2 games
20,Ottawa Senators,2,0,2,0,0,0,0,3,6,1.5,3,2 games
21,Philadelphia Flyers,2,0,2,0,0,0,0,3,8,1.5,4,2 games
22,Pittsburgh Penguins,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
23,San Jose Sharks,2,0,1,0,1,1,0.25,4,8,2,4,2 games
24,St. Louis Blues,5,1,4,0,0,2,0.2,7,16,1.4,3.2,5 games
25,Tampa Bay Lightning,2,1,0,0,1,3,0.75,6,3,3,1.5,2 games
26,Toronto Maple Leafs,2,1,1,0,0,2,0.5,3,7,1.5,3.5,2 games
27,Vancouver Canucks,3,0,2,0,1,1,0.167,6,9,2,3,3 games
28,Winnipeg Jets,5,2,3,0,0,4,0.4,10,15,2,3,5 games
29,Washington Capitals,2,0,2,0,0,0,0,3,8,1.5,4,2 games
