Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,2,0,0,0,4,1,7,2,3.5,1,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
3,Boston Bruins,3,1,2,0,0,2,0.333,9,14,3,4.67,3 games
4,Buffalo Sabres,3,2,1,0,0,4,0.667,10,9,3.33,3,3 games
5,Carolina Hurricanes,4,2,1,0,1,5,0.625,11,10,2.75,2.5,4 games
6,Calgary Flames,2,1,1,0,0,2,0.5,4,3,2,1.5,2 games
7,Chicago Blackhawks,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
8,Colorado Avalanche,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
9,Dallas Stars,2,2,0,0,0,4,1,6,2,3,1,2 games
10,Detroit Red Wings,3,3,0,0,0,6,1,9,4,3,1.33,3 games
11,Edmonton Oilers,2,2,0,0,0,4,1,6,2,3,1,2 games
12,Florida Panthers,3,1,1,0,1,3,0.5,6,7,2,2.33,3 games
13,Los Angeles Kings,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
14,Minnesota Wild,2,2,0,0,0,4,1,5,2,2.5,1,2 games
15,Montreal Canadiens,3,2,0,0,1,5,0.833,12,2,4,0.67,3 games
16,New Jersey Devils,4,3,1,0,0,6,0.75,10,6,2.5,1.5,4 games
17,Nashville Predators,2,0,2,0,0,0,0,6,8,3,4,2 games
18,New York Islanders,4,3,1,0,0,6,0.75,18,8,4.5,2,4 games
19,New York Rangers,5,3,2,0,0,6,0.6,21,16,4.2,3.2,5 games
20,Ottawa Senators,3,1,2,0,0,2,0.333,9,11,3,3.67,3 games
21,Philadelphia Flyers,4,3,1,0,0,6,0.75,10,8,2.5,2,4 games
22,Pittsburgh Penguins,4,2,1,0,1,5,0.625,13,10,3.25,2.5,4 games
23,San Jose Sharks,2,0,2,0,0,0,0,3,6,1.5,3,2 games
24,St. Louis Blues,2,1,0,0,1,3,0.75,9,6,4.5,3,2 games
25,Tampa Bay Lightning,3,3,0,0,0,6,1,13,5,4.33,1.67,3 games
26,Toronto Maple Leafs,3,2,1,0,0,4,0.667,10,9,3.33,3,3 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,4,6,2,3,2 games
28,Winnipeg Jets,2,1,1,0,0,2,0.5,9,8,4.5,4,2 games
29,Washington Capitals,5,2,2,0,1,5,0.5,8,13,1.6,2.6,5 games
