Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,6,6,3,3,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,6,8,3,4,2 games
3,Boston Bruins,4,1,2,0,1,3,0.375,10,16,2.5,4,4 games
4,Buffalo Sabres,4,1,2,0,1,3,0.375,8,10,2,2.5,4 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,9,9,3,3,3 games
6,Columbus Blue Jackets,3,0,2,0,1,1,0.167,4,9,1.33,3,3 games
7,Calgary Flames,2,0,1,0,1,1,0.25,4,6,2,3,2 games
8,Chicago Blackhawks,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,6,4,3,2,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
11,Edmonton Oilers,2,0,2,0,0,0,0,4,6,2,3,2 games
12,Florida Panthers,4,1,2,0,1,3,0.375,8,14,2,3.5,4 games
13,Los Angeles Kings,2,1,1,0,0,2,0.5,5,4,2.5,2,2 games
14,Minnesota Wild,2,1,1,0,0,2,0.5,6,8,3,4,2 games
15,Montreal Canadiens,5,2,1,0,2,6,0.6,6,11,1.2,2.2,5 games
16,New Jersey Devils,3,2,1,0,0,4,0.667,12,9,4,3,3 games
17,Nashville Predators,2,2,0,0,0,4,1,6,3,3,1.5,2 games
18,New York Islanders,3,2,1,0,0,4,0.667,10,10,3.33,3.33,3 games
19,New York Rangers,3,1,1,0,1,3,0.5,3,6,1,2,3 games
20,Ottawa Senators,4,3,1,0,0,6,0.75,13,9,3.25,2.25,4 games
21,Philadelphia Flyers,3,1,0,0,2,4,0.667,6,7,2,2.33,3 games
22,Pittsburgh Penguins,3,2,1,0,0,4,0.667,14,10,4.67,3.33,3 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,6,6,3,3,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,2,3,1,1.5,2 games
25,Tampa Bay Lightning,5,0,4,0,1,1,0.1,12,21,2.4,4.2,5 games
26,Toronto Maple Leafs,4,0,3,0,1,1,0.125,10,17,2.5,4.25,4 games
27,Vancouver Canucks,2,2,0,0,0,4,1,6,3,3,1.5,2 games
28,Winnipeg Jets,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
29,Washington Capitals,3,1,2,0,0,2,0.333,6,9,2,3,3 games
