Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,5,3,2,0,0,6,0.6,14,12,2.8,2.4,5 games
2,Arizona Coyotes,5,3,1,0,1,7,0.7,14,10,2.8,2,5 games
3,Boston Bruins,2,2,0,0,0,4,1,11,7,5.5,3.5,2 games
4,Buffalo Sabres,2,0,1,0,1,1,0.25,5,10,2.5,5,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,4,4,2,2,2 games
6,Columbus Blue Jackets,2,0,2,0,0,0,0,2,6,1,3,2 games
7,Calgary Flames,4,4,0,0,0,8,1,21,11,5.25,2.75,4 games
8,Chicago Blackhawks,3,2,1,0,0,4,0.667,9,6,3,2,3 games
9,Colorado Avalanche,3,3,0,0,0,6,1,17,8,5.67,2.67,3 games
10,Dallas Stars,3,2,1,0,0,4,0.667,14,6,4.67,2,3 games
11,Detroit Red Wings,2,2,0,0,0,4,1,6,4,3,2,2 games
12,Florida Panthers,2,2,0,0,0,4,1,8,6,4,3,2 games
13,Los Angeles Kings,5,3,2,0,0,6,0.6,13,12,2.6,2.4,5 games
14,Minnesota Wild,3,0,1,0,2,2,0.333,5,10,1.67,3.33,3 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,2,4,1,2,2 games
16,New Jersey Devils,2,2,0,0,0,4,1,5,3,2.5,1.5,2 games
17,Nashville Predators,3,0,2,0,1,1,0.167,6,10,2,3.33,3 games
18,New York Islanders,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
19,New York Rangers,2,0,2,0,0,0,0,4,8,2,4,2 games
20,Ottawa Senators,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
21,Philadelphia Flyers,2,1,1,0,0,2,0.5,11,9,5.5,4.5,2 games
22,Pittsburgh Penguins,2,0,1,0,1,1,0.25,5,7,2.5,3.5,2 games
23,San Jose Sharks,5,3,1,0,1,7,0.7,16,13,3.2,2.6,5 games
24,St. Louis Blues,3,3,0,0,0,6,1,8,4,2.67,1.33,3 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,4,6,2,3,2 games
26,Toronto Maple Leafs,2,0,1,0,1,1,0.25,4,7,2,3.5,2 games
27,Vancouver Canucks,5,4,0,0,1,9,0.9,14,7,2.8,1.4,5 games
28,Winnipeg Jets,3,3,0,0,0,6,1,12,5,4,1.67,3 games
29,Washington Capitals,2,1,1,0,0,2,0.5,5,3,2.5,1.5,2 games
