Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,2,0,0,0,4,1,6,2,3,1,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,5,4,2.5,2,2 games
3,Boston Bruins,5,0,4,0,1,1,0.1,7,18,1.4,3.6,5 games
4,Buffalo Sabres,4,2,2,0,0,4,0.5,9,10,2.25,2.5,4 games
5,Carolina Hurricanes,3,1,2,0,0,2,0.333,8,9,2.67,3,3 games
6,Columbus Blue Jackets,3,2,1,0,0,4,0.667,7,6,2.33,2,3 games
7,Calgary Flames,2,0,2,0,0,0,0,4,9,2,4.5,2 games
8,Chicago Blackhawks,2,1,0,0,1,3,0.75,8,2,4,1,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,8,3,4,1.5,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,4,3,2,1.5,2 games
11,Detroit Red Wings,4,3,0,0,1,7,0.875,14,8,3.5,2,4 games
12,Edmonton Oilers,2,0,1,0,1,1,0.25,6,8,3,4,2 games
13,Los Angeles Kings,2,1,1,0,0,2,0.5,6,8,3,4,2 games
14,Minnesota Wild,2,0,2,0,0,0,0,5,12,2.5,6,2 games
15,Montreal Canadiens,4,1,2,0,1,3,0.375,9,16,2.25,4,4 games
16,New Jersey Devils,3,3,0,0,0,6,1,9,4,3,1.33,3 games
17,Nashville Predators,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
18,New York Islanders,3,2,1,0,0,4,0.667,7,8,2.33,2.67,3 games
19,New York Rangers,3,2,1,0,0,4,0.667,9,10,3,3.33,3 games
20,Ottawa Senators,4,2,2,0,0,4,0.5,11,10,2.75,2.5,4 games
21,Philadelphia Flyers,3,0,1,0,2,2,0.333,4,8,1.33,2.67,3 games
22,Pittsburgh Penguins,3,0,3,0,0,0,0,3,12,1,4,3 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,8,9,4,4.5,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
25,Tampa Bay Lightning,4,2,1,0,1,5,0.625,10,9,2.5,2.25,4 games
26,Toronto Maple Leafs,5,1,3,0,1,3,0.3,14,17,2.8,3.4,5 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,5,4,2.5,2,2 games
28,Winnipeg Jets,2,0,1,0,1,1,0.25,4,8,2,4,2 games
29,Washington Capitals,3,1,2,0,0,2,0.333,6,8,2,2.67,3 games
