Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,5,2,2,0,1,5,0.5,10,12,2,2.4,5 games
2,Arizona Coyotes,5,2,2,0,1,5,0.5,13,15,2.6,3,5 games
3,Boston Bruins,2,0,2,0,0,0,0,1,5,0.5,2.5,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,4,3,2,1.5,2 games
6,Columbus Blue Jackets,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
7,Calgary Flames,5,2,2,0,1,5,0.5,13,12,2.6,2.4,5 games
8,Chicago Blackhawks,3,2,1,0,0,4,0.667,5,6,1.67,2,3 games
9,Colorado Avalanche,3,2,1,0,0,4,0.667,8,5,2.67,1.67,3 games
10,Dallas Stars,3,1,1,0,1,3,0.5,10,12,3.33,4,3 games
11,Detroit Red Wings,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
12,Edmonton Oilers,5,2,3,0,0,4,0.4,12,13,2.4,2.6,5 games
13,Florida Panthers,2,1,1,0,0,2,0.5,8,6,4,3,2 games
14,Minnesota Wild,3,1,1,0,1,3,0.5,11,14,3.67,4.67,3 games
15,Montreal Canadiens,2,0,1,0,1,1,0.25,5,9,2.5,4.5,2 games
16,New Jersey Devils,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
17,Nashville Predators,3,3,0,0,0,6,1,10,4,3.33,1.33,3 games
18,New York Islanders,2,1,1,0,0,2,0.5,6,6,3,3,2 games
19,New York Rangers,2,0,2,0,0,0,0,2,6,1,3,2 games
20,Ottawa Senators,2,1,1,0,0,2,0.5,5,3,2.5,1.5,2 games
21,Philadelphia Flyers,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,4,2,2,1,2 games
23,San Jose Sharks,5,2,3,0,0,4,0.4,9,12,1.8,2.4,5 games
24,St. Louis Blues,3,1,2,0,0,2,0.333,6,5,2,1.67,3 games
25,Tampa Bay Lightning,2,0,2,0,0,0,0,1,7,0.5,3.5,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,10,2,5,1,2 games
27,Vancouver Canucks,4,2,2,0,0,4,0.5,10,9,2.5,2.25,4 games
28,Winnipeg Jets,3,2,0,0,1,5,0.833,10,7,3.33,2.33,3 games
29,Washington Capitals,2,1,1,0,0,2,0.5,4,7,2,3.5,2 games
