Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,2,1,0,0,4,0.667,7,5,2.33,1.67,3 games
2,Arizona Coyotes,3,3,0,0,0,6,1,11,5,3.67,1.67,3 games
3,Boston Bruins,2,2,0,0,0,4,1,6,0,3,0,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,5,2,2.5,1,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,6,6,3,3,2 games
6,Columbus Blue Jackets,2,0,2,0,0,0,0,2,5,1,2.5,2 games
7,Calgary Flames,3,0,2,0,1,1,0.167,3,9,1,3,3 games
8,Chicago Blackhawks,4,1,2,0,1,3,0.375,11,15,2.75,3.75,4 games
9,Colorado Avalanche,5,3,2,0,0,6,0.6,13,9,2.6,1.8,5 games
10,Dallas Stars,5,4,0,0,1,9,0.9,17,10,3.4,2,5 games
11,Detroit Red Wings,2,1,0,0,1,3,0.75,8,6,4,3,2 games
12,Edmonton Oilers,3,3,0,0,0,6,1,10,5,3.33,1.67,3 games
13,Florida Panthers,2,2,0,0,0,4,1,12,5,6,2.5,2 games
14,Los Angeles Kings,3,2,0,0,1,5,0.833,14,11,4.67,3.67,3 games
15,Montreal Canadiens,2,2,0,0,0,4,1,11,3,5.5,1.5,2 games
16,New Jersey Devils,2,0,1,0,1,1,0.25,4,6,2,3,2 games
17,Nashville Predators,5,3,2,0,0,6,0.6,15,13,3,2.6,5 games
18,New York Islanders,2,1,1,0,0,2,0.5,9,10,4.5,5,2 games
19,New York Rangers,2,1,1,0,0,2,0.5,9,7,4.5,3.5,2 games
20,Ottawa Senators,2,2,0,0,0,4,1,7,2,3.5,1,2 games
21,Philadelphia Flyers,2,0,2,0,0,0,0,3,6,1.5,3,2 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,10,4,5,2,2 games
23,San Jose Sharks,3,3,0,0,0,6,1,11,7,3.67,2.33,3 games
24,St. Louis Blues,5,2,2,0,1,5,0.5,14,11,2.8,2.2,5 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,6,4,3,2,2 games
27,Vancouver Canucks,3,1,2,0,0,2,0.333,12,12,4,4,3 games
28,Winnipeg Jets,5,4,1,0,0,8,0.8,21,16,4.2,3.2,5 games
29,Washington Capitals,2,0,1,0,1,1,0.25,6,9,3,4.5,2 games
