Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,6,3,3,1.5,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,10,6,5,3,2 games
3,Boston Bruins,4,2,1,0,1,5,0.625,8,10,2,2.5,4 games
4,Buffalo Sabres,4,2,1,0,1,5,0.625,12,8,3,2,4 games
5,Carolina Hurricanes,3,1,2,0,0,2,0.333,5,8,1.67,2.67,3 games
6,Columbus Blue Jackets,3,1,2,0,0,2,0.333,2,12,0.67,4,3 games
7,Calgary Flames,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
8,Chicago Blackhawks,2,0,2,0,0,0,0,4,7,2,3.5,2 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,10,5,5,2.5,2 games
10,Dallas Stars,2,2,0,0,0,4,1,8,4,4,2,2 games
11,Detroit Red Wings,5,3,1,0,1,7,0.7,11,6,2.2,1.2,5 games
12,Edmonton Oilers,2,1,0,0,1,3,0.75,4,2,2,1,2 games
13,Florida Panthers,4,3,0,0,1,7,0.875,16,9,4,2.25,4 games
14,Los Angeles Kings,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,3,11,1.5,5.5,2 games
16,New Jersey Devils,3,3,0,0,0,6,1,12,6,4,2,3 games
17,Nashville Predators,2,2,0,0,0,4,1,4,2,2,1,2 games
18,New York Islanders,3,1,2,0,0,2,0.333,4,8,1.33,2.67,3 games
19,New York Rangers,3,3,0,0,0,6,1,12,7,4,2.33,3 games
20,Ottawa Senators,5,3,1,0,1,7,0.7,17,13,3.4,2.6,5 games
21,Philadelphia Flyers,3,2,1,0,0,4,0.667,9,8,3,2.67,3 games
22,Pittsburgh Penguins,3,1,1,0,1,3,0.5,8,8,2.67,2.67,3 games
23,San Jose Sharks,2,0,2,0,0,0,0,3,6,1.5,3,2 games
24,St. Louis Blues,2,0,1,0,1,1,0.25,4,7,2,3.5,2 games
25,Tampa Bay Lightning,4,2,1,0,1,5,0.625,10,10,2.5,2.5,4 games
26,Toronto Maple Leafs,4,4,0,0,0,8,1,12,7,3,1.75,4 games
27,Vancouver Canucks,2,2,0,0,0,4,1,5,1,2.5,0.5,2 games
28,Winnipeg Jets,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
29,Washington Capitals,3,1,2,0,0,2,0.333,5,8,1.67,2.67,3 games
