Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,1,1,0,1,3,0.5,9,10,3,3.33,3 games
2,Arizona Coyotes,3,1,1,0,1,3,0.5,6,8,2,2.67,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
4,Buffalo Sabres,2,1,0,0,1,3,0.75,9,9,4.5,4.5,2 games
5,Carolina Hurricanes,2,0,1,0,1,1,0.25,4,7,2,3.5,2 games
6,Columbus Blue Jackets,2,2,0,0,0,4,1,8,6,4,3,2 games
7,Calgary Flames,3,2,0,0,1,5,0.833,12,10,4,3.33,3 games
8,Chicago Blackhawks,5,1,4,0,0,2,0.2,13,20,2.6,4,5 games
9,Colorado Avalanche,5,5,0,0,0,10,1,21,11,4.2,2.2,5 games
10,Dallas Stars,5,3,2,0,0,6,0.6,20,15,4,3,5 games
11,Detroit Red Wings,2,0,2,0,0,0,0,3,6,1.5,3,2 games
12,Edmonton Oilers,3,3,0,0,0,6,1,10,6,3.33,2,3 games
13,Florida Panthers,2,0,2,0,0,0,0,5,9,2.5,4.5,2 games
14,Los Angeles Kings,3,0,1,0,2,2,0.333,4,10,1.33,3.33,3 games
15,Minnesota Wild,5,2,2,0,1,5,0.5,13,15,2.6,3,5 games
16,Montreal Canadiens,2,0,1,0,1,1,0.25,2,4,1,2,2 games
17,New Jersey Devils,2,1,0,0,1,3,0.75,9,6,4.5,3,2 games
18,New York Islanders,2,1,0,0,1,3,0.75,4,3,2,1.5,2 games
19,New York Rangers,2,0,1,0,1,1,0.25,4,6,2,3,2 games
20,Ottawa Senators,2,2,0,0,0,4,1,8,2,4,1,2 games
21,Philadelphia Flyers,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
22,Pittsburgh Penguins,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
23,San Jose Sharks,3,2,1,0,0,4,0.667,11,7,3.67,2.33,3 games
24,St. Louis Blues,5,3,2,0,0,6,0.6,15,11,3,2.2,5 games
25,Tampa Bay Lightning,2,2,0,0,0,4,1,9,2,4.5,1,2 games
26,Toronto Maple Leafs,2,0,2,0,0,0,0,3,9,1.5,4.5,2 games
27,Vancouver Canucks,3,2,1,0,0,4,0.667,6,4,2,1.33,3 games
28,Winnipeg Jets,4,2,2,0,0,4,0.5,11,10,2.75,2.5,4 games
29,Washington Capitals,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
