Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,4,4,2,2,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,9,8,4.5,4,2 games
3,Boston Bruins,3,1,2,0,0,2,0.333,6,5,2,1.67,3 games
4,Buffalo Sabres,3,3,0,0,0,6,1,8,4,2.67,1.33,3 games
5,Carolina Hurricanes,4,3,1,0,0,6,0.75,11,7,2.75,1.75,4 games
6,Columbus Blue Jackets,4,1,3,0,0,2,0.25,6,10,1.5,2.5,4 games
7,Calgary Flames,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
8,Chicago Blackhawks,2,0,0,0,2,2,0.5,5,7,2.5,3.5,2 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
10,Dallas Stars,2,1,0,0,1,3,0.75,3,3,1.5,1.5,2 games
11,Detroit Red Wings,3,1,1,0,1,3,0.5,9,12,3,4,3 games
12,Edmonton Oilers,2,0,0,0,2,2,0.5,3,5,1.5,2.5,2 games
13,Florida Panthers,3,0,1,0,2,2,0.333,4,9,1.33,3,3 games
14,Los Angeles Kings,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
15,Minnesota Wild,2,2,0,0,0,4,1,6,4,3,2,2 games
16,Montreal Canadiens,3,0,2,0,1,1,0.167,6,12,2,4,3 games
17,Nashville Predators,2,1,1,0,0,2,0.5,6,9,3,4.5,2 games
18,New York Islanders,4,1,3,0,0,2,0.25,10,14,2.5,3.5,4 games
19,New York Rangers,4,1,1,0,2,4,0.5,8,14,2,3.5,4 games
20,Ottawa Senators,3,0,3,0,0,0,0,2,8,0.67,2.67,3 games
21,Philadelphia Flyers,5,4,1,0,0,8,0.8,15,6,3,1.2,5 games
22,Pittsburgh Penguins,5,0,4,0,1,1,0.1,14,26,2.8,5.2,5 games
23,San Jose Sharks,2,0,2,0,0,0,0,1,8,0.5,4,2 games
24,St. Louis Blues,2,0,2,0,0,0,0,3,9,1.5,4.5,2 games
25,Tampa Bay Lightning,3,1,2,0,0,2,0.333,6,8,2,2.67,3 games
26,Toronto Maple Leafs,3,1,2,0,0,2,0.333,9,12,3,4,3 games
27,Vancouver Canucks,2,2,0,0,0,4,1,5,3,2.5,1.5,2 games
28,Winnipeg Jets,2,0,1,0,1,1,0.25,5,7,2.5,3.5,2 games
29,Washington Capitals,4,1,3,0,0,2,0.25,6,13,1.5,3.25,4 games
