Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,2,0,0,0,4,1,6,4,3,2,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,4,4,2,2,2 games
3,Boston Bruins,3,2,1,0,0,4,0.667,9,4,3,1.33,3 games
4,Buffalo Sabres,3,2,0,0,1,5,0.833,11,6,3.67,2,3 games
5,Carolina Hurricanes,5,2,2,0,1,5,0.5,18,22,3.6,4.4,5 games
6,Columbus Blue Jackets,4,1,2,0,1,3,0.375,8,18,2,4.5,4 games
7,Calgary Flames,2,1,1,0,0,2,0.5,4,6,2,3,2 games
8,Chicago Blackhawks,2,0,1,0,1,1,0.25,5,7,2.5,3.5,2 games
9,Colorado Avalanche,2,1,0,0,1,3,0.75,6,3,3,1.5,2 games
10,Dallas Stars,2,2,0,0,0,4,1,8,4,4,2,2 games
11,Detroit Red Wings,3,1,1,0,1,3,0.5,10,10,3.33,3.33,3 games
12,Edmonton Oilers,2,1,0,0,1,3,0.75,7,5,3.5,2.5,2 games
13,Florida Panthers,3,1,1,0,1,3,0.5,8,7,2.67,2.33,3 games
14,Los Angeles Kings,2,1,1,0,0,2,0.5,6,6,3,3,2 games
15,Minnesota Wild,2,1,1,0,0,2,0.5,10,9,5,4.5,2 games
16,Montreal Canadiens,3,2,1,0,0,4,0.667,8,4,2.67,1.33,3 games
17,New Jersey Devils,4,3,1,0,0,6,0.75,14,10,3.5,2.5,4 games
18,Nashville Predators,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
19,New York Rangers,4,3,1,0,0,6,0.75,14,11,3.5,2.75,4 games
20,Ottawa Senators,3,1,2,0,0,2,0.333,6,11,2,3.67,3 games
21,Philadelphia Flyers,4,1,1,0,2,4,0.5,10,13,2.5,3.25,4 games
22,Pittsburgh Penguins,4,2,1,0,1,5,0.625,13,13,3.25,3.25,4 games
23,San Jose Sharks,2,0,2,0,0,0,0,4,6,2,3,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,6,6,3,3,2 games
25,Tampa Bay Lightning,3,0,3,0,0,0,0,2,14,0.67,4.67,3 games
26,Toronto Maple Leafs,3,2,1,0,0,4,0.667,12,13,4,4.33,3 games
27,Vancouver Canucks,2,2,0,0,0,4,1,8,5,4,2.5,2 games
28,Winnipeg Jets,2,1,1,0,0,2,0.5,8,6,4,3,2 games
29,Washington Capitals,5,3,2,0,0,6,0.6,13,11,2.6,2.2,5 games
