Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,9,5,4.5,2.5,2 games
3,Boston Bruins,3,3,0,0,0,6,1,12,5,4,1.67,3 games
4,Buffalo Sabres,3,1,2,0,0,2,0.333,6,9,2,3,3 games
5,Carolina Hurricanes,4,2,2,0,0,4,0.5,12,11,3,2.75,4 games
6,Columbus Blue Jackets,5,2,3,0,0,4,0.4,16,21,3.2,4.2,5 games
7,Calgary Flames,2,2,0,0,0,4,1,8,4,4,2,2 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,2,2,1,1,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,10,4,5,2,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
11,Detroit Red Wings,3,2,1,0,0,4,0.667,6,3,2,1,3 games
12,Edmonton Oilers,2,2,0,0,0,4,1,8,4,4,2,2 games
13,Florida Panthers,3,1,0,0,2,4,0.667,10,9,3.33,3,3 games
14,Los Angeles Kings,2,2,0,0,0,4,1,6,2,3,1,2 games
15,Minnesota Wild,2,1,1,0,0,2,0.5,7,9,3.5,4.5,2 games
16,Montreal Canadiens,3,0,2,0,1,1,0.167,7,12,2.33,4,3 games
17,New Jersey Devils,4,3,0,0,1,7,0.875,14,8,3.5,2,4 games
18,Nashville Predators,2,2,0,0,0,4,1,6,4,3,2,2 games
19,New York Islanders,4,1,3,0,0,2,0.25,11,14,2.75,3.5,4 games
20,Ottawa Senators,3,1,2,0,0,2,0.333,5,8,1.67,2.67,3 games
21,Philadelphia Flyers,4,3,1,0,0,6,0.75,12,9,3,2.25,4 games
22,Pittsburgh Penguins,5,2,2,0,1,5,0.5,14,21,2.8,4.2,5 games
23,San Jose Sharks,2,1,0,0,1,3,0.75,11,9,5.5,4.5,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,7,3,3.5,1.5,2 games
25,Tampa Bay Lightning,3,2,1,0,0,4,0.667,9,4,3,1.33,3 games
26,Toronto Maple Leafs,3,2,1,0,0,4,0.667,9,7,3,2.33,3 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,10,7,5,3.5,2 games
28,Winnipeg Jets,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
29,Washington Capitals,4,2,2,0,0,4,0.5,7,9,1.75,2.25,4 games
