Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,3,6,1.5,3,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,10,6,5,3,2 games
3,Boston Bruins,4,4,0,0,0,8,1,12,6,3,1.5,4 games
4,Buffalo Sabres,5,1,4,0,0,2,0.2,9,15,1.8,3,5 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,4,5,1.33,1.67,3 games
6,Columbus Blue Jackets,3,2,0,0,1,5,0.833,11,9,3.67,3,3 games
7,Calgary Flames,2,0,1,0,1,1,0.25,4,8,2,4,2 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,6,3,3,1.5,2 games
10,Dallas Stars,2,2,0,0,0,4,1,8,4,4,2,2 games
11,Detroit Red Wings,4,1,1,0,2,4,0.5,9,13,2.25,3.25,4 games
12,Edmonton Oilers,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
13,Florida Panthers,4,2,2,0,0,4,0.5,10,11,2.5,2.75,4 games
14,Los Angeles Kings,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
15,Minnesota Wild,2,0,1,0,1,1,0.25,2,7,1,3.5,2 games
16,Montreal Canadiens,5,2,2,0,1,5,0.5,13,17,2.6,3.4,5 games
17,New Jersey Devils,3,3,0,0,0,6,1,8,2,2.67,0.67,3 games
18,Nashville Predators,2,0,2,0,0,0,0,2,8,1,4,2 games
19,New York Islanders,3,2,1,0,0,4,0.667,11,6,3.67,2,3 games
20,New York Rangers,3,2,1,0,0,4,0.667,8,5,2.67,1.67,3 games
21,Philadelphia Flyers,3,1,0,0,2,4,0.667,7,8,2.33,2.67,3 games
22,Pittsburgh Penguins,3,2,1,0,0,4,0.667,11,10,3.67,3.33,3 games
23,San Jose Sharks,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,6,10,3,5,2 games
25,Tampa Bay Lightning,4,1,2,0,1,3,0.375,8,13,2,3.25,4 games
26,Toronto Maple Leafs,4,3,1,0,0,6,0.75,16,13,4,3.25,4 games
27,Vancouver Canucks,2,2,0,0,0,4,1,4,0,2,0,2 games
28,Winnipeg Jets,2,0,2,0,0,0,0,4,7,2,3.5,2 games
29,Washington Capitals,3,1,2,0,0,2,0.333,4,3,1.33,1,3 games
