Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,1,0,1,1,0.25,5,7,2.5,3.5,2 games
2,Arizona Coyotes,2,0,1,0,1,1,0.25,7,9,3.5,4.5,2 games
3,Boston Bruins,3,1,2,0,0,2,0.333,7,10,2.33,3.33,3 games
4,Buffalo Sabres,3,2,1,0,0,4,0.667,11,10,3.67,3.33,3 games
5,Carolina Hurricanes,5,3,1,0,1,7,0.7,18,18,3.6,3.6,5 games
6,Columbus Blue Jackets,4,1,2,0,1,3,0.375,8,10,2,2.5,4 games
7,Calgary Flames,2,1,1,0,0,2,0.5,6,6,3,3,2 games
8,Chicago Blackhawks,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,8,3,4,1.5,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
11,Detroit Red Wings,3,2,0,0,1,5,0.833,7,6,2.33,2,3 games
12,Edmonton Oilers,2,1,1,0,0,2,0.5,9,11,4.5,5.5,2 games
13,Florida Panthers,3,3,0,0,0,6,1,8,4,2.67,1.33,3 games
14,Los Angeles Kings,2,1,0,0,1,3,0.75,4,3,2,1.5,2 games
15,Minnesota Wild,2,2,0,0,0,4,1,6,3,3,1.5,2 games
16,Montreal Canadiens,3,1,2,0,0,2,0.333,8,9,2.67,3,3 games
17,New Jersey Devils,5,1,3,0,1,3,0.3,6,15,1.2,3,5 games
18,Nashville Predators,2,1,0,0,1,3,0.75,5,4,2.5,2,2 games
19,New York Islanders,4,3,1,0,0,6,0.75,13,10,3.25,2.5,4 games
20,New York Rangers,4,1,3,0,0,2,0.25,9,12,2.25,3,4 games
21,Ottawa Senators,3,2,0,0,1,5,0.833,8,7,2.67,2.33,3 games
22,Pittsburgh Penguins,4,2,2,0,0,4,0.5,16,11,4,2.75,4 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,2,3,1,1.5,2 games
24,St. Louis Blues,2,0,2,0,0,0,0,3,8,1.5,4,2 games
25,Tampa Bay Lightning,3,1,2,0,0,2,0.333,6,9,2,3,3 games
26,Toronto Maple Leafs,3,1,2,0,0,2,0.333,7,11,2.33,3.67,3 games
27,Vancouver Canucks,2,2,0,0,0,4,1,8,6,4,3,2 games
28,Winnipeg Jets,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
29,Washington Capitals,4,1,2,0,1,3,0.375,5,13,1.25,3.25,4 games
