Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,2,0,0,0,4,1,8,3,4,1.5,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,10,4,5,2,2 games
3,Boston Bruins,3,2,1,0,0,4,0.667,12,8,4,2.67,3 games
4,Buffalo Sabres,3,2,0,0,1,5,0.833,8,6,2.67,2,3 games
5,Carolina Hurricanes,4,4,0,0,0,8,1,16,6,4,1.5,4 games
6,Columbus Blue Jackets,4,2,1,0,1,5,0.625,10,13,2.5,3.25,4 games
7,Calgary Flames,2,0,0,0,2,2,0.5,5,7,2.5,3.5,2 games
8,Chicago Blackhawks,2,0,2,0,0,0,0,2,9,1,4.5,2 games
9,Colorado Avalanche,2,1,0,0,1,3,0.75,7,5,3.5,2.5,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,8,5,4,2.5,2 games
11,Detroit Red Wings,3,1,2,0,0,2,0.333,10,14,3.33,4.67,3 games
12,Edmonton Oilers,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
13,Florida Panthers,3,3,0,0,0,6,1,12,3,4,1,3 games
14,Los Angeles Kings,2,0,0,0,2,2,0.5,2,4,1,2,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,4,10,2,5,2 games
16,Montreal Canadiens,3,2,1,0,0,4,0.667,8,8,2.67,2.67,3 games
17,New Jersey Devils,5,5,0,0,0,10,1,26,14,5.2,2.8,5 games
18,Nashville Predators,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
19,New York Islanders,4,2,1,0,1,5,0.625,13,13,3.25,3.25,4 games
20,New York Rangers,5,3,2,0,0,6,0.6,21,14,4.2,2.8,5 games
21,Ottawa Senators,3,1,1,0,1,3,0.5,10,11,3.33,3.67,3 games
22,Philadelphia Flyers,4,2,2,0,0,4,0.5,11,16,2.75,4,4 games
23,San Jose Sharks,2,2,0,0,0,4,1,8,2,4,1,2 games
24,St. Louis Blues,2,1,1,0,0,2,0.5,4,4,2,2,2 games
25,Tampa Bay Lightning,3,3,0,0,0,6,1,15,7,5,2.33,3 games
26,Toronto Maple Leafs,3,1,1,0,1,3,0.5,8,8,2.67,2.67,3 games
27,Vancouver Canucks,2,2,0,0,0,4,1,7,0,3.5,0,2 games
28,Winnipeg Jets,2,2,0,0,0,4,1,11,7,5.5,3.5,2 games
29,Washington Capitals,4,2,2,0,0,4,0.5,14,21,3.5,5.25,4 games
