Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,2,1,0,0,4,0.667,7,6,2.33,2,3 games
2,Arizona Coyotes,3,3,0,0,0,6,1,10,2,3.33,0.67,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,6,4,3,2,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,6,9,3,4.5,2 games
7,Calgary Flames,3,1,1,0,1,3,0.5,9,11,3,3.67,3 games
8,Chicago Blackhawks,5,2,2,0,1,5,0.5,16,15,3.2,3,5 games
9,Colorado Avalanche,5,4,0,0,1,9,0.9,16,7,3.2,1.4,5 games
10,Dallas Stars,4,3,1,0,0,6,0.75,13,14,3.25,3.5,4 games
11,Detroit Red Wings,2,1,0,0,1,3,0.75,3,2,1.5,1,2 games
12,Edmonton Oilers,3,0,2,0,1,1,0.167,4,8,1.33,2.67,3 games
13,Florida Panthers,2,1,1,0,0,2,0.5,7,5,3.5,2.5,2 games
14,Los Angeles Kings,3,2,1,0,0,4,0.667,5,6,1.67,2,3 games
15,Minnesota Wild,5,3,2,0,0,6,0.6,11,14,2.2,2.8,5 games
16,Montreal Canadiens,2,2,0,0,0,4,1,7,4,3.5,2,2 games
17,New Jersey Devils,2,2,0,0,0,4,1,9,3,4.5,1.5,2 games
18,Nashville Predators,5,2,3,0,0,4,0.4,11,15,2.2,3,5 games
19,New York Islanders,2,1,1,0,0,2,0.5,6,6,3,3,2 games
20,New York Rangers,2,1,1,0,0,2,0.5,3,7,1.5,3.5,2 games
21,Ottawa Senators,2,1,1,0,0,2,0.5,10,6,5,3,2 games
22,Philadelphia Flyers,2,2,0,0,0,4,1,8,3,4,1.5,2 games
23,Pittsburgh Penguins,2,1,1,0,0,2,0.5,4,4,2,2,2 games
24,San Jose Sharks,3,3,0,0,0,6,1,11,3,3.67,1,3 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,7,9,3.5,4.5,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,7,2,3.5,1,2 games
27,Vancouver Canucks,3,2,0,0,1,5,0.833,9,6,3,2,3 games
28,Winnipeg Jets,5,0,4,0,1,1,0.1,10,21,2,4.2,5 games
29,Washington Capitals,2,0,2,0,0,0,0,6,11,3,5.5,2 games
