Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,0,0,1,3,0.75,4,4,2,2,2 games
2,Arizona Coyotes,2,0,2,0,0,0,0,6,10,3,5,2 games
3,Boston Bruins,5,1,3,0,1,3,0.3,13,19,2.6,3.8,5 games
4,Buffalo Sabres,4,4,0,0,0,8,1,14,6,3.5,1.5,4 games
5,Carolina Hurricanes,3,2,0,0,1,5,0.833,7,5,2.33,1.67,3 games
6,Columbus Blue Jackets,3,0,3,0,0,0,0,5,13,1.67,4.33,3 games
7,Calgary Flames,2,1,1,0,0,2,0.5,8,6,4,3,2 games
8,Chicago Blackhawks,2,2,0,0,0,4,1,10,6,5,3,2 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,3,6,1.5,3,2 games
10,Dallas Stars,2,1,0,0,1,3,0.75,9,7,4.5,3.5,2 games
11,Detroit Red Wings,5,5,0,0,0,10,1,21,12,4.2,2.4,5 games
12,Edmonton Oilers,2,1,0,0,1,3,0.75,6,4,3,2,2 games
13,Florida Panthers,4,2,1,0,1,5,0.625,9,10,2.25,2.5,4 games
14,Los Angeles Kings,2,2,0,0,0,4,1,7,1,3.5,0.5,2 games
15,Minnesota Wild,2,1,0,0,1,3,0.75,5,3,2.5,1.5,2 games
16,Montreal Canadiens,4,2,1,0,1,5,0.625,10,10,2.5,2.5,4 games
17,New Jersey Devils,3,2,1,0,0,4,0.667,8,6,2.67,2,3 games
18,Nashville Predators,2,0,2,0,0,0,0,2,9,1,4.5,2 games
19,New York Islanders,3,3,0,0,0,6,1,14,2,4.67,0.67,3 games
20,New York Rangers,3,1,1,0,1,3,0.5,4,9,1.33,3,3 games
21,Ottawa Senators,4,3,1,0,0,6,0.75,13,8,3.25,2,4 games
22,Philadelphia Flyers,3,2,1,0,0,4,0.667,9,6,3,2,3 games
23,Pittsburgh Penguins,3,0,3,0,0,0,0,7,15,2.33,5,3 games
24,San Jose Sharks,2,0,2,0,0,0,0,2,5,1,2.5,2 games
25,St. Louis Blues,2,1,1,0,0,2,0.5,9,7,4.5,3.5,2 games
26,Toronto Maple Leafs,4,2,1,0,1,5,0.625,13,12,3.25,3,4 games
27,Vancouver Canucks,2,0,2,0,0,0,0,3,9,1.5,4.5,2 games
28,Winnipeg Jets,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
29,Washington Capitals,3,1,2,0,0,2,0.333,5,10,1.67,3.33,3 games
