Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,2,0,0,0,0,4,8,2,4,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,6,4,3,2,2 games
3,Boston Bruins,4,4,0,0,0,8,1,18,9,4.5,2.25,4 games
4,Buffalo Sabres,5,3,2,0,0,6,0.6,13,14,2.6,2.8,5 games
5,Carolina Hurricanes,3,2,1,0,0,4,0.667,8,4,2.67,1.33,3 games
6,Columbus Blue Jackets,3,1,2,0,0,2,0.333,9,10,3,3.33,3 games
7,Calgary Flames,2,1,1,0,0,2,0.5,4,3,2,1.5,2 games
8,Chicago Blackhawks,2,0,0,0,2,2,0.5,5,7,2.5,3.5,2 games
9,Colorado Avalanche,2,1,1,0,0,2,0.5,7,3,3.5,1.5,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
11,Detroit Red Wings,4,4,0,0,0,8,1,17,10,4.25,2.5,4 games
12,Edmonton Oilers,2,2,0,0,0,4,1,7,4,3.5,2,2 games
13,Florida Panthers,5,4,1,0,0,8,0.8,17,14,3.4,2.8,5 games
14,Los Angeles Kings,2,0,1,0,1,1,0.25,2,10,1,5,2 games
15,Minnesota Wild,2,0,2,0,0,0,0,4,6,2,3,2 games
16,Montreal Canadiens,4,0,3,0,1,1,0.125,7,12,1.75,3,4 games
17,New Jersey Devils,3,2,0,0,1,5,0.833,12,9,4,3,3 games
18,Nashville Predators,2,2,0,0,0,4,1,9,3,4.5,1.5,2 games
19,New York Islanders,3,1,1,0,1,3,0.5,13,12,4.33,4,3 games
20,New York Rangers,3,1,1,0,1,3,0.5,7,9,2.33,3,3 games
21,Ottawa Senators,4,1,1,0,2,4,0.5,13,16,3.25,4,4 games
22,Philadelphia Flyers,3,2,1,0,0,4,0.667,11,7,3.67,2.33,3 games
23,Pittsburgh Penguins,3,2,1,0,0,4,0.667,8,8,2.67,2.67,3 games
24,San Jose Sharks,2,0,1,0,1,1,0.25,3,6,1.5,3,2 games
25,St. Louis Blues,2,0,1,0,1,1,0.25,2,7,1,3.5,2 games
26,Tampa Bay Lightning,4,2,2,0,0,4,0.5,12,13,3,3.25,4 games
27,Vancouver Canucks,2,1,0,0,1,3,0.75,8,6,4,3,2 games
28,Winnipeg Jets,2,1,0,0,1,3,0.75,9,9,4.5,4.5,2 games
29,Washington Capitals,3,1,1,0,1,3,0.5,10,12,3.33,4,3 games
