Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,5,2,3,0,0,4,0.4,9,14,1.8,2.8,5 games
2,Arizona Coyotes,5,3,2,0,0,6,0.6,13,10,2.6,2,5 games
3,Boston Bruins,2,0,2,0,0,0,0,6,10,3,5,2 games
4,Buffalo Sabres,2,2,0,0,0,4,1,6,3,3,1.5,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,10,11,5,5.5,2 games
6,Columbus Blue Jackets,2,1,0,0,1,3,0.75,6,4,3,2,2 games
7,Calgary Flames,5,3,2,0,0,6,0.6,10,11,2,2.2,5 games
8,Chicago Blackhawks,3,1,1,0,1,3,0.5,10,12,3.33,4,3 games
9,Colorado Avalanche,3,3,0,0,0,6,1,9,6,3,2,3 games
10,Dallas Stars,3,1,2,0,0,2,0.333,8,10,2.67,3.33,3 games
11,Detroit Red Wings,2,0,1,0,1,1,0.25,3,6,1.5,3,2 games
12,Edmonton Oilers,5,1,4,0,0,2,0.2,7,14,1.4,2.8,5 games
13,Florida Panthers,2,1,1,0,0,2,0.5,4,5,2,2.5,2 games
14,Los Angeles Kings,4,2,1,0,1,5,0.625,9,10,2.25,2.5,4 games
15,Minnesota Wild,3,2,1,0,0,4,0.667,12,12,4,4,3 games
16,Montreal Canadiens,2,0,1,0,1,1,0.25,1,5,0.5,2.5,2 games
17,New Jersey Devils,2,0,1,0,1,1,0.25,3,5,1.5,2.5,2 games
18,Nashville Predators,3,1,1,0,1,3,0.5,4,6,1.33,2,3 games
19,New York Islanders,2,0,1,0,1,1,0.25,5,8,2.5,4,2 games
20,New York Rangers,2,1,1,0,0,2,0.5,7,10,3.5,5,2 games
21,Ottawa Senators,2,0,2,0,0,0,0,0,4,0,2,2 games
22,Philadelphia Flyers,2,0,1,0,1,1,0.25,6,8,3,4,2 games
23,Pittsburgh Penguins,2,0,2,0,0,0,0,0,7,0,3.5,2 games
24,San Jose Sharks,5,0,5,0,0,0,0,5,17,1,3.4,5 games
25,St. Louis Blues,3,1,2,0,0,2,0.333,6,9,2,3,3 games
26,Tampa Bay Lightning,2,2,0,0,0,4,1,9,3,4.5,1.5,2 games
27,Toronto Maple Leafs,2,1,1,0,0,2,0.5,6,8,3,4,2 games
28,Winnipeg Jets,3,1,2,0,0,2,0.333,6,7,2,2.33,3 games
29,Washington Capitals,2,0,2,0,0,0,0,2,8,1,4,2 games
